index,Factor1,Factor2,Factor3
HMDB0000673<->TNFRSF21,3.649237,0.6732457,0.1157689
HMDB0000806<->HNF4A,3.2546217,0.0,0.8542675
HMDB0000638<->HNF4A,3.2135632,0.0,0.84010404
HMDB0000234<->SLC22A12,3.1223516,0.0,0.48250523
HMDB0000234<->SLC22A1,3.0068164,0.12690456,1.0677731
HMDB0000234<->ABCG2,2.9580715,0.5774385,0.5728628
HMDB0001999<->TNFRSF21,2.8893836,0.0,0.7225386
HMDB0000058<->AQP1,2.8792644,1.842045,0.49149576
HMDB0000073<->SLC1A1,2.8317738,0.028503414,0.07938139
HMDB0001043<->TNFRSF21,2.7899232,0.7935196,0.025898907
HMDB0001388<->TNFRSF21,2.6337042,0.42107597,0.56527674
HMDB0000234<->SLC22A2,2.277178,0.0,0.035335146
HMDB0000053<->ABCG2,2.1892743,0.3690725,0.24670556
HMDB0000870<->CCKAR,2.181225,0.0,0.09618317
HMDB0000220<->TNFRSF21,2.1094472,0.012912175,0.33692655
HMDB0000870<->ACKR3,2.0374289,0.5784611,0.023983758
HMDB0001314<->TRPV4,2.0128233,1.0450673,0.77420247
HMDB0000058<->TRPV4,2.0077183,1.0559161,0.72921187
HMDB0001043<->TRPV4,1.9596542,0.8603377,0.27220216
HMDB0000073<->CCKAR,1.9202063,0.0,0.0
HMDB0000259<->CCKAR,1.9029496,0.02219186,0.11085899
HMDB0000234<->AR,1.803789,0.11824581,0.0
HMDB0000990<->ITGA1,1.7375596,0.8394779,0.9012814
HMDB0000123<->PTPRF,1.7276082,1.5694011,1.1672838
HMDB0000234<->SLC22A6,1.7015793,0.0,1.4172864
HMDB0000050<->ACKR3,1.7007272,0.72482455,0.09367166
HMDB0000050<->AR,1.6924006,0.0471423,0.20983474
HMDB0000169<->ITGAV,1.64728,0.7202754,1.0917045
HMDB0001852<->NR1H3,1.6179638,0.7722776,0.0
HMDB0000259<->ACKR3,1.6134639,0.9630917,0.033858243
HMDB0000073<->ACKR3,1.609959,0.59175456,0.0
HMDB0000234<->SLC22A8,1.6029221,0.0,1.6985132
HMDB0000123<->PTPRD,1.5838966,0.6462855,0.6471554
HMDB0000826<->RXRA,1.5668672,0.3272476,1.0956306
HMDB0000073<->SLC9A3,1.5427424,0.7900002,0.0
HMDB0002183<->RXRA,1.5384927,0.18145803,1.1136187
HMDB0000058<->SLC9A3,1.5382502,1.1743989,0.050430562
HMDB0000067<->NR1H3,1.5319648,0.67370224,0.5395392
HMDB0000673<->RXRA,1.5122849,0.9001204,0.80660635
HMDB0000673<->SLC27A1,1.5039898,0.90402913,0.50370115
HMDB0001852<->AR,1.452333,0.18265983,0.0
HMDB0000169<->ITGB1,1.3850687,0.9873104,0.8083893
HMDB0000538<->KCNJ15,1.349882,0.0,2.1267445
HMDB0000050<->SCNN1A,1.3233167,1.0420883,1.0877936
HMDB0001043<->KCNJ1,1.2726735,1.3491862,0.33162075
HMDB0000258<->SLC2A5,1.2646598,0.0,0.5192137
HMDB0000220<->CCKAR,1.2496825,0.0,0.0030906654
HMDB0001852<->NR2F2,1.2080144,1.7636579,0.0
HMDB0000053<->AR,1.1857489,0.05285141,0.0
HMDB0001852<->NR1H4,1.1737752,0.66792136,0.0
HMDB0001220<->CCKAR,1.1363648,0.0,0.4175369
HMDB0001999<->RXRA,1.1355081,0.11924092,1.1860707
HMDB0000207<->ABCG2,1.1266162,0.0,0.8921795
HMDB0000234<->NR3C1,1.1147797,1.09792,0.09328124
HMDB0000058<->ERBB2,1.0859433,1.3568802,0.6002871
HMDB0004667<->RXRA,1.0787698,0.9636178,1.7009168
HMDB0000595<->SLC4A4,1.0618517,0.0,1.9772668
HMDB0001999<->SLC27A1,1.0479664,0.2109948,0.87452614
HMDB0000067<->NR1H4,1.0301739,0.592969,0.5050062
