index,Factor1,Factor2,Factor3
HMDB0000151<->SLC22A1,3.0456386,0.045290712,0.10827669
HMDB0000538<->KCNJ15,3.0029652,0.0,0.81306773
HMDB0000595<->SLC4A4,2.847522,0.0,0.5807291
HMDB0000538<->SCNN1B,2.578382,0.5907074,0.0
HMDB0000151<->ABCG2,2.5665762,0.31839162,0.117338106
HMDB0004667<->RXRA,2.5114374,0.9636044,0.57134074
HMDB0000538<->SCNN1A,2.4883752,0.81429964,0.14047925
HMDB0000234<->SLC22A8,2.488335,0.0,0.9651568
HMDB0000538<->ITGB5,2.4649236,1.0686946,0.0
HMDB0000538<->SLC8A1,2.2717988,0.0,0.0
HMDB0000234<->SLC22A6,2.1614609,0.0,1.0048225
HMDB0000538<->IFNGR1,1.9867227,0.7626155,0.23499481
HMDB0001999<->RXRA,1.8862641,0.12624764,0.58194774
HMDB0000538<->ITGA1,1.8608735,0.5683233,0.492398
HMDB0002183<->RXRA,1.8429408,0.17714682,0.8407854
HMDB0000826<->RXRA,1.8273052,0.32050598,0.8548871
HMDB0001220<->TNFRSF1A,1.8012657,1.6606188,0.27578434
HMDB0000234<->SLC22A1,1.7709272,0.08869554,1.9205024
HMDB0001999<->SLC8A1,1.7424135,0.0,0.009239196
HMDB0000151<->ESRRA,1.7208891,0.90437776,0.0
HMDB0001388<->RXRA,1.6994061,0.5861194,0.4167607
HMDB0000131<->ITGAV,1.6920656,1.5215889,0.13307285
HMDB0000806<->HNF4A,1.6685324,0.0,1.9530417
HMDB0000123<->PTPRF,1.6560227,1.5235702,1.165207
HMDB0000638<->HNF4A,1.6456927,0.0,1.9262779
HMDB0001220<->PTGFR,1.6375915,0.36077484,0.0
HMDB0000169<->ITGAV,1.6324534,0.69995797,1.0524775
HMDB0000305<->VDR,1.6191856,0.19951002,0.31702536
HMDB0000870<->PTGFR,1.5402871,0.17334315,0.31340355
HMDB0000538<->P2RX4,1.5091742,0.5835927,0.17741552
HMDB0000050<->SCNN1A,1.5080965,1.0067354,0.90423983
HMDB0000538<->MET,1.4809319,1.0857226,0.48074403
HMDB0001999<->TNFRSF21,1.4411758,0.0,1.7292832
HMDB0000151<->KDR,1.4345098,0.5580376,0.0
HMDB0000259<->PTGFR,1.4106586,0.3946857,0.26432845
HMDB0000207<->ABCG2,1.3962979,0.0,0.6529295
HMDB0000673<->RXRA,1.391781,0.8689783,0.8661656
HMDB0000990<->ITGA1,1.3798347,0.8065925,1.1199244
HMDB0001999<->SLC27A1,1.3255197,0.21007152,0.62440467
HMDB0000151<->ERBB2,1.3159429,0.89706725,0.0
HMDB0001314<->TRPV4,1.3075516,0.99724156,1.2609962
HMDB0000538<->INSR,1.2587687,0.338723,0.23889168
HMDB0000169<->ITGB1,1.2542036,0.9601623,0.87275296
HMDB0000058<->TRPV4,1.2445506,1.0068451,1.2604858
HMDB0000207<->RXRA,1.2434841,0.13108493,0.11520174
HMDB0000538<->ACVRL1,1.2137318,0.79115564,0.04851776
HMDB0000207<->UCP2,1.1842942,0.39750037,0.17871629
HMDB0000220<->RXRA,1.180158,0.19901921,0.3722142
HMDB0001388<->TNFRSF21,1.1766434,0.3775659,1.6079135
HMDB0000234<->ABCG2,1.1431599,0.51870334,1.8791624
HMDB0000067<->FLT1,1.102609,1.2583854,0.31088385
HMDB0000220<->SLC2A2,1.0839893,0.0,0.44790632
HMDB0000641<->AR,1.0813404,0.04973321,0.3781306
HMDB0001043<->RXRA,1.0568204,0.8606139,0.569435
HMDB0000220<->UCP2,1.0503262,0.54710865,0.4478799
HMDB0000538<->SLC2A1,1.0313587,1.2598736,0.45360482
HMDB0001388<->SLC27A1,1.0206678,0.6132997,0.5233338
HMDB0000538<->SCNN1G,1.0103246,0.30500883,0.0
HMDB0000234<->SLC22A12,1.0015318,0.0,1.9853032
HMDB0000123<->PTPRD,0.9992871,0.6228579,1.036852
HMDB0000131<->ITGA1,0.99866223,1.0942081,0.11665926
HMDB0000067<->NR1H3,0.94393855,0.64143956,0.9476405
HMDB0000058<->AQP1,0.92794335,1.7461439,1.9096348
HMDB0000151<->GJB1,0.9250791,0.4611854,0.0
HMDB0000151<->EGFR,0.9236877,0.73158693,0.0
HMDB0000538<->EGFR,0.91558486,0.5914528,0.18309793
HMDB0000151<->AR,0.91394407,0.12933563,0.13781023
HMDB0000058<->ERBB2,0.9114157,1.3175967,0.7038236
HMDB0000234<->SLC16A1,0.8968092,0.47236365,0.31606635
HMDB0000258<->SCNN1G,0.8820927,0.299896,0.0
HMDB0000067<->NR1H2,0.8788766,1.4355685,0.4187794
HMDB0000158<->AR,0.8752591,0.09843112,0.6117681
HMDB0000131<->INSR,0.8716305,0.6120051,0.087127954
HMDB0000538<->CLCN7,0.8660298,0.66565096,0.24947633
HMDB0000067<->NR1H4,0.8603237,0.56921834,0.6120881
HMDB0000151<->NR3C1,0.8496846,0.8098732,0.0
HMDB0000237<->SLC16A1,0.84672356,0.5649369,0.28037155
HMDB0000258<->SLC2A5,0.83709335,0.0,0.7982756
HMDB0000673<->SLC27A1,0.83099043,0.86545247,0.97379076
HMDB0000050<->SCNN1G,0.8270874,0.43056816,0.058435097
HMDB0000538<->IFNGR2,0.8217958,0.70083296,0.15004519
HMDB0003229<->INSR,0.82024235,0.0,0.68488127
HMDB0000151<->CELSR2,0.8181579,0.6564794,0.0
HMDB0000258<->NR1H4,0.8158528,0.37123555,0.48148367
HMDB0000220<->PTGFR,0.7990463,0.030597338,0.102209516
HMDB0001220<->LPAR2,0.79890555,0.11159143,0.12453611
HMDB0000131<->MET,0.7983368,1.4631189,0.13804336
HMDB0000151<->SLC39A10,0.79767203,0.55088204,0.0
HMDB0000538<->TRPM4,0.7943371,0.6895331,0.0
HMDB0001314<->GUCY1A1,0.7905869,1.1257976,0.25964677
HMDB0000169<->INSR,0.7814942,0.22996993,0.46225578
HMDB0000220<->TNFRSF21,0.7749212,0.0,1.2899799
HMDB0001999<->ABCA1,0.75923014,0.30329877,0.19330242
HMDB0000131<->FLT1,0.743375,1.1483947,0.0
HMDB0000131<->GHR,0.7335701,0.7881352,0.527281
HMDB0001220<->EDNRB,0.7284814,0.9454981,0.038369197
HMDB0000169<->BMPR2,0.72836417,0.5204282,0.38918364
HMDB0001043<->KDR,0.7241786,0.79550207,0.4864874
HMDB0001220<->CCKAR,0.7205279,0.0,0.68987215
HMDB0001220<->AVPR1A,0.7044039,0.25556734,0.0
HMDB0000169<->TGFBR2,0.70305884,0.84794366,0.369917
HMDB0000673<->TNFRSF21,0.6950874,0.5919071,2.2815962
HMDB0001220<->ACKR3,0.69374615,0.86026627,0.5411573
HMDB0000131<->IL10RB,0.69236916,1.0687318,0.0
HMDB0000220<->SLC27A1,0.691164,0.18308584,0.4388114
HMDB0000870<->LPAR2,0.6902319,0.116950326,0.24793282
HMDB0000151<->RARA,0.6857926,0.6589618,0.0
HMDB0001388<->ABCA1,0.6806713,0.5655421,0.11749502
HMDB0000259<->AVPR1A,0.6746839,0.31226343,0.0014243509
HMDB0000067<->SLC9A1,0.6722528,0.987872,0.22656317
HMDB0000259<->LPAR2,0.65809757,0.13123432,0.2439435
HMDB0000067<->ABCA1,0.6564486,0.79845405,0.109890625
HMDB0000131<->F2R,0.65297776,1.2255063,0.0
HMDB0000673<->ABCA1,0.6317162,0.780087,0.25511065
HMDB0001043<->TRPV4,0.6296622,0.8048915,1.243816
HMDB0000169<->EGFR,0.6232024,0.5029462,0.43480176
HMDB0000870<->AVPR1A,0.61870104,0.22271173,0.048678804
HMDB0000131<->EGFR,0.6127069,0.8399574,0.077020735
HMDB0000220<->SLC44A1,0.598085,0.44198957,0.40548164
HMDB0003229<->SLC2A1,0.59182817,0.41141087,0.93417823
HMDB0000067<->NR3C1,0.58587986,1.0909878,0.44189256
HMDB0000208<->OXGR1,0.5834914,0.028306091,0.018184908
HMDB0000131<->TGFBR2,0.5822401,1.4594955,0.0
HMDB0000050<->LPAR2,0.57912993,0.10906034,0.18412165
HMDB0001043<->ABCA1,0.57193506,0.739372,0.07615844
HMDB0000050<->OXGR1,0.5714961,0.16936395,0.0
HMDB0001852<->RXRA,0.56945425,1.0799963,0.5594288
HMDB0000148<->GRIK5,0.56690013,0.5526191,0.023443213
HMDB0001043<->SLC27A1,0.5628748,0.8385759,0.6745116
HMDB0000053<->ABCG2,0.55724704,0.32376546,1.4299538
