From	To
P08908	ENSP00000316244.4
P28222	ENSP00000358963.3
P28221	ENSP00000363748.1
P28566	ENSP00000307766.4
P30939	ENSP00000322924.4
P28223	ENSP00000437737.1
P41595	ENSP00000258400.3
P28335	ENSP00000276198.1
P28335	ENSP00000361018.3
P28335	ENSP00000361019.1
Q13639	ENSP00000353915.3
Q13639	ENSP00000355037.3
Q13639	ENSP00000367120.4
Q13639	ENSP00000435904.1
Q13639	ENSP00000427913.1
Q13639	ENSP00000428320.1
Q13639	ENSP00000430979.1
Q13639	ENSP00000430874.1
Q13639	ENSP00000485747.1
P47898	ENSP00000287907.2
P50406	ENSP00000289753.1
P34969	ENSP00000277874.6
P34969	ENSP00000337949.3
P34969	ENSP00000360784.2
P11229	ENSP00000306490.3
P11229	ENSP00000441188.1
P08172	ENSP00000319984.5
P08172	ENSP00000384401.1
P08172	ENSP00000399745.2
P08172	ENSP00000415386.1
P08172	ENSP00000505686.1
P20309	ENSP00000255380.4
P20309	ENSP00000482377.1
P20309	ENSP00000502349.1
P20309	ENSP00000502667.1
P20309	ENSP00000502013.1
P08173	ENSP00000409378.2
P08173	ENSP00000507561.1
P08912	ENSP00000372750.5
P08912	ENSP00000453745.1
P30542	ENSP00000308549.3
P30542	ENSP00000338435.4
P30542	ENSP00000356204.1
P30542	ENSP00000356205.4
P30542	ENSP00000491900.1
P29274	ENSP00000336630.6
P29274	ENSP00000480012.1
P29274	ENSP00000483102.1
P29274	ENSP00000481552.1
P29275	ENSP00000304501.2
P0DMS8	ENSP00000241356.4
Q86SQ6	ENSP00000376383.2
Q86SQ6	ENSP00000376384.3
Q96PE1	ENSP00000323508.7
Q96PE1	ENSP00000406367.2
Q8IWK6	ENSP00000334952.5
Q8IWK6	ENSP00000421006.1
Q8IWK6	ENSP00000422606.1
O14514	ENSP00000313046.5
O14514	ENSP00000430945.1
O60241	ENSP00000362759.2
O60241	ENSP00000362762.3
O60241	ENSP00000435397.1
O60242	ENSP00000359630.1
O60242	ENSP00000441821.2
Q9NYQ6	ENSP00000262738.3
Q9NYQ6	ENSP00000414689.2
Q9HCU4	ENSP00000271332.3
Q9NYQ7	ENSP00000164024.4
Q6QNK2	ENSP00000261654.5
Q6QNK2	ENSP00000444425.1
Q6QNK2	ENSP00000438021.1
Q7Z7M1	ENSP00000335156.2
Q14246	ENSP00000250572.7
Q14246	ENSP00000311545.3
Q14246	ENSP00000370811.4
Q14246	ENSP00000370814.4
Q14246	ENSP00000405974.2
Q9UHX3	ENSP00000319883.3
Q9UHX3	ENSP00000376692.3
Q9UHX3	ENSP00000472735.1
Q9UHX3	ENSP00000470725.1
Q9UHX3	ENSP00000469277.1
Q9UHX3	ENSP00000472280.2
Q9BY15	ENSP00000253673.4
Q9BY15	ENSP00000340758.4
P48960	ENSP00000242786.4
P48960	ENSP00000349918.2
P48960	ENSP00000351413.2
Q5T601	ENSP00000360289.2
Q5T601	ENSP00000360299.2
Q8IZF5	ENSP00000307831.1
Q8IZF5	ENSP00000327396.6
Q8IZF5	ENSP00000388537.2
Q8IZF5	ENSP00000404775.1
Q8IZF3	ENSP00000283303.2
Q8IZF3	ENSP00000328319.3
Q8IZF2	ENSP00000265417.6
Q8IZF2	ENSP00000283296.7
Q9Y653	ENSP00000373465.5
Q9Y653	ENSP00000398034.2
Q9Y653	ENSP00000444911.2
Q9Y653	ENSP00000456620.1
Q9Y653	ENSP00000455351.2
Q9Y653	ENSP00000454933.2
Q9Y653	ENSP00000456794.1
Q9Y653	ENSP00000457456.1
Q9Y653	ENSP00000455215.1
Q9Y653	ENSP00000500185.2
Q8IZP9	ENSP00000344972.3
Q8IZP9	ENSP00000346845.4
Q8IZP9	ENSP00000349015.4
Q8IZP9	ENSP00000350152.3
Q8IZP9	ENSP00000350680.3
Q8IZP9	ENSP00000353421.4
Q8IZP9	ENSP00000369198.3
Q8IZP9	ENSP00000369202.2
Q8IZP9	ENSP00000369205.1
Q8IZP9	ENSP00000369207.3
Q86Y34	ENSP00000332900.4
Q8IZF6	ENSP00000359686.1
Q8IZF6	ENSP00000377697.1
Q8IZF6	ENSP00000377699.1
Q8IZF4	ENSP00000342981.4
Q8IZF4	ENSP00000290823.4
Q86SQ4	ENSP00000230173.6
Q86SQ4	ENSP00000296932.8
Q86SQ4	ENSP00000356580.2
Q86SQ4	ENSP00000356581.3
Q96K78	ENSP00000273352.3
O94910	ENSP00000340688.5
O94910	ENSP00000355328.2
O94910	ENSP00000500240.1
O94910	ENSP00000500478.1
O95490	ENSP00000322270.6
O95490	ENSP00000353006.2
O95490	ENSP00000359748.1
O95490	ENSP00000359750.1
O95490	ENSP00000359752.3
O95490	ENSP00000359758.1
O95490	ENSP00000359760.1
O95490	ENSP00000359763.1
O95490	ENSP00000359765.1
O95490	ENSP00000501431.1
O95490	ENSP00000501462.1
Q9HAR2	ENSP00000423388.1
Q9HAR2	ENSP00000422533.1
Q9HBW9	ENSP00000359778.3
Q8WXG9	ENSP00000384582.2
P35348	ENSP00000276393.4
P35348	ENSP00000346557.4
P35348	ENSP00000369946.3
P35348	ENSP00000369947.3
P35348	ENSP00000369956.3
P35348	ENSP00000369960.1
P35348	ENSP00000431073.1
P35348	ENSP00000430414.1
P35368	ENSP00000306662.3
P25100	ENSP00000368766.4
P08913	ENSP00000280155.2
P18089	ENSP00000480573.1
P18825	ENSP00000386069.2
P08588	ENSP00000358301.2
P07550	ENSP00000305372.4
P13945	ENSP00000343782.3
P30556	ENSP00000273430.3
P30556	ENSP00000385641.3
P30556	ENSP00000385612.2
P30556	ENSP00000398832.4
P30556	ENSP00000418851.1
P30556	ENSP00000418084.1
P30556	ENSP00000419783.1
P30556	ENSP00000419422.1
P50052	ENSP00000360973.4
P50052	ENSP00000505750.1
P35414	ENSP00000257254.3
P35414	ENSP00000475344.1
Q8TDU6	ENSP00000430698.1
Q8TDU6	ENSP00000430202.1
Q8TDU6	ENSP00000428824.1
Q8TDU6	ENSP00000430886.1
P28336	ENSP00000258042.1
P30550	ENSP00000369643.2
P32247	ENSP00000359682.3
P46663	ENSP00000216629.6
P46663	ENSP00000479276.1
P30411	ENSP00000438376.1
P30411	ENSP00000439459.2
P30411	ENSP00000450482.1
P30988	ENSP00000377959.1
P30988	ENSP00000413179.1
P30988	ENSP00000391369.1
P30988	ENSP00000389295.1
P30988	ENSP00000497687.1
Q16602	ENSP00000376177.3
Q16602	ENSP00000386972.1
Q16602	ENSP00000387190.1
P41180	ENSP00000420194.1
P41180	ENSP00000492190.1
P41180	ENSP00000491584.2
P21554	ENSP00000358511.2
P21554	ENSP00000358513.2
P21554	ENSP00000412192.2
P21554	ENSP00000420188.1
P21554	ENSP00000446819.1
P21554	ENSP00000446702.2
