From	To
P34972	ENSP00000363596.4
Q99788	ENSP00000311733.7
Q99788	ENSP00000401293.1
Q99788	ENSP00000449716.1
Q99788	ENSP00000447579.1
P46091	ENSP00000384345.2
P46091	ENSP00000397535.1
P46091	ENSP00000483003.1
P46091	ENSP00000490642.1
P46091	ENSP00000490813.1
P46091	ENSP00000490453.1
P46091	ENSP00000489673.1
P32246	ENSP00000296140.3
P41597	ENSP00000383681.2
P41597	ENSP00000399285.2
P51677	ENSP00000350003.2
P51677	ENSP00000379271.2
P51677	ENSP00000379273.2
P51677	ENSP00000441600.1
P51679	ENSP00000332659.5
P51681	ENSP00000292303.4
P51681	ENSP00000404881.1
P51684	ENSP00000343952.5
P51684	ENSP00000339393.4
P51684	ENSP00000383715.2
P51684	ENSP00000493637.1
P32248	ENSP00000246657.2
P51685	ENSP00000326432.4
P51686	ENSP00000350256.2
P51686	ENSP00000379292.2
P46092	ENSP00000332504.4
P25024	ENSP00000295683.2
P25025	ENSP00000319635.2
P49682	ENSP00000362795.4
P49682	ENSP00000362797.3
P61073	ENSP00000241393.3
P61073	ENSP00000386884.1
P32302	ENSP00000292174.4
O00574	ENSP00000304414.4
O00574	ENSP00000396218.1
O00574	ENSP00000396886.1
O00574	ENSP00000395704.1
P49238	ENSP00000351059.3
P49238	ENSP00000382166.3
P49238	ENSP00000439140.1
P49238	ENSP00000444928.1
P46094	ENSP00000310405.3
P46094	ENSP00000507745.1
Q16570	ENSP00000357103.2
Q16570	ENSP00000357104.1
Q16570	ENSP00000441985.1
O00590	ENSP00000416996.1
O00590	ENSP00000396150.1
P25106	ENSP00000272928.3
Q9NPB9	ENSP00000249887.2
O00421	ENSP00000349967.4
O00421	ENSP00000381994.3
O00421	ENSP00000383677.3
O00421	ENSP00000383678.2
P32238	ENSP00000295589.3
P32239	ENSP00000335544.2
P32239	ENSP00000435534.1
P46089	ENSP00000363136.3
P46093	ENSP00000319744.3
O15529	ENSP00000410925.1
O15529	ENSP00000473212.1
P46095	ENSP00000275169.3
P46095	ENSP00000406986.2
P47775	ENSP00000370844.2
P47775	ENSP00000384932.3
P49685	ENSP00000284311.3
Q13304	ENSP00000272644.3
Q13304	ENSP00000376741.3
Q13304	ENSP00000508383.1
Q13304	ENSP00000442982.1
Q15760	ENSP00000333744.2
Q15760	ENSP00000441832.1
Q15760	ENSP00000498976.1
Q99678	ENSP00000366970.3
Q99678	ENSP00000479665.1
Q99679	ENSP00000482287.1
Q99680	ENSP00000302676.4
Q99680	ENSP00000492841.1
O00155	ENSP00000301917.2
Q8NDV2	ENSP00000284674.1
Q9NS67	ENSP00000303149.2
O00270	ENSP00000355799.2
O75388	ENSP00000270590.3
Q49SQ1	ENSP00000421557.1
Q9UPC5	ENSP00000367378.5
Q9UPC5	ENSP00000367384.4
Q9UPC5	ENSP00000498130.1
Q9HC97	ENSP00000322731.5
Q9HC97	ENSP00000385140.1
Q9HC97	ENSP00000384263.1
Q9HC97	ENSP00000411788.2
Q9HC97	ENSP00000415890.3
O15354	ENSP00000306449.2
O60883	ENSP00000356251.4
O43194	ENSP00000327417.3
Q9Y5Y3	ENSP00000258456.1
Q13585	ENSP00000218316.3
Q9Y2T5	ENSP00000356658.2
Q9BZJ8	ENSP00000385422.2
Q9BZJ8	ENSP00000433661.1
Q9BZJ8	ENSP00000432456.1
Q9BZJ8	ENSP00000484035.1
Q9BZJ8	ENSP00000484797.1
Q9BZJ7	ENSP00000319250.4
Q9BZJ6	ENSP00000229955.2
Q8IYL9	ENSP00000267549.3
Q15743	ENSP00000434045.2
Q15743	ENSP00000440797.1
Q15743	ENSP00000498702.1
O95800	ENSP00000378195.2
Q96P69	ENSP00000371927.4
Q96P67	ENSP00000303549.4
Q9NYM4	ENSP00000243673.2
Q9NYM4	ENSP00000441550.1
Q9NQS5	ENSP00000267015.3
Q9NQS5	ENSP00000450310.1
P60893	ENSP00000297146.2
P60893	ENSP00000396763.1
P60893	ENSP00000401178.1
P60893	ENSP00000476863.1
Q9BY21	ENSP00000260843.4
Q9GZN0	ENSP00000314223.4
Q96P66	ENSP00000498972.1
Q9UNW8	ENSP00000328818.3
Q9UNW8	ENSP00000376364.2
Q9UNW8	ENSP00000438094.2
Q8IZ08	ENSP00000378548.1
Q8IZ08	ENSP00000432696.1
Q6DWJ6	ENSP00000458791.2
Q7Z602	ENSP00000334540.1
Q7Z602	ENSP00000390410.1
Q7Z601	ENSP00000335158.4
Q96CH1	ENSP00000380283.1
Q96CH1	ENSP00000410743.2
Q8TDV2	ENSP00000308908.4
Q86SP6	ENSP00000374390.2
Q8NGU9	ENSP00000369344.2
Q8TDV0	ENSP00000308733.2
Q8TDT2	ENSP00000310255.2
Q6NV75	ENSP00000367125.2
Q9UJ42	ENSP00000348161.5
Q8N6U8	ENSP00000356809.1
Q8N6U8	ENSP00000356810.1
Q8N6U8	ENSP00000356812.1
Q8N6U8	ENSP00000441039.1
Q8N6U8	ENSP00000437576.1
Q8N6U8	ENSP00000444348.1
Q8N6U8	ENSP00000506967.1
Q16538	ENSP00000311528.3
Q16538	ENSP00000399670.2
O14626	ENSP00000308479.5
O14626	ENSP00000482588.1
Q9NS66	ENSP00000331600.5
Q9BXC1	ENSP00000494310.1
Q14439	ENSP00000299092.3
Q14439	ENSP00000439361.1
Q14439	ENSP00000453076.1
O15218	ENSP00000300098.1
P32249	ENSP00000365596.4
Q9BXB1	ENSP00000368516.4
Q9BXB1	ENSP00000374508.4
O75473	ENSP00000266674.4
O75473	ENSP00000443033.1
O75473	ENSP00000441035.2
Q9HBX8	ENSP00000255432.7
Q9HBX8	ENSP00000356247.3
Q9HBX8	ENSP00000387869.2
P04201	ENSP00000252660.4
P04201	ENSP00000501180.2
P35410	ENSP00000366331.3
P35410	ENSP00000373041.2
P35410	ENSP00000373139.2
P35410	ENSP00000405164.2
P35410	ENSP00000410649.2
P35410	ENSP00000405030.2
P35410	ENSP00000399042.2
P35410	ENSP00000392071.2
Q8TDS7	ENSP00000310631.3
Q86SM8	ENSP00000374482.6
Q96AM1	ENSP00000309782.6
Q96AM1	ENSP00000403660.1
Q86SM5	ENSP00000330612.3
Q96LB2	ENSP00000305766.3
Q96LB2	ENSP00000499076.2
Q96LB1	ENSP00000333800.2
Q96LB0	ENSP00000379571.2
Q96LB0	ENSP00000481943.1
Q96LA9	ENSP00000314042.3
Q86VZ1	ENSP00000370697.4
O00398	ENSP00000171757.2
O00398	ENSP00000443138.1
Q9P1P5	ENSP00000275191.2
Q9P1P5	ENSP00000356908.1
O14804	ENSP00000258034.2
Q96RI8	ENSP00000275198.1
Q969N4	ENSP00000275200.1
Q96RI9	ENSP00000424607.2
Q8NFN8	ENSP00000418758.1
Q8NFN8	ENSP00000417261.1
Q5T848	ENSP00000365529.3
Q6PRD1	ENSP00000484951.1
Q8NFJ5	ENSP00000014914.6
Q9NZH0	ENSP00000300571.2
Q9NZH0	ENSP00000442858.1
Q9NZH0	ENSP00000454727.1
Q9NZH0	ENSP00000457283.1
Q9NQ84	ENSP00000376403.2
Q9NQ84	ENSP00000376405.3
Q9NQ84	ENSP00000498839.1
Q9NZD1	ENSP00000228887.1
Q9NZD1	ENSP00000379624.3
Q5T6X5	ENSP00000309493.4
Q5T6X5	ENSP00000357537.3
Q5T6X5	ENSP00000433465.1
Q9UP38	ENSP00000287934.2
Q14332	ENSP00000323901.3
Q9NPG1	ENSP00000240093.3
Q9NPG1	ENSP00000437489.1
Q9ULV1	ENSP00000434034.1
Q13467	ENSP00000354607.3
O60353	ENSP00000351605.4
O60353	ENSP00000429055.1
O60353	ENSP00000429528.1
O75084	ENSP00000286201.1
Q9H461	ENSP00000363826.1
O00144	ENSP00000345785.3
Q9ULW2	ENSP00000229030.4
Q99835	ENSP00000249373.3
Q16581	ENSP00000302079.4
P21730	ENSP00000347197.2
Q9P296	ENSP00000472620.1
Q9P296	ENSP00000471184.1
P34998	ENSP00000326060.6
P34998	ENSP00000344068.5
P34998	ENSP00000381333.3
P34998	ENSP00000462016.1
P34998	ENSP00000484387.1
P34998	ENSP00000480752.1
P34998	ENSP00000480396.1
P34998	ENSP00000478177.1
P34998	ENSP00000483802.1
P34998	ENSP00000477786.1
P34998	ENSP00000488342.1
Q13324	ENSP00000344304.4
Q13324	ENSP00000340943.4
Q13324	ENSP00000418722.1
Q13324	ENSP00000426498.3
P21728	ENSP00000377353.1
P14416	ENSP00000278597.5
P14416	ENSP00000354859.3
P14416	ENSP00000438215.1
P14416	ENSP00000442172.1
P35462	ENSP00000295881.6
P35462	ENSP00000373169.2
P35462	ENSP00000419402.1
P35462	ENSP00000420662.1
P21917	ENSP00000176183.5
P21917	ENSP00000478431.1
P21918	ENSP00000306129.2
P25101	ENSP00000315011.5
P25101	ENSP00000351359.4
P25101	ENSP00000425281.1
P25101	ENSP00000427259.1
P25101	ENSP00000425354.1
P25101	ENSP00000496976.1
P25101	ENSP00000498969.1
P24530	ENSP00000366416.4
P24530	ENSP00000487082.2
P24530	ENSP00000486202.1
P24530	ENSP00000494278.1
P24530	ENSP00000493527.1
P24530	ENSP00000493895.1
P21462	ENSP00000302707.3
P21462	ENSP00000470750.2
P21462	ENSP00000471493.1
P21462	ENSP00000472936.2
P25090	ENSP00000340191.4
P25090	ENSP00000468897.1
P25090	ENSP00000468876.1
P25089	ENSP00000341821.3
P25089	ENSP00000470471.1
O14842	ENSP00000246553.2
O15552	ENSP00000246549.2
O15552	ENSP00000473159.1
O14843	ENSP00000328230.3
O14843	ENSP00000469522.1
Q5NUL3	ENSP00000360536.5
Q5NUL3	ENSP00000360538.4
Q9UBS5	ENSP00000348248.3
Q9UBS5	ENSP00000366176.3
Q9UBS5	ENSP00000366211.4
Q9UBS5	ENSP00000366215.4
Q9UBS5	ENSP00000366233.4
Q9UBS5	ENSP00000373029.4
Q9UBS5	ENSP00000373033.4
Q9UBS5	ENSP00000373034.4
Q9UBS5	ENSP00000373035.3
Q9UBS5	ENSP00000373132.4
Q9UBS5	ENSP00000373133.4
Q9UBS5	ENSP00000373134.4
Q9UBS5	ENSP00000373135.2
Q9UBS5	ENSP00000406499.2
Q9UBS5	ENSP00000391572.1
Q9UBS5	ENSP00000399861.1
Q9UBS5	ENSP00000388035.2
Q9UBS5	ENSP00000411286.2
Q9UBS5	ENSP00000412167.2
Q9UBS5	ENSP00000406285.1
Q9UBS5	ENSP00000406066.1
Q9UBS5	ENSP00000399318.2
Q9UBS5	ENSP00000394528.2
Q9UBS5	ENSP00000405709.1
Q9UBS5	ENSP00000411263.1
Q9UBS5	ENSP00000408938.2
Q9UBS5	ENSP00000416903.2
Q9UBS5	ENSP00000419061.1
Q9UBS5	ENSP00000448999.1
Q9UBS5	ENSP00000448531.1
Q9UBS5	ENSP00000446983.1
Q9UBS5	ENSP00000448654.1
Q9UBS5	ENSP00000449342.1
Q9UBS5	ENSP00000449449.1
O75899	ENSP00000259455.2
P47211	ENSP00000299727.3
O43603	ENSP00000329684.3
O60755	ENSP00000249041.2
Q92847	ENSP00000241256.2
Q92847	ENSP00000395344.1
Q02643	ENSP00000320180.2
P48546	ENSP00000263281.3
P48546	ENSP00000305321.8
P48546	ENSP00000467494.1
P43220	ENSP00000362353.4
O95838	ENSP00000262441.5
P47871	ENSP00000383558.3
P47871	ENSP00000500297.1
P47872	ENSP00000019103.6
P23945	ENSP00000306780.4
P22888	ENSP00000294954.6
P16473	ENSP00000340113.6
P16473	ENSP00000450549.1
P30968	ENSP00000226413.5
P30968	ENSP00000397561.2
Q14330	ENSP00000343428.3
Q14330	ENSP00000380610.2
Q14330	ENSP00000380613.2
Q14330	ENSP00000401611.2
Q9Y2T6	ENSP00000375893.2
Q9Y2T6	ENSP00000375894.1
Q9Y2T6	ENSP00000410267.1
Q9Y2T6	ENSP00000482381.1
Q9Y2T6	ENSP00000498258.1
Q8TDV5	ENSP00000276218.2
Q8TDV5	ENSP00000508182.1
Q99527	ENSP00000297469.3
Q99527	ENSP00000380277.3
Q99527	ENSP00000380281.1
Q99527	ENSP00000385151.1
P35367	ENSP00000380247.1
P35367	ENSP00000397028.2
P35367	ENSP00000406705.2
P25021	ENSP00000366506.2
Q9Y5N1	ENSP00000342560.5
Q9H3N8	ENSP00000256906.4
Q9H3N8	ENSP00000402526.2
Q9BXC0	ENSP00000389255.1
Q8TDS4	ENSP00000375066.2
P49019	ENSP00000436714.2
Q969F8	ENSP00000234371.3
Q15722	ENSP00000307445.3
Q15722	ENSP00000380002.2
Q15722	ENSP00000380008.4
Q15722	ENSP00000495785.1
Q15722	ENSP00000494730.1
Q15722	ENSP00000495466.1
Q9NPC1	ENSP00000433290.1
Q9NPC1	ENSP00000445772.1
Q9NPC1	ENSP00000494694.1
Q9NPC1	ENSP00000494877.1
Q9Y271	ENSP00000362401.3
Q9Y271	ENSP00000478492.1
Q9NS75	ENSP00000282018.3
Q9NS75	ENSP00000477930.1
Q9NS75	ENSP00000508181.1
Q8TDS5	ENSP00000367930.3
Q92633	ENSP00000351755.4
Q92633	ENSP00000363552.1
Q92633	ENSP00000363553.3
Q92633	ENSP00000506912.1
Q9HBW0	ENSP00000384665.3
Q9HBW0	ENSP00000443256.2
Q9HBW0	ENSP00000465280.2
Q9UBY5	ENSP00000359643.3
Q9UBY5	ENSP00000395389.1
Q99677	ENSP00000408205.2
Q99677	ENSP00000478261.1
Q9H1C0	ENSP00000327875.4
Q9H1C0	ENSP00000393098.1
P43657	ENSP00000344353.2
P43657	ENSP00000367691.3
P43657	ENSP00000482660.1
P21453	ENSP00000305416.6
P21453	ENSP00000498038.1
P21453	ENSP00000497478.1
P21453	ENSP00000497175.1
O95136	ENSP00000496438.1
Q99500	ENSP00000350878.2
Q99500	ENSP00000365006.3
O95977	ENSP00000246115.3
Q9H228	ENSP00000328472.3
Q9H228	ENSP00000416915.2
Q99705	ENSP00000249016.5
Q969V1	ENSP00000281806.2
Q969V1	ENSP00000358214.1
Q01726	ENSP00000451605.1
Q01726	ENSP00000492011.1
Q01718	ENSP00000333821.2
P41968	ENSP00000243911.2
P32245	ENSP00000299766.3
P33032	ENSP00000318077.3
P33032	ENSP00000468086.2
P48039	ENSP00000302811.5
P48039	ENSP00000515216.1
P49286	ENSP00000257068.2
Q13255	ENSP00000282753.1
Q13255	ENSP00000347437.4
Q13255	ENSP00000354896.2
Q13255	ENSP00000424095.1
Q13255	ENSP00000425599.1
Q14416	ENSP00000378492.3
Q14832	ENSP00000355316.2
Q14832	ENSP00000398767.1
Q14833	ENSP00000363292.3
Q14833	ENSP00000398456.2
Q14833	ENSP00000437925.1
Q14833	ENSP00000440556.1
Q14833	ENSP00000437730.1
Q14833	ENSP00000477466.1
P41594	ENSP00000305905.5
P41594	ENSP00000306138.4
P41594	ENSP00000405690.2
O15303	ENSP00000231188.5
O15303	ENSP00000430767.1
O15303	ENSP00000497110.1
Q14831	ENSP00000350348.4
Q14831	ENSP00000373986.3
Q14831	ENSP00000373987.4
Q14831	ENSP00000419835.1
Q14831	ENSP00000417536.1
O00222	ENSP00000344173.2
O00222	ENSP00000345747.3
O00222	ENSP00000351142.3
O00222	ENSP00000419832.1
O43193	ENSP00000218721.1
Q9HB89	ENSP00000305877.4
Q9GZQ4	ENSP00000255262.4
Q9GZQ6	ENSP00000277942.5
Q9Y5X5	ENSP00000307822.7
Q9Y5X5	ENSP00000351599.3
Q9Y5X5	ENSP00000379321.1
Q6W5P4	ENSP00000352839.1
Q6W5P4	ENSP00000353788.1
Q6W5P4	ENSP00000370950.3
Q6W5P4	ENSP00000370953.1
Q6W5P4	ENSP00000370955.2
Q6W5P4	ENSP00000370965.3
Q6W5P4	ENSP00000379402.2
Q6W5P4	ENSP00000434955.1
Q6W5P4	ENSP00000433258.1
P48145	ENSP00000501711.1
P48146	ENSP00000358783.1
P48146	ENSP00000484253.1
P48146	ENSP00000508236.1
P25929	ENSP00000354652.2
P49146	ENSP00000332591.3
P49146	ENSP00000426366.1
P50391	ENSP00000363431.1
P50391	ENSP00000480883.1
Q15761	ENSP00000339377.3
Q15761	ENSP00000423474.1
Q15761	ENSP00000423917.1
P30989	ENSP00000359532.3
O95665	ENSP00000303686.5
P41143	ENSP00000234961.2
P41145	ENSP00000265572.3
P41145	ENSP00000429706.1
P41145	ENSP00000430923.1
P35372	ENSP00000229768.5
P35372	ENSP00000328264.7
P35372	ENSP00000338381.4
P35372	ENSP00000399359.2
P35372	ENSP00000403549.2
P35372	ENSP00000411903.2
P35372	ENSP00000394624.2
P35372	ENSP00000413752.2
P35372	ENSP00000410497.2
P35372	ENSP00000430260.1
P35372	ENSP00000431048.1
P35372	ENSP00000430876.1
P35372	ENSP00000429373.1
P35372	ENSP00000429719.1
P35372	ENSP00000428018.1
P35372	ENSP00000430575.1
P35372	ENSP00000430097.1
P41146	ENSP00000336843.2
P41146	ENSP00000336764.3
P41146	ENSP00000347848.4
P04000	ENSP00000358967.4
P04001	ENSP00000472316.1
P03999	ENSP00000249389.3
P08100	ENSP00000296271.3
Q9H1Y3	ENSP00000355512.2
Q9UHM6	ENSP00000241891.5
Q9UHM6	ENSP00000361141.2
Q6U736	ENSP00000360255.2
Q6U736	ENSP00000491960.1
O43613	ENSP00000362810.5
O43613	ENSP00000384387.2
O43614	ENSP00000359899.3
O43614	ENSP00000477548.1
Q5VW38	ENSP00000336988.7
Q5VW38	ENSP00000361483.1
Q5VW38	ENSP00000483750.1
Q96N19	ENSP00000321698.3
Q96N19	ENSP00000366931.4
Q96N19	ENSP00000411827.2
Q96N19	ENSP00000415698.2
Q96N19	ENSP00000442792.1
Q86W33	ENSP00000296210.7
Q86W33	ENSP00000347748.3
Q86W33	ENSP00000377056.2
Q86W33	ENSP00000413428.2
Q86W33	ENSP00000418298.1
Q86W33	ENSP00000498161.1
P51810	ENSP00000417161.1
Q5UAW9	ENSP00000366628.4
Q96P68	ENSP00000298440.1
Q96P68	ENSP00000437356.2
Q96P68	ENSP00000445269.2
Q96P68	ENSP00000438800.1
P47900	ENSP00000304767.3
P41231	ENSP00000310305.2
P41231	ENSP00000377221.2
P41231	ENSP00000377222.2
P51582	ENSP00000363643.2
Q15077	ENSP00000309771.2
Q15077	ENSP00000377215.2
Q15077	ENSP00000377216.1
Q15077	ENSP00000377217.2
Q15077	ENSP00000440770.2
Q15077	ENSP00000442990.1
Q15077	ENSP00000442551.1
Q15077	ENSP00000443427.1
Q15077	ENSP00000445652.1
Q15077	ENSP00000441079.2
Q15077	ENSP00000480966.1
Q15077	ENSP00000504879.1
Q15077	ENSP00000505646.1
Q96G91	ENSP00000323872.4
Q9H244	ENSP00000307259.4
Q9BPV8	ENSP00000320376.5
Q15391	ENSP00000308361.3
Q15391	ENSP00000408733.2
Q03431	ENSP00000321999.4
Q03431	ENSP00000411424.1
Q03431	ENSP00000413774.2
Q03431	ENSP00000402723.1
P49190	ENSP00000272847.2
P25105	ENSP00000301974.3
P25105	ENSP00000362965.3
P25105	ENSP00000442658.1
Q8TCW9	ENSP00000303775.4
Q8NFJ6	ENSP00000217270.3
Q8NFJ6	ENSP00000504128.1
P49683	ENSP00000239032.2
P49683	ENSP00000490073.1
Q13258	ENSP00000303424.2
Q13258	ENSP00000452408.1
Q9Y5Y4	ENSP00000332812.4
P34995	ENSP00000292513.3
P43116	ENSP00000245457.5
P43115	ENSP00000302313.5
P43115	ENSP00000349003.4
P43115	ENSP00000359962.3
P43115	ENSP00000359969.3
P43115	ENSP00000418073.1
P43115	ENSP00000421583.1
P43115	ENSP00000486617.1
P35408	ENSP00000302846.3
P43088	ENSP00000359792.3
P43088	ENSP00000359793.3
P43088	ENSP00000359794.1
P43119	ENSP00000291294.1
P21731	ENSP00000364336.4
P21731	ENSP00000393333.2
P25116	ENSP00000321326.4
P55085	ENSP00000296677.4
O00254	ENSP00000296641.3
O00254	ENSP00000426703.1
Q96RI0	ENSP00000248076.2
Q96P65	ENSP00000377948.2
Q9HBX9	ENSP00000303248.5
Q9HBX9	ENSP00000345889.5
Q9HBX9	ENSP00000420712.1
Q9HBX9	ENSP00000434475.1
Q8WXD0	ENSP00000298386.2
Q8WXD0	ENSP00000369670.1
Q9NSD7	ENSP00000328708.3
Q9NSD7	ENSP00000480733.1
Q8TDU9	ENSP00000357301.4
P30872	ENSP00000267377.2
P30874	ENSP00000350198.2
P32745	ENSP00000480971.1
P32745	ENSP00000481325.1
P31391	ENSP00000255008.3
P35346	ENSP00000293897.4
P35346	ENSP00000508487.1
Q9BXA5	ENSP00000355156.4
P25103	ENSP00000303522.4
P25103	ENSP00000386448.3
P21452	ENSP00000362403.4
P29371	ENSP00000303325.2
Q7RTX1	ENSP00000331867.6
Q7RTX1	ENSP00000312558.5
Q8TE23	ENSP00000364520.3
Q7RTX0	ENSP00000344411.5
Q9NYW7	ENSP00000371932.2
Q9NYW6	ENSP00000247879.2
Q9NYW5	ENSP00000247881.3
Q9NYW4	ENSP00000247883.4
Q9NYW3	ENSP00000240687.2
Q9NYW3	ENSP00000458498.1
Q9NYW3	ENSP00000484743.1
Q9NYW2	ENSP00000240615.2
