1;2
h[c];SLC16A1
2hb[c];SLC16A1
h[c];SLC16A3
2hb[c];SLC16A3
h[c];SLC16A7
2hb[c];SLC16A7
hco3[c];SLC4A4
na1[c];SLC4A4
hco3[c];SLC4A5
na1[c];SLC4A5
34dhphe[c];SLC16A10
5mthf[c];FOLR1
5mthf[c];FOLR3
na1[c];SLC6A1
4abut[c];SLC6A1
na1[c];SLC6A11
4abut[c];SLC6A11
na1[c];SLC6A12
4abut[c];SLC6A12
na1[c];SLC6A13
4abut[c];SLC6A13
acetone[c];SLC16A1
acetone[c];SLC16A3
acetone[c];SLC16A7
ade[c];SLC29A2
adn[c];SLC29A1
adn[c];SLC29A2
na1[e];SLC28A1
adn[e];SLC28A1
na1[e];SLC28A2
adn[e];SLC28A2
na1[e];SLC28A3
adn[e];SLC28A3
adprib[e];CD38
akg[c];SLC13A3
na1[c];SLC13A3
na1[e];ACE2
ala_L[e];ACE2
na1[e];CLTRN
ala_L[e];CLTRN
na1[e];SLC38A1
ala_L[e];SLC38A1
na1[e];SLC38A2
ala_L[e];SLC38A2
na1[e];SLC38A4
ala_L[e];SLC38A4
na1[e];SLC6A14
ala_L[e];SLC6A14
na1[e];SLC6A19
ala_L[e];SLC6A19
na1[e];SLC7A1
ala_L[e];SLC7A1
na1[e];SLC7A2
ala_L[e];SLC7A2
na1[e];SLC7A3
ala_L[e];SLC7A3
h[e];SLC38A3
na1[c];SLC38A3
ala_L[c];SLC38A3
h[e];SLC38A5
na1[c];SLC38A5
ala_L[c];SLC38A5
arachd[c];SLC27A5
arg_L[e];SLC6A14
na1[c];SLC23A1
ascb_L[c];SLC23A1
na1[c];SLC23A2
ascb_L[c];SLC23A2
asn_L[e];ACE2
asn_L[e];CLTRN
asn_L[e];SLC38A1
asn_L[e];SLC38A2
asn_L[e];SLC38A4
asn_L[e];SLC6A14
asn_L[e];SLC6A19
asn_L[c];SLC38A3
asn_L[c];SLC38A5
btn[c];SLC16A1
h2o[c];SLC5A6
na1[e];SLC5A6
btn[e];SLC5A6
h[e];SLC15A2
cgly[e];SLC15A2
na1[e];SLC10A1
cholate[e];SLC10A1
na1[e];SLC10A2
