index,Factor1,Factor2,Factor3
HMDB0000151<->SLC22A1,2.7870007,0.049433876,0.105934955
HMDB0000538<->KCNJ15,2.7792037,0.0,0.7731384
HMDB0000538<->AQP2,2.6448007,1.2185875,0.028704634
HMDB0000595<->SLC4A4,2.5807133,0.0,0.5774425
HMDB0000538<->SCNN1B,2.4462545,0.5341556,0.0
HMDB0000538<->SCNN1A,2.3716316,0.7444428,0.11958779
HMDB0000151<->ABCG2,2.3403938,0.3049684,0.11563452
HMDB0000538<->ITGB5,2.2857537,0.98949754,0.0
HMDB0000234<->SLC22A8,2.258294,0.0,0.9450445
HMDB0000538<->AQP1,2.1886632,0.9647558,1.0075428
HMDB0004667<->RXRA,2.1301417,0.8928635,0.6671409
HMDB0000538<->SLC8A1,2.0869293,0.00085280114,0.0
HMDB0000151<->VDR,2.0842834,0.16625513,0.0
HMDB0000151<->SLC39A7,1.993971,1.0906911,0.0
HMDB0000258<->SCNN1B,1.9565121,0.6645178,0.0
HMDB0000234<->SLC22A6,1.9523427,0.0,0.9820266
HMDB0000538<->LGR4,1.8813579,0.63418216,0.18268794
HMDB0000067<->VDR,1.8492687,0.32065618,0.8834412
HMDB0000050<->SCNN1B,1.8388774,0.75258756,0.3455678
HMDB0000538<->IFNGR1,1.7891417,0.6983801,0.26866558
HMDB0000258<->SCNN1A,1.7271321,0.75675386,0.3871822
HMDB0000538<->ITGA1,1.7144637,0.51386005,0.4946562
HMDB0000234<->SLC22A1,1.6483846,0.07676432,1.8381819
HMDB0000806<->HNF4A,1.6081897,0.0,1.8167841
HMDB0000151<->SLC39A5,1.6062407,0.0,0.0
HMDB0001220<->TNFRSF1A,1.6018419,1.5339845,0.3231246
HMDB0000151<->ESRRA,1.5974139,0.84698254,0.0
HMDB0000123<->PTPRF,1.5965679,1.3917706,1.1190413
HMDB0000638<->HNF4A,1.5902805,0.0,1.7891227
HMDB0000169<->ITGAV,1.558024,0.63756835,0.9931305
HMDB0001999<->SLC8A1,1.5509017,0.0,0.044738937
HMDB0001999<->RXRA,1.5465066,0.1250674,0.6574481
HMDB0002183<->RXRA,1.513183,0.16684033,0.90725315
HMDB0000826<->RXRA,1.4879336,0.30125412,0.9278877
HMDB0000305<->VDR,1.4835099,0.16088541,0.33689356
HMDB0000131<->ITGAV,1.4815981,1.4022524,0.19344513
HMDB0000050<->SCNN1A,1.4548073,0.9098282,0.87082404
HMDB0001999<->TNFRSF21,1.4504808,0.0,1.561894
HMDB0001220<->PTGFR,1.4356309,0.34284437,0.03671076
HMDB0000538<->AQP3,1.4350015,0.84540415,0.0
HMDB0003229<->SLC2A2,1.4095283,0.0,0.5329784
HMDB0000538<->MET,1.4078432,0.9891068,0.46901742
HMDB0000067<->RXRA,1.3922904,0.9482223,0.40524516
HMDB0001388<->RXRA,1.3888775,0.5446597,0.5051688
HMDB0000870<->PTGFR,1.3855275,0.16224642,0.3195035
HMDB0000538<->P2RX4,1.3756518,0.531699,0.1962843
HMDB0000151<->NR2F2,1.3436416,1.1792166,0.0
