index,Factor1,Factor2,Factor3
HMDB0000673<->TNFRSF21,3.7011883,0.67429686,0.09201653
HMDB0000806<->HNF4A,3.3311145,0.0,0.82215285
HMDB0000638<->HNF4A,3.2890804,0.0,0.8082928
HMDB0000234<->SLC22A12,3.102266,0.0030524803,0.4964752
HMDB0000234<->SLC22A1,2.9827917,0.1443164,1.0775521
HMDB0001999<->TNFRSF21,2.966995,0.0,0.6890858
HMDB0000058<->AQP1,2.886356,1.8438109,0.4906573
HMDB0000073<->SLC1A1,2.8581076,0.030488763,0.07363321
HMDB0001043<->TNFRSF21,2.8210206,0.7940657,0.012572871
HMDB0001388<->TNFRSF21,2.7045336,0.41188586,0.5393954
HMDB0000234<->SLC22A2,2.2916925,0.0,0.029497517
HMDB0000870<->CCKAR,2.2368736,0.0,0.070531785
HMDB0000220<->TNFRSF21,2.1662347,0.0055061323,0.31781158
HMDB0000870<->ACKR3,2.0566475,0.57994163,0.016380444
HMDB0001314<->TRPV4,2.0356147,1.0440941,0.76711124
HMDB0000058<->TRPV4,2.029687,1.0549858,0.7225457
HMDB0001043<->TRPV4,1.9614345,0.86186326,0.27467388
HMDB0000259<->CCKAR,1.9573181,0.018230045,0.087605976
HMDB0000073<->CCKAR,1.9509121,0.0,0.0
HMDB0000234<->AR,1.8103155,0.12250799,0.0
HMDB0000990<->ITGA1,1.7801656,0.83347416,0.8867763
HMDB0000123<->PTPRF,1.7298139,1.5639573,1.1776273
HMDB0000050<->AR,1.7297422,0.046702802,0.19273287
HMDB0000050<->ACKR3,1.728769,0.72514045,0.0785959
HMDB0000826<->RXRA,1.6641349,0.3163676,1.0469826
HMDB0000169<->ITGAV,1.639208,0.71812457,1.1091245
HMDB0002183<->RXRA,1.635187,0.1699924,1.067005
HMDB0000259<->ACKR3,1.6335094,0.9629913,0.02353394
HMDB0000123<->PTPRD,1.6244142,0.64210427,0.63171446
HMDB0000073<->ACKR3,1.6221119,0.590459,0.0
HMDB0001852<->NR1H3,1.5989197,0.7840853,0.0
HMDB0000234<->SLC22A8,1.584243,0.0,1.7109122
HMDB0000673<->RXRA,1.5812474,0.8928712,0.76872927
HMDB0000067<->NR1H3,1.5455151,0.6777352,0.53135294
HMDB0000073<->SLC9A3,1.5383567,0.79444915,0.0
HMDB0000673<->SLC27A1,1.5333872,0.89933294,0.49302772
HMDB0000058<->SLC9A3,1.5323914,1.1793619,0.05089927
HMDB0001852<->AR,1.4593395,0.1852412,0.0
HMDB0000169<->ITGB1,1.3784668,0.9885432,0.8159106
HMDB0000538<->KCNJ15,1.3737078,0.0,2.1286466
HMDB0000050<->SCNN1A,1.3275185,1.0372462,1.0981014
HMDB0000220<->CCKAR,1.275032,0.0,0.0
HMDB0000258<->SLC2A5,1.268988,0.0,0.52314055
HMDB0001043<->KCNJ1,1.2646292,1.3491738,0.3390477
HMDB0001999<->RXRA,1.2285261,0.10637007,1.142661
HMDB0000053<->AR,1.1866682,0.055895455,0.0
HMDB0001220<->CCKAR,1.1802531,0.0,0.39531875
HMDB0001852<->NR2F2,1.1776152,1.7755824,0.0
HMDB0004667<->RXRA,1.156511,0.95254683,1.6624151
HMDB0001852<->NR1H4,1.1530033,0.6794174,0.0
HMDB0000207<->ABCG2,1.1288323,0.0,0.8971099
HMDB0000058<->ERBB2,1.1020244,1.3565931,0.5895138
HMDB0000595<->SLC4A4,1.1015911,0.0,1.9633763
HMDB0001999<->SLC27A1,1.1012857,0.20155603,0.8558977
HMDB0000234<->NR3C1,1.0916638,1.1098015,0.093289025
HMDB0001043<->RXRA,1.0583129,0.88103765,0.5970043
HMDB0000158<->AR,1.0422399,0.10001152,0.52968204
HMDB0000067<->NR1H4,1.0405849,0.5967532,0.49604
HMDB0001043<->SLC27A1,1.0371472,0.8682831,0.3484941
HMDB0000169<->IL17RA,1.001908,0.2593411,0.076026976
HMDB0000870<->PTGER3,0.93786746,0.7166205,0.0
HMDB0001388<->RXRA,0.91436315,0.5749687,1.0604978
HMDB0001852<->NR1H2,0.8981965,1.4159693,0.0
HMDB0001852<->RXRA,0.8943913,1.1198148,0.32093045
HMDB0001388<->SLC27A1,0.8822839,0.61841494,0.6744846
HMDB0001220<->ACKR3,0.86436695,0.88512105,0.43895927
HMDB0000131<->GHR,0.8529786,0.8236404,0.4459427
HMDB0001852<->RXRB,0.8379968,1.2347316,0.0
HMDB0001852<->NR3C1,0.8338821,1.1511266,0.0
HMDB0000220<->SLC2A2,0.83252203,0.0,0.671316
HMDB0000169<->LIFR,0.8177424,0.54145443,0.27499145
HMDB0001852<->EGFR,0.81729794,1.0890992,0.0
HMDB0001999<->PPARD,0.808588,0.1481397,0.31102973
HMDB0000258<->NR1H4,0.80812335,0.3899663,0.5060107
HMDB0000220<->UCP2,0.7929886,0.5530392,0.6737214
HMDB0000259<->PTGER3,0.7834552,1.0393206,0.0
HMDB0000220<->RXRA,0.77977324,0.18880191,0.7132198
HMDB0000538<->ITGA1,0.76657706,0.54773504,1.3954407
HMDB0000220<->SLC27A1,0.75381386,0.18213108,0.42849633
HMDB0001043<->KDR,0.75351304,0.82925326,0.47208413
HMDB0000073<->PTGER3,0.7511678,0.6952347,0.0
HMDB0000169<->INSR,0.74552876,0.23877476,0.5117716
HMDB0000220<->GCGR,0.73362,0.123793334,0.2597689
HMDB0000067<->SMO,0.7270803,1.0616084,0.33656523
HMDB0000169<->EGFR,0.7182335,0.5201054,0.37620118
HMDB0000050<->PTGER3,0.71130157,0.899137,0.0
HMDB0000641<->AR,0.7107673,0.041490093,0.69497997
HMDB0000112<->GABBR1,0.70092416,0.70605284,0.113600716
HMDB0000067<->NR3C1,0.69611347,1.1265184,0.3661569
HMDB0000220<->SLC44A1,0.6779229,0.45376778,0.36611682
HMDB0000870<->EDNRB,0.6743533,0.79887176,0.3064163
HMDB0001852<->RORA,0.6519384,0.69478226,0.0
HMDB0000870<->AVPR2,0.6489293,0.9720818,0.060347248
HMDB0000067<->RORA,0.64145684,0.6694975,0.21688697
HMDB0000538<->MET,0.6312445,1.1000745,1.1658313
HMDB0000067<->NR1H2,0.62283593,1.4765806,0.6187585
HMDB0000073<->AVPR2,0.62100774,0.957415,0.0
HMDB0000251<->AXL,0.61579275,1.3598069,0.34461254
HMDB0000870<->ADORA2B,0.5874493,0.59136397,0.07168126
HMDB0000259<->EDNRB,0.57380366,1.0843077,0.23595218
HMDB0000234<->SLC16A1,0.55935276,0.49363968,0.5717106
HMDB0000305<->VDR,0.55719197,0.1906288,1.1539905
HMDB0000251<->SLC2A4,0.55459344,0.36990324,0.16331638
HMDB0000237<->SLC16A1,0.5390319,0.58450097,0.5160156
HMDB0001852<->AQP3,0.52642787,1.4138464,0.11020224
HMDB0003229<->SLC2A4,0.5254458,0.082823776,0.24649568
HMDB0000870<->PTGFR,0.5131926,0.16176441,1.1330911
HMDB0000538<->SLC2A1,0.5126299,1.2894206,0.8709439
HMDB0001314<->GUCY1A1,0.4736215,1.1352507,0.52386
HMDB0000169<->EPHA2,0.46704412,0.6525086,0.15335768
HMDB0000131<->AR,0.46655473,0.20652357,0.3127356
HMDB0000067<->FLT1,0.46603483,1.289368,0.79896826
HMDB0000050<->AVPR2,0.46466142,1.0978805,0.06809493
HMDB0000050<->ADORA2B,0.46450537,0.70549035,0.045257155
HMDB0000870<->LPAR2,0.46197295,0.11554445,0.44139424
HMDB0001314<->SLC25A22,0.4616339,0.45757586,0.27245516
HMDB0001852<->RARA,0.460254,0.91126126,0.115403846
HMDB0000259<->LPAR2,0.4594305,0.12957013,0.41570383
HMDB0000870<->LPAR1,0.45126307,0.52908844,0.09149546
HMDB0000259<->AVPR2,0.45028272,1.3163174,0.015069712
HMDB0000673<->ABCA1,0.4456127,0.7954754,0.40675417
HMDB0001220<->TNFRSF1A,0.44327497,1.6819334,1.324161
HMDB0000259<->ADORA2B,0.41391584,0.7535863,0.097776644
HMDB0000073<->ADORA2B,0.41358724,0.5638729,0.020285701
HMDB0000259<->PTGFR,0.41129676,0.39034963,1.0550249
HMDB0000870<->PTGER4,0.40586498,0.551485,0.19408329
HMDB0000151<->SLC22A1,0.4033067,0.0,2.1746507
HMDB0000073<->LPAR2,0.4013953,0.11877624,0.3372101
HMDB0000169<->ACVR2A,0.39334726,0.3196723,0.11090478
HMDB0000169<->GABBR1,0.39206356,0.34584334,0.16392781
HMDB0001999<->ABCA1,0.38838908,0.3021142,0.4925304
HMDB0000073<->LPAR1,0.38761085,0.47943676,0.0
HMDB0000058<->SLC34A2,0.38557276,1.0933512,0.0
HMDB0000870<->TLR3,0.38522694,0.55378,0.29024976
HMDB0000870<->TBXA2R,0.38205624,0.2749513,0.33904886
HMDB0000151<->ABCG2,0.3772859,0.28727648,1.8174189
HMDB0000207<->UCP2,0.37307954,0.38703126,0.8218933
HMDB0000538<->IFNGR1,0.36992288,0.7393645,1.5170704
HMDB0000191<->GRIK5,0.3672919,1.0043193,0.35058773
HMDB0000207<->RXRA,0.36465535,0.10976361,0.8124955
HMDB0003229<->FZD8,0.3621451,0.08081879,0.28861097
HMDB0000538<->INSR,0.3605618,0.3311819,0.9507514
HMDB0000169<->ITGA5,0.35938466,0.42072812,0.15272185
HMDB0000067<->SLC9A1,0.3569106,1.006464,0.4747833
HMDB0000050<->LPAR2,0.35278645,0.1081135,0.37028855
HMDB0000990<->ESR1,0.34672177,0.5301507,0.017766736
HMDB0000259<->LPAR1,0.34657264,0.7266769,0.048639428
HMDB0001220<->PTGER3,0.3441147,0.95701134,0.04734492
HMDB0000050<->LPAR1,0.34165546,0.580001,0.10764378
HMDB0001043<->CLCN2,0.33816105,0.26160195,0.04578725
HMDB0000169<->TGFBR3,0.33280024,0.6193305,0.29491192
HMDB0003229<->FZD5,0.33157846,0.07398401,0.17184387
HMDB0000538<->LPAR6,0.33076656,0.3188368,0.21923219
HMDB0000259<->TBXA2R,0.3298452,0.37470725,0.26418966
HMDB0001852<->RORC,0.3297562,0.50491995,0.0
HMDB0000073<->PTGER4,0.32873672,0.52904254,0.12497539
HMDB0000058<->CFTR,0.32408953,0.12712681,0.14615205
HMDB0000538<->P2RY2,0.31173146,0.49382877,0.0
HMDB0000990<->DDR2,0.31072757,0.7998455,0.1561043
HMDB0001220<->ADORA2B,0.3106576,0.6761803,0.14031701
HMDB0000151<->AR,0.31054932,0.11631694,0.6204933
HMDB0000220<->EDNRB,0.30693752,0.31240687,0.21376294
HMDB0000169<->ITGA2B,0.3061529,0.41345212,0.098433934
HMDB0000058<->ESR1,0.2960391,0.622223,0.045710742
HMDB0000050<->SLC6A4,0.2862503,0.0,0.014377863
HMDB0000050<->PTGER4,0.2830545,0.6331623,0.2000638
HMDB0000169<->PTPRM,0.28056732,0.37790465,0.14910711
HMDB0000050<->CFTR,0.27744016,0.09072563,0.18188888
HMDB0000259<->PTGER4,0.27455342,0.82937884,0.22832727
HMDB0001220<->LPAR2,0.27323025,0.10212665,0.5437317
HMDB0000538<->P2RX4,0.27185217,0.56698245,1.1560371
HMDB0000050<->ATP8A1,0.2713232,0.67425793,0.25424412
HMDB0001314<->GUCY1B1,0.2706358,0.63828707,0.31272218
HMDB0000538<->EGFR,0.26375228,0.59410024,0.6961699
HMDB0000220<->ABCA1,0.2625244,0.18771352,0.3187824
HMDB0001852<->GPRC5A,0.26157698,1.3073865,0.0
HMDB0001852<->NR1I2,0.25730968,0.04134016,0.08611837
HMDB0000169<->FZD5,0.25494578,0.25122213,0.12738143
