index,Factor1,Factor2,Factor3
HMDB0000058<->AQP1,2.1198082,0.9471526,1.5369351
HMDB0000067<->NR2F2,2.1086073,0.8561601,0.5281251
HMDB0001852<->NR2F2,2.0552492,0.0,0.8313155
HMDB0000234<->NR2F2,2.0385027,0.13905153,1.0268059
HMDB0001220<->TNFRSF1A,2.030446,1.3647492,0.19028017
HMDB0000259<->KCNJ1,1.8996229,0.72894794,0.8928687
HMDB0000123<->PTPRF,1.8949542,1.2379065,1.0170348
HMDB0001852<->NR2F6,1.8916513,0.15814549,0.95848083
HMDB0000067<->NR2F6,1.8754663,1.1226239,0.6357634
HMDB0000131<->ITGAV,1.8159057,1.2699087,0.08750665
HMDB0000234<->NR2F6,1.8094735,0.38752928,1.1329365
HMDB0000067<->NR1H2,1.7367327,0.7212579,0.33735472
HMDB0000131<->MET,1.729899,0.68123823,0.07125565
HMDB0000123<->PTPRJ,1.7268702,0.88291484,0.52685803
HMDB0000067<->THRA,1.718538,0.58270866,0.30656904
HMDB0000131<->TGFBR2,1.7136436,0.48521036,0.0
HMDB0000131<->ADGRL4,1.7114583,0.58184236,0.0
HMDB0000538<->AQP2,1.7063943,1.6898373,0.23656803
HMDB0001852<->THRA,1.6804893,0.0,0.61643934
HMDB0001852<->AQP3,1.6523423,0.04518511,0.46127293
HMDB0000234<->NR1H2,1.6492258,0.1174825,0.7499168
HMDB0000234<->THRA,1.6360507,0.03151988,0.78756756
HMDB0001852<->NR1H2,1.6247536,0.0,0.6520973
HMDB0000058<->ERBB2,1.611673,0.76202303,0.56142426
HMDB0001043<->KCNJ1,1.5933014,0.44220662,0.7592734
HMDB0000251<->AXL,1.5866008,0.40923783,0.38540128
HMDB0000067<->ERBB2,1.5775242,0.8377265,0.31062886
HMDB0000538<->SLC2A1,1.5708256,0.67661315,0.46025965
HMDB0000067<->FLT1,1.5438776,0.8636837,0.23367909
HMDB0000259<->AVPR2,1.5433123,0.0,0.3872913
HMDB0000151<->NR2F2,1.5387837,1.0783331,0.0
HMDB0000058<->AVPR2,1.5381609,0.0026024773,0.34820998
HMDB0000067<->ESRRA,1.5343475,1.1362927,0.51606137
HMDB0001852<->ERBB2,1.5341636,0.11947367,0.5724521
HMDB0001852<->ESRRA,1.532506,0.1644933,0.88178337
HMDB0000259<->KCNJ16,1.5178257,1.6974438,1.2513099
HMDB0000131<->ADGRF5,1.5016371,0.45179942,0.0
HMDB0000259<->PTGER1,1.495342,0.0,0.14222553
HMDB0001852<->GPRC5A,1.4935148,0.0,0.21995388
HMDB0000123<->PTGER1,1.4930534,0.0,0.19048122
HMDB0000123<->AVPR2,1.4764477,0.055373117,0.43008468
HMDB0000058<->PTGER1,1.4566729,0.0,0.11923599
HMDB0001220<->AVPR2,1.4557924,0.22698009,0.077295594
HMDB0000131<->F2R,1.443723,0.5188133,0.0
HMDB0000053<->NR2F2,1.4378713,0.0,0.7369821
HMDB0000234<->ESRRA,1.4371619,0.40982607,1.0489395
HMDB0000151<->SLC39A7,1.4363585,1.5663894,0.0
HMDB0001852<->RXRB,1.433274,0.012500641,0.58046323
HMDB0001220<->PTGER1,1.4325588,0.0,0.0
HMDB0000151<->NR2F6,1.396118,1.3298213,0.0
HMDB0000067<->RXRB,1.3870956,0.7020472,0.37282193
HMDB0000234<->RXRB,1.3740896,0.16041844,0.72984123
HMDB0000538<->ITGB5,1.3724039,1.5660709,0.09882504
HMDB0000131<->FLT1,1.3677716,0.56364673,0.0
HMDB0000538<->AQP1,1.3660625,1.4484823,1.0846369
HMDB0000538<->MET,1.3478388,1.000835,0.4785848
HMDB0000058<->SLC9A3,1.3401495,0.3317776,0.8215928
HMDB0000990<->AVPR2,1.3350983,0.08468015,0.40002248
HMDB0000131<->ADGRE5,1.3327919,0.43107736,0.04593499
HMDB0001852<->RXRA,1.3319633,0.4040694,0.50202566
HMDB0001314<->GUCY1A1,1.3315794,0.62805283,0.21729432
HMDB0000050<->AVPR2,1.3020352,0.028339624,0.3767345
HMDB0000123<->PTPRB,1.2898556,0.42997333,0.48734814
HMDB0000067<->NR3C1,1.2892011,0.5383675,0.3455944
HMDB0000067<->RXRA,1.2861485,1.213684,0.24011941
HMDB0000259<->EDNRB,1.2853168,0.24409541,0.39400783
HMDB0000058<->EDNRB,1.2836177,0.39421648,0.30642715
HMDB0001852<->NR3C1,1.2832503,0.05427459,0.5612743
HMDB0000131<->ITGA1,1.2817214,0.7844134,0.07541436
HMDB0000151<->NR1H2,1.2770233,0.7859555,0.0
HMDB0000058<->SLC34A2,1.2715043,0.013184205,0.23794647
HMDB0000131<->IL10RB,1.271417,0.52083635,0.0
HMDB0000050<->SCNN1A,1.2621919,1.1064532,0.79859996
HMDB0001852<->RARG,1.261946,0.0,0.21285482
HMDB0000234<->RXRA,1.2546563,0.63969857,0.68338484
HMDB0000234<->NR3C1,1.2528433,0.237821,0.6574961
HMDB0000234<->RARG,1.2509902,0.04589132,0.28269425
HMDB0004667<->RXRA,1.2489821,1.7516509,0.48880887
HMDB0000058<->TRPV4,1.2353637,1.1152309,0.94979876
HMDB0000517<->SLC7A1,1.2347544,0.2994119,0.072619356
HMDB0000067<->SMO,1.2337338,0.49969026,0.3617169
HMDB0000053<->NR2F6,1.2320546,0.12625857,0.8877804
HMDB0000123<->PTPRG,1.229003,0.457582,0.5345963
HMDB0000058<->PTGER3,1.2256895,0.0,0.51744205
