index,Factor1,Factor2,Factor3
HMDB0000058<->AQP1,2.194491,0.9018322,1.5730941
HMDB0000067<->NR2F2,2.1777866,0.8270822,0.54994994
HMDB0001852<->NR2F2,2.1094482,0.0,0.82788324
HMDB0000234<->NR2F2,2.0990255,0.1075732,1.0413737
HMDB0001220<->TNFRSF1A,2.0958014,1.3591772,0.20144552
HMDB0000259<->KCNJ1,1.9657933,0.7135549,0.89736706
HMDB0000123<->PTPRF,1.950831,1.2402873,1.0236129
HMDB0001852<->NR2F6,1.9504662,0.13362613,0.9646544
HMDB0000067<->NR2F6,1.944067,1.0966908,0.65738773
HMDB0000131<->ITGAV,1.8746741,1.260977,0.10306649
HMDB0000234<->NR2F6,1.8699188,0.35483038,1.1506699
HMDB0000067<->NR1H2,1.7973338,0.69441956,0.35540986
HMDB0000131<->MET,1.7859368,0.65170974,0.094077446
HMDB0000123<->PTPRJ,1.7782679,0.87975353,0.5307143
HMDB0000131<->TGFBR2,1.7718383,0.46615666,0.0
HMDB0000067<->THRA,1.7699496,0.57744396,0.308777
HMDB0000131<->ADGRL4,1.7661071,0.5710505,0.0
HMDB0000538<->AQP2,1.7484452,1.7908127,0.17662743
HMDB0001852<->THRA,1.72364,0.0,0.6062403
HMDB0000234<->NR1H2,1.7019709,0.08484933,0.76516074
HMDB0001852<->AQP3,1.6939265,0.0552741,0.44394735
HMDB0000234<->THRA,1.6796762,0.02432262,0.78376096
HMDB0001852<->NR1H2,1.6708063,0.0,0.6502049
HMDB0000058<->ERBB2,1.6649917,0.73272914,0.58631265
HMDB0001043<->KCNJ1,1.6447383,0.4298205,0.76192296
HMDB0000251<->AXL,1.6334666,0.39247647,0.3954538
HMDB0000067<->ERBB2,1.6299549,0.8142074,0.33299544
HMDB0000538<->SLC2A1,1.6158255,0.70434594,0.43759093
HMDB0000151<->NR2F2,1.5968808,1.0743885,0.0
HMDB0000067<->FLT1,1.59377,0.85604095,0.24097525
HMDB0000067<->ESRRA,1.5933503,1.1207353,0.5311733
HMDB0000259<->AVPR2,1.5835489,0.0,0.37629038
HMDB0001852<->ESRRA,1.583222,0.15082082,0.8797773
HMDB0000259<->KCNJ16,1.5830929,1.6823199,1.2741525
HMDB0000058<->AVPR2,1.5792056,0.001921204,0.33906254
HMDB0001852<->ERBB2,1.5781351,0.09669609,0.5835594
HMDB0000131<->ADGRF5,1.5458083,0.4474959,0.0
HMDB0001852<->GPRC5A,1.5299745,0.0,0.22466484
HMDB0000259<->PTGER1,1.5285028,0.0,0.13443159
HMDB0000151<->SLC39A7,1.4939853,1.5741353,0.0
HMDB0000131<->F2R,1.4933518,0.50519156,0.0
HMDB0001220<->AVPR2,1.4908242,0.24492656,0.05916416
HMDB0000058<->PTGER1,1.4892159,0.0,0.112702705
HMDB0000234<->ESRRA,1.48773,0.3922016,1.056076
HMDB0001852<->RXRB,1.4738119,0.0,0.58013797
HMDB0001220<->PTGER1,1.459533,0.0,0.0
HMDB0000151<->NR2F6,1.4557167,1.3278741,0.0
HMDB0000067<->RXRB,1.4336088,0.68480414,0.3869804
HMDB0000234<->RXRB,1.4168735,0.14020792,0.7377784
HMDB0000538<->ITGB5,1.4112872,1.6339926,0.061496273
HMDB0000131<->FLT1,1.4090451,0.55823946,0.0
HMDB0000538<->AQP1,1.407828,1.5088704,1.0536276
HMDB0000538<->MET,1.390783,1.0259033,0.46513736
HMDB0000058<->SLC9A3,1.3899473,0.30052915,0.837688
HMDB0000131<->ADGRE5,1.3786982,0.40077224,0.06565793
HMDB0001314<->GUCY1A1,1.3779925,0.59946924,0.24044487
HMDB0001852<->RXRA,1.3707291,0.39493603,0.5080102
