index,Factor1,Factor2,Factor3
HMDB0000673<->TNFRSF21,3.9608297,0.70180494,0.0
HMDB0000806<->HNF4A,3.773973,0.0,0.5758353
HMDB0000638<->HNF4A,3.728303,0.0,0.56310046
HMDB0001999<->TNFRSF21,3.4784706,0.0,0.38379535
HMDB0001388<->TNFRSF21,3.1928563,0.40694413,0.26175436
HMDB0000234<->ABCG2,3.0772572,0.6827171,0.4746693
HMDB0001043<->TNFRSF21,3.0084798,0.81173843,0.0
HMDB0000826<->RXRA,2.582759,0.3042332,0.4464628
HMDB0002183<->RXRA,2.5501685,0.1383755,0.48230588
HMDB0000220<->TNFRSF21,2.4941988,0.00087720226,0.10958622
HMDB0000673<->RXRA,2.424964,0.9507004,0.16390263
HMDB0001314<->TRPV4,2.3159795,1.1262283,0.62504405
HMDB0000058<->TRPV4,2.2899063,1.1372437,0.59282225
HMDB0001043<->TRPV4,2.2563217,0.9444164,0.045893744
HMDB0000053<->ABCG2,2.170624,0.42673278,0.28451297
HMDB0001999<->RXRA,2.1245368,0.0608,0.5895802
HMDB0000870<->CCKAR,2.0989547,0.0,0.19991872
HMDB0000870<->ACKR3,2.030479,0.65964496,0.012356969
HMDB0004667<->RXRA,1.9624863,0.9665558,1.252302
HMDB0000259<->CCKAR,1.8150047,0.045541164,0.21430732
HMDB0001043<->RXRA,1.7975569,0.9344668,0.05704756
HMDB0001388<->RXRA,1.7858071,0.5733324,0.50721574
HMDB0000990<->ITGA1,1.7841254,0.88596237,1.0323259
HMDB0000169<->ITGAV,1.7665521,0.76405954,1.1726452
HMDB0000123<->PTPRF,1.7386149,1.6641978,1.3629488
HMDB0000234<->AR,1.7216489,0.19466795,0.0
HMDB0000050<->ACKR3,1.7184876,0.80934656,0.070075996
HMDB0000673<->SLC27A1,1.6760523,0.96395636,0.45729122
HMDB0000123<->PTPRD,1.5998305,0.6942971,0.75140405
HMDB0000259<->ACKR3,1.5785698,1.077139,0.036464095
HMDB0001852<->NR1H3,1.577786,0.8655713,0.0
HMDB0000169<->ITGB1,1.5687072,1.0843967,0.7540917
HMDB0000073<->ACKR3,1.5291656,0.6826953,0.0
HMDB0000538<->KCNJ15,1.4327198,0.0,2.4219868
HMDB0000595<->SLC4A4,1.4226977,0.0,1.9693365
HMDB0003229<->FZD4,1.4063329,0.21356079,0.20167935
HMDB0001999<->SLC27A1,1.3806256,0.17145449,0.7973031
HMDB0000123<->PTPRK,1.3720256,0.90198725,0.53435004
HMDB0000220<->RXRA,1.3689473,0.17979531,0.3346035
HMDB0001852<->RXRA,1.2892854,1.213008,0.008871199
HMDB0000220<->CCKAR,1.2652264,0.0,0.012663216
HMDB0001043<->SLC27A1,1.1712602,0.91758823,0.30876872
HMDB0001852<->NR1H4,1.1599991,0.73742545,0.0
HMDB0003229<->FZD1,1.159777,0.34450334,0.09379029
HMDB0000053<->AR,1.1214522,0.096437186,0.0
HMDB0001388<->SLC27A1,1.1134086,0.62797964,0.6201326
HMDB0000220<->UCP2,1.0639806,0.5782677,0.54764944
HMDB0000169<->IL17RA,1.0382655,0.30469182,0.036938123
HMDB0001999<->PPARD,0.94846976,0.15430339,0.24093126
HMDB0000151<->ABCG2,0.9270714,0.22828501,1.6513498
HMDB0000207<->RXRA,0.91709465,0.08015688,0.4861202
HMDB0000220<->SLC27A1,0.9073434,0.18276834,0.38160244
HMDB0000169<->INSR,0.9000275,0.25796315,0.45356596
HMDB0000123<->PTPRG,0.89767873,1.1432444,0.42247316
HMDB0000169<->LIFR,0.8932617,0.61140704,0.22962362
HMDB0000169<->FZD4,0.8809808,0.63456374,0.32365316
HMDB0000169<->EGFR,0.8809191,0.5544905,0.29578996
HMDB0000990<->PTPRG,0.84888935,0.95939434,0.4524221
HMDB0000870<->PTGER3,0.84358704,0.8038893,0.0
HMDB0001852<->NR1H2,0.83289677,1.5598142,0.0
HMDB0000151<->SLC22A1,0.8310039,0.0,2.096813
HMDB0001852<->RXRB,0.8033568,1.3540205,0.0
HMDB0000123<->SLC6A9,0.7820772,0.68281275,0.0
HMDB0000220<->GCGR,0.7775997,0.12566186,0.27274266
HMDB0000169<->FZD1,0.7467673,0.65867734,0.07647265
HMDB0000169<->TGFBR2,0.7353892,0.948776,0.39717725
HMDB0000067<->NR1H2,0.73426425,1.5931935,0.57359684
HMDB0000067<->RORA,0.73213744,0.7293144,0.15191048
HMDB0000169<->BMPR2,0.7181924,0.57766855,0.46981865
HMDB0000870<->PTGFR,0.70125496,0.12571152,1.1555952
HMDB0000259<->PTGER3,0.69129884,1.1434994,0.0
HMDB0000112<->GABBR1,0.6744638,0.77546555,0.13906755
HMDB0000870<->ADORA2B,0.65916145,0.6444336,0.0
HMDB0000207<->RXRB,0.647273,0.2164805,0.30973214
HMDB0000073<->PTGER3,0.64383453,0.7821281,0.0
HMDB0000870<->EDNRB,0.6396562,0.8636701,0.36179805
HMDB0000538<->ITGA1,0.63832176,0.50675255,1.8141453
HMDB0000870<->LPAR2,0.6220121,0.109719746,0.37321314
HMDB0000050<->PTGER3,0.6176646,0.9937829,0.0
HMDB0001314<->SLC25A22,0.6159132,0.5097708,0.15101205
HMDB0001852<->RORA,0.61014706,0.7718528,0.0
HMDB0000259<->LPAR2,0.60915333,0.12836935,0.35101545
HMDB0000169<->EPHA2,0.599561,0.7141575,0.041089434
HMDB0000673<->ABCA1,0.5684769,0.86273974,0.35399088
HMDB0000870<->AVPR2,0.56511843,1.0601909,0.13039823
HMDB0000259<->PTGFR,0.5624825,0.37446266,1.0940236
HMDB0001999<->ABCA1,0.5517919,0.30872446,0.43963763
HMDB0001314<->GUCY1A1,0.51790535,1.2373793,0.5328833
HMDB0000050<->ADORA2B,0.51567435,0.76023316,0.0
HMDB0000259<->EDNRB,0.5110507,1.1721244,0.3066012
HMDB0000073<->AVPR2,0.4973247,1.0467103,0.09037961
HMDB0000131<->AR,0.49255165,0.2573627,0.2860142
HMDB0000050<->LPAR2,0.49114513,0.108068,0.30478626
HMDB0000073<->LPAR2,0.4880902,0.12109527,0.3131713
