index,Factor1,Factor2,Factor3
HMDB0001852<->NR2F2,3.2088678,1.1658623,0.019683845
HMDB0000259<->AVPR2,2.6026783,0.3072989,0.043401506
HMDB0000259<->PTGER1,2.4038496,0.0,0.0
HMDB0000131<->TGFBR2,2.3443656,0.060939606,0.63122296
HMDB0001220<->AVPR2,2.2628458,0.0,0.38231066
HMDB0001852<->RXRB,2.2406654,0.83634347,0.021794878
HMDB0000538<->SLC2A1,2.1812701,0.1548695,1.5696456
HMDB0000050<->AVPR2,2.18032,0.36831862,0.08242822
HMDB0001220<->PTGER1,2.1777961,0.0,0.0
HMDB0000259<->PTGER3,2.0764184,0.6575288,0.0
HMDB0001852<->RXRA,1.9961953,1.0362381,0.39121395
HMDB0000870<->AVPR2,1.9847656,0.52651364,0.10318764
HMDB0000073<->AVPR2,1.9835086,0.49306569,0.009634682
HMDB0001852<->RARG,1.9440178,0.17751367,0.053189386
HMDB0000234<->NR3C1,1.9184021,0.9940858,0.34243932
HMDB0000259<->EDNRB,1.9105695,0.48102504,0.4820119
HMDB0000870<->PTGER1,1.8993216,0.17466627,0.0
HMDB0000259<->ADORA1,1.8110696,0.0,0.0
HMDB0001220<->PTGER3,1.806382,0.18436614,0.17681932
HMDB0000538<->MET,1.7970372,0.44670638,1.8205532
HMDB0000517<->SLC7A1,1.7847526,0.0,0.5087466
HMDB0000050<->PTGER3,1.782879,0.6381895,0.0
HMDB0001314<->GUCY1A1,1.7691668,0.80953586,0.59117347
HMDB0001220<->ADORA1,1.6530889,0.0,0.0
HMDB0000673<->RXRA,1.6157013,1.8801478,0.8319839
HMDB0000673<->SLC27A1,1.5963873,1.6267189,0.7494572
HMDB0001043<->RXRA,1.591228,1.2427417,0.67287475
HMDB0001220<->EDNRB,1.5824587,0.0,0.8555441
HMDB0000050<->ADORA1,1.5722287,0.0,0.0
HMDB0001852<->RARA,1.5545126,0.41172913,0.27179053
HMDB0000259<->ACKR3,1.5529132,2.1737344,0.0
HMDB0001043<->SLC27A1,1.5528092,1.0372759,0.5915002
HMDB0001043<->TRPV4,1.531696,1.8077526,0.6453586
HMDB0000073<->ADORA1,1.5246032,0.0,0.0
HMDB0004667<->RXRA,1.514138,1.7026314,1.8673959
HMDB0000870<->ADORA1,1.5064106,0.0,0.0
HMDB0000870<->PTGER3,1.489382,0.8460564,0.0
HMDB0000073<->PTGER3,1.4849131,0.6236049,0.0
HMDB0000259<->ADORA2A,1.4311147,0.09773127,0.06088018
HMDB0001220<->ACKR3,1.4066137,1.4599444,0.30992118
HMDB0000870<->EDNRB,1.385422,0.56098247,0.5930225
HMDB0000259<->PTGER4,1.35586,0.21746746,0.4611683
HMDB0000673<->ABCA1,1.3491826,0.54784054,0.5440652
HMDB0000151<->ESRRA,1.3463439,0.032502655,1.746706
HMDB0000067<->ABCA1,1.3351182,0.3223303,0.589801
HMDB0000259<->LPAR1,1.3151474,0.3854061,0.06444433
HMDB0001043<->ABCA1,1.2677149,0.21766709,0.5328858
HMDB0000151<->NR3C1,1.2390912,0.0,0.9146054
