index,Factor1,Factor2,Factor3
HMDB0000058<->AQP1,2.08864,0.96127796,1.4976758
HMDB0000067<->NR2F2,2.0455217,0.8928998,0.49030924
HMDB0001852<->NR2F2,2.024293,0.04666258,0.776691
HMDB0000234<->NR2F2,2.0054576,0.19980101,0.9700694
HMDB0001220<->TNFRSF1A,1.9644932,1.3997561,0.13761744
HMDB0000259<->KCNJ1,1.8629203,0.734292,0.8723632
HMDB0001852<->NR2F6,1.8609709,0.23346356,0.887516
HMDB0000123<->PTPRF,1.8537831,1.2255251,0.9997244
HMDB0000067<->NR2F6,1.8204336,1.1539512,0.59149015
HMDB0000234<->NR2F6,1.785769,0.4424083,1.0696775
HMDB0000131<->ITGAV,1.7444853,1.3014861,0.050409887
HMDB0000123<->PTPRJ,1.6864991,0.8911935,0.5002872
HMDB0000067<->NR1H2,1.6813551,0.7524804,0.3073508
HMDB0000067<->THRA,1.6699092,0.58500427,0.30041006
HMDB0000131<->MET,1.6694622,0.719744,0.042430792
HMDB0000538<->AQP2,1.6673187,1.6261761,0.23792036
HMDB0001852<->THRA,1.659209,0.0,0.597886
HMDB0000131<->TGFBR2,1.6457688,0.5082655,0.0
HMDB0000131<->ADGRL4,1.6434616,0.6016531,0.0
HMDB0001852<->AQP3,1.6292295,0.08875027,0.41411588
HMDB0000234<->NR1H2,1.6216389,0.16443877,0.7068167
HMDB0000234<->THRA,1.614324,0.058110125,0.75998366
HMDB0001852<->NR1H2,1.6012195,0.02638302,0.61615664
HMDB0000058<->ERBB2,1.5663365,0.7713369,0.5439784
HMDB0001043<->KCNJ1,1.5652684,0.48036584,0.71525043
HMDB0000251<->AXL,1.5522912,0.4115167,0.38378727
HMDB0000538<->SLC2A1,1.5420091,0.680669,0.43368587
HMDB0000067<->ERBB2,1.5260315,0.85278934,0.2877808
HMDB0000259<->AVPR2,1.5234122,0.0,0.38480198
HMDB0000058<->AVPR2,1.5156626,0.0019195575,0.34501186
HMDB0001852<->ESRRA,1.5144689,0.22197583,0.8203296
HMDB0001852<->ERBB2,1.5043436,0.16610208,0.53058976
HMDB0000067<->FLT1,1.4901025,0.9036998,0.19197613
HMDB0000067<->ESRRA,1.488706,1.1493943,0.48332718
HMDB0000259<->KCNJ16,1.487193,1.667195,1.2365408
HMDB0000151<->NR2F2,1.4742775,1.0633377,0.0
HMDB0000123<->PTGER1,1.4688374,0.0,0.19148453
HMDB0000259<->PTGER1,1.4686453,0.0,0.14380999
HMDB0001852<->GPRC5A,1.4651498,0.010484715,0.1952557
HMDB0000123<->AVPR2,1.4595374,0.040945113,0.43335995
HMDB0000131<->ADGRF5,1.4447922,0.46881765,0.0
HMDB0000053<->NR2F2,1.4310532,0.016846282,0.6957322
HMDB0000058<->PTGER1,1.4293814,0.0,0.121702306
HMDB0001220<->AVPR2,1.4276699,0.21808901,0.0776153
HMDB0000234<->ESRRA,1.4268248,0.44939205,0.99185205
HMDB0001852<->RXRB,1.4065545,0.061540373,0.53910667
HMDB0001220<->PTGER1,1.4034655,0.0,0.0
HMDB0000131<->F2R,1.3824857,0.5372081,0.0
HMDB0000151<->SLC39A7,1.3714377,1.537873,0.0
HMDB0000234<->RXRB,1.3553487,0.20197725,0.6863825
HMDB0000538<->AQP1,1.3550587,1.3898718,1.0794067
HMDB0000073<->MET,1.3494743,0.47304326,1.0505929
HMDB0000067<->RXRB,1.3446393,0.72401935,0.34620634
HMDB0000151<->NR2F6,1.3361149,1.3074775,0.0
HMDB0000538<->ITGB5,1.3258352,1.5140358,0.10755461
HMDB0000058<->SLC9A3,1.3244561,0.35214767,0.7896725
HMDB0000990<->AVPR2,1.3230865,0.065284595,0.40601125
HMDB0000538<->MET,1.3162233,0.987787,0.4690149
HMDB0000073<->AXL,1.3147174,0.45938036,0.5659627
HMDB0000131<->FLT1,1.3086852,0.5870109,0.0
HMDB0001852<->RXRA,1.3028841,0.44892251,0.45352355
HMDB0000050<->PTGER1,1.2933351,0.0,0.14544435
HMDB0000050<->AVPR2,1.2922574,0.012692713,0.3811211
HMDB0000131<->ADGRE5,1.2818602,0.4610147,0.028109191
HMDB0001314<->GUCY1A1,1.2750338,0.61101145,0.24077807
HMDB0000073<->PDGFRA,1.2660564,0.00035999264,0.39676887
HMDB0000251<->AVPR2,1.261243,0.0,0.29085946
HMDB0000123<->PTPRB,1.258434,0.43461686,0.4791098
HMDB0001852<->NR3C1,1.2581136,0.10310947,0.5197766
HMDB0000259<->EDNRB,1.2558811,0.25767136,0.38144508
HMDB0000073<->SLC1A5,1.2552059,0.3941893,0.75959986
HMDB0000058<->EDNRB,1.2486861,0.4141479,0.28614077
HMDB0000067<->NR3C1,1.2453537,0.56169915,0.32567844
HMDB0000050<->SCNN1A,1.2410443,1.0978745,0.7753558
HMDB0000067<->RXRA,1.2382582,1.2059186,0.2272533
HMDB0001852<->RARG,1.2373911,0.0,0.20255554
HMDB0000058<->SLC34A2,1.2350557,0.041697733,0.22461993
HMDB0000234<->RXRA,1.2327889,0.6607545,0.6444966
HMDB0000234<->NR3C1,1.2305261,0.2772984,0.6170816
HMDB0000131<->ITGA1,1.2290584,0.79487956,0.066601254
HMDB0000151<->NR1H2,1.2271308,0.77509755,0.0
HMDB0000053<->NR2F6,1.2256384,0.17758004,0.8283822
HMDB0000234<->RARG,1.2215838,0.07109087,0.26462522
HMDB0000131<->IL10RB,1.2211468,0.5299325,0.0
HMDB0000058<->PTGER3,1.2203469,0.0,0.50019896
HMDB0000053<->THRA,1.2163501,0.0,0.55705255
HMDB0000123<->PTGER3,1.215184,0.0,0.56818324
HMDB0000058<->TRPV4,1.2086751,1.1308421,0.9089015
HMDB0004667<->RXRA,1.2075233,1.7163076,0.48029247
HMDB0000990<->PTGER1,1.204144,0.0,0.19502826
HMDB0000123<->PTPRG,1.1981167,0.4625639,0.5254966
HMDB0000123<->EDNRB,1.1978955,0.31590334,0.33518922
