,metabolite,degrading,producing
10,HMDB0004061,"['ALDH3A1', 'ALDH1A3', 'ALDH3B1', 'ALDH3B2']","['MAOA', 'MAOB']"
11,HMDB0000990,"['ALDH3A1', 'ALDH1A3', 'ALDH3B1', 'ALDH7A1', 'ALDH1A2', 'ALDH9A1', 'ALDH2', 'ALDH3A2', 'ALDH3B2', 'ALDH1B1', 'ALDH1A1']","['PTGR3', 'ADH6', 'ETNPPL', 'ADHFE1', 'ADH1B', 'DERA', 'ADH1C', 'CYP17A1', 'ADH7', 'ADH5', 'ADH1A', 'AKR1A1', 'CAT', 'ADH4', 'CYP2E1', 'PTS']"
12,HMDB0006458,"['ALDH3A1', 'ALDH1A3', 'ALDH3B1', 'ALDH7A1', 'AKR1B1', 'ALDH1A2', 'ALDH5A1', 'ALDH9A1', 'ALDH2', 'ALDH3A2', 'ALDH4A1', 'ALDH6A1', 'ALDH3B2', 'ALDH18A1', 'ALDH1B1', 'ALDH1A1', 'AKR1A1']","['PTGR3', 'GRHPR', 'ADH6', 'ADHFE1', 'ADH1B', 'ADH1C', 'ADH7', 'ADH5', 'ADH1A', 'AKR7A2', 'ADH4']"
13,HMDB0004181,"['ALDH3A1', 'ALDH1A3', 'ALDH3B1', 'ALDH3B2', 'MAOB']","['AOC3', 'AOC1', 'AOC2', 'MAOA']"
14,HMDB0041610,"['ALDH3A1', 'ALDH1A3', 'ALDH3B1', 'ALDH3B2']","['MAOA', 'AOC1', 'MAOB', 'AOC2']"
15,HMDB0003344,"['ALDH3A1', 'ALDH1A3', 'ALDH3B1', 'ALDH7A1', 'ALDH1A2', 'ALDH5A1', 'ALDH9A1', 'ALDH2', 'ALDH3A2', 'ALDH4A1', 'ALDH6A1', 'ALDH3B2', 'ALDH18A1', 'ALDH1B1', 'ALDH1A1', 'SULT2B1', 'UGT1A1']",[]
16,HMDB0003052,"['ALDH3A1', 'ALDH1A3', 'ALDH3B1', 'ALDH7A1', 'AKR1B1', 'ALDH1A2', 'ALDH5A1', 'ALDH9A1', 'ALDH2', 'ALDH3A2', 'ALDH4A1', 'AKR1B10', 'ALDH6A1', 'ALDH3B2', 'ALDH18A1', 'ALDH1B1', 'ALDH1A1']","['PTGR3', 'ADH6', 'ADHFE1', 'ADH1B', 'ADH1C', 'ADH7', 'ADH5', 'ADH1A', 'ADH4']"
17,HMDB0006355,"['ALDH3A1', 'ALDH1A3', 'ALDH3B1', 'ALDH1A2', 'ALDH9A1', 'ALDH2', 'ALDH3A2', 'ALDH4A1', 'ALDH3B2', 'ALDH1B1', 'ALDH1A1', 'ALDH7A1']",[]
18,HMDB0060451,"['ALDH3A1', 'ALDH1A3', 'ALDH3B1', 'ADH6', 'ADHFE1', 'ADH1B', 'ADH1C', 'ALDH3B2', 'ADH7', 'ADH5', 'ADH1A', 'ADH4']",[]
19,HMDB0000291,[],"['ALDH3A1', 'ALDH3B1', 'ALDH1A3', 'ALDH3B2']"
20,HMDB0001341,"['ATP5PF', 'ATP5MC3', 'ENTPD6', 'ATP5F1E', 'NSF', 'ATP5MC1', 'ATP5ME', 'ATP5F1A', 'ATP5F1B', 'PKLR', 'PKM', 'ATP5PO', 'ADPGK', 'ATP5MGL', 'ENTPD2', 'ATP5MG', 'ATP5PD', 'ATP5MF', 'ATP5F1C', 'DMAC2L', 'ENTPD3', 'ENTPD1', 'ENTPD8', 'ATP5F1D', 'ATP5PB', 'ENTPD5', 'ATP5MC2', 'ATP5MJ', 'CANT1', 'ATP5MK', 'ENTPD4', 'MT-ATP8', 'MT-ATP6', 'PNPT1', 'CPS1', 'HIBCH', 'NAXD', 'PNKP', 'QRSL1', 'GATB', 'NME5', 'GATC', 'ATP6V1B2', 'ATP6V0A1', 'ATP6V0E1', 'ATP6V1D', 'ATP6V1E1', 'ATP6V0A4', 'ATP6V1E2', 'ATP6V1G3', 'DUSP9', 'ATP6V0D1', 'ATP6V1A', 'ATP6V1B1', 'ATP6V1F', 'SRPK3', 'SLC25A19', 'ABCA1', 'TCIRG1', 'ATP6V1C1', 'ATP6V1G2', 'ATP6V0C', 'PLXNB3', 'ATP6V0A2', 'ATP10A', 'IDH3G', 'ATP6V1H', 'ATP6V1C2', 'L1CAM', 'ATP6V0D2', 'ABCD1', 'ABCD2', 'SSR4', 'PNCK', 'ATP6V0B', 'BCAP31', 'PDZD4', 'ATP6V1G1', 'SLC6A8', 'ABCD3', 'AK9']","['MAP3K12', 'IRAK3', 'STK32A', 'SPHK2', 'LTK', 'MKNK2', 'PANK2', 'FGR', 'PRKACB', 'PIM1', 'PRKDC', 'PRKCH', 'RIPK1', 'MAPKAPK2', 'PRKCD', 'MAP3K11', 'AKT3', 'TRPM6', 'PDK4', 'UCK2', 'PANK1', 'ERN2', 'NTRK3', 'IP6K3', 'SBK1', 'TBK1', 'MAPK6', 'PAPSS1', 'CDK19', 'MAP3K5', 'HUNK', 'EPHB2', 'MAP3K10', 'MAP3K1', 'UCKL1', 'MAPKAPK3', 'CSNK1E', 'CLK4', 'SLK', 'CDK8', 'MAP2K3', 'ACACA', 'CLK2', 'RIPK2', 'EPHA6', 'ULK2', 'PRPF4B', 'OPLAH', 'HIPK1', 'PRKG1', 'PIP4K2C', 'SIK2', 'PIK3C3', 'CDK2', 'PFAS', 'STK3', 'EIF2AK1', 'MERTK', 'DAPK2', 'RET', 'ARAF', 'CDK15', 'STYK1', 'ACSS2', 'EPHA4', 'TK1', 'CLK3', 'SRC', 'STK17A', 'JAK1', 'PIK3CG', 'GK3P', 'FHIT', 'LIMK2', 'PAK1', 'PTK2B', 'RPS6KA6', 'CSNK2B', 'FLT4', 'CAMKK2', 'PEAK1', 'SMG1', 'PRKD1', 'MAP3K20', 'MAP3K4', 'NEK5', 'RPS6KB2', 'FGGY', 'SYK', 'PAK4', 'MYLK4', 'PDK2', 'CTPS2', 'PLK4', 'PRKD3', 'EIF2AK3', 'TAF1', 'AAK1', 'STK10', 'CDK18', 'WNK2', 'PIM2', 'ERN1', 'NAGK', 'GRK7', 'WNK3', 'STK17B', 'RIOK1', 'PRKCB', 'PIK3R3', 'PRKD2', 'ERBB4', 'SGK3', 'RPS6KA5', 'CDK4', 'DTYMK', 'PIP5K1B', 'ROR1', 'BRSK1', 'IPMK', 'RPS6KB1', 'MAPK15', 'PRKCSH', 'BMPR1A', 'TRIO', 'PBK', 'PRKAB2', 'CERT1', 'PIM3', 'DCLK1', 'ACVR2A', 'MAP4K5', 'PLK2', 'CILK1', 'EPHA2', 'MAP3K7', 'MARK1', 'CDC42BPB', 'DYRK2', 'PRKCA', 'PTK7', 'NEK11', 'ATR', 'PI4K2A', 'COASY', 'NOL9', 'MAPK1', 'PAK6', 'PFKFB4', 'MOS', 'GNE', 'KHK', 'NEK6', 'TK2', 'MAPK10', 'MAPK4', 'GCLM', 'SRPK1', 'CDK6', 'MAST2', 'SIK3', 'NUAK2', 'DCLK2', 'CDK11A', 'FGFR2', 'CSNK1G1', 'STK38L', 'EPHA10', 'MAP2K6', 'PLK1', 'PI4KB', 'PFKM', 'IP6K1', 'INSL3', 'ACVR1', 'IRAK1', 'TESK1', 'CDK12', 'CSNK1A1L', 'MYLK', 'UHMK1', 'CSNK2A2', 'STK36', 'MVK', 'AURKB', 'PAK2', 'OXSR1', 'CDK17', 'NEK7', 'IGF1R', 'TLK1', 'RIOK2', 'JAK2', 'DYRK1A', 'TTK', 'PDK3', 'EIF2AK2', 'MAST4', 'GALK2', 'PRKAR2B', 'CDK1', 'NEK3', 'RRM2', 'CAMK2D', 'PKN2', 'CDC7', 'MAP3K21', 'EGFR', 'ITPK1', 'CSNK1A1', 'RAF1', 'TSSK3', 'SGK1', 'MTHFD1', 'AKT2', 'CAMKK1', 'TP53RK', 'PRKY', 'CAMK4', 'AURKC', 'PRKAR2A', 'PTK6', 'AGK', 'ZAP70', 'TESK2', 'MASTL', 'SNRK', 'ADK', 'HK3', 'FASTK', 'RRM1', 'MAP2K1', 'RPS6KA1', 'CAMK2A', 'PMVK', 'DGUOK', 'PRKCQ', 'PIK3CD', 'ABL2', 'PRKCE', 'NEK8', 'MAPK9', 'PRKAR1B', 'FGFR1', 'TAOK2', 'MAPK12', 'PIP5KL1', 'CHUK', 'CERK', 'LMTK3', 'PPIP5K1', 'INSR', 'PRKCG', 'FPGS', 'CDKL3', 'NADK', 'MAP3K13', 'MAP3K6', 'DYRK4', 'NEK9', 'PLK3', 'KDR', 'RIOK3', 'MAPK13', 'NMRK1', 'MVD', 'ULK1', 'CHKB', 'PAK5', 'EPHB1', 'GRK3', 'MAP3K14', 'YES1', 'LIMK1', 'AMHR2', 'PFKP', 'GRK2', 'MAPK14', 'DCK', 'PIKFYVE', 'DYRK3', 'FN3KRP', 'GCK', 'TTN', 'TNK2', 'TEK', 'MLKL', 'CDC42BPA', 'PRKACA', 'FAM20B', 'VRK2', 'MYLK3', 'WNK1', 'PANK4', 'DYRK1B', 'CDK10', 'RPS6KA3', 'MAP2K7', 'PIP4K2A', 'MAPK3', 'HK1', 'MAPK7', 'NTRK2', 'FES', 'PIK3R2', 'PRAG1', 'PIK3R1', 'PCCA', 'EPHA7', 'PRKAA2', 'RPS6KA2', 'GK', 'IRAK4', 'CSNK2A1', 'STK19', 'CHKA', 'PSKH2', 'ETNK2', 'BMX', 'FKBP9P1', 'GK2', 'TAOK1', 'PRKCZ', 'NEK4', 'PFKFB3', 'MAP4K1', 'PDGFRA', 'DMPK', 'STK26', 'RPS6KC1', 'GSS', 'PRKAR1A', 'TXK', 'ETNK1', 'PDXK', 'HKDC1', 'PKN3', 'DAPK3', 'CIT', 'VRK1', 'TKFC', 'PRKG2', 'NEK1', 'TYRO3', 'PIK3C2G', 'ERBB2', 'CSF1R', 'FER', 'SRMS', 'PKN1', 'EPHA8', 'PCCB', 'ACVR1C', 'HCST', 'DSTYK', 'CDK16', 'OBSL1', 'GTF2F1', 'CSNK1D', 'NUAK1', 'PIK3R5', 'PDGFRB', 'MST1R', 'CAMK1', 'TIE1', 'MKNK1', 'PIP4K2B', 'ATM', 'CAMK2G', 'CDK14', 'EPHA5', 'ACVR1B', 'IP6K2', 'BMPR2', 'STK16', 'BUB1B', 'HIPK2', 'MAP2K4', 'LATS2', 'MARK2', 'ROCK1', 'CLK1', 'MAP4K2', 'LMTK2', 'MAP2K2', 'GLUL', 'GLYCTK', 'ITPKB', 'CDK3', 'RBKS', 'JAK3', 'ALDH18A1', 'IKBKB', 'TEC', 'EIF2AK4', 'AATK', 'MELK', 'STK32B', 'MAP3K2', 'PSKH1', 'SPEG', 'TSSK6', 'CDKL2', 'HIPK3', 'MAP4K4', 'CAMK1D', 'STK32C', 'RRM2B', 'CDKL5', 'ALK', 'NLK', 'GRK1', 'PRKAA1', 'RFK', 'ACLY', 'ITPKA', 'CDK11B', 'IKBKE', 'FLT1', 'FGFR4', 'AKT1', 'MAP3K8', 'DDR1', 'FLT3', 'XYLB', 'PKMYT1', 'WEE1', 'KIT', 'FCSK', 'PIP5K1A', 'ACVR2B', 'PAK3', 'MAP3K3', 'TNK1', 'LGSN', 'MARK4', 'CDC42BPG', 'BRAF', 'WNK4', 'FYN', 'SPRYD3', 'PIK3CB', 'PPIP5K2', 'UCK1', 'FRK', 'TNIK', 'ITK', 'PDPK1', 'LATS1', 'SPHK1', 'STK25', 'BTK', 'PRKACG', 'BCR', 'PI4KA', 'CDKL4', 'MYO3B', 'TSSK4', 'PFKFB2', 'PTK2', 'CDKL1', 'MYLK2', 'PRKAG2', 'LRRK1', 'GCLC', 'DDR2', 'TYK2', 'PIK3C2B', 'CHEK2', 'CDK5', 'MAPKAPK5', 'BUB1', 'MATK', 'MOK', 'MTHFD1L', 'PINK1', 'FN3K', 'CTPS1', 'CDK20', 'EPHB3', 'HK2', 'TLK2', 'GALK1', 'STK35', 'MTHFS', 'RIPK3', 'LRRK2', 'ROCK2', 'ROR2', 'PAPSS2', 'PRPF4', 'NEK2', 'MAP3K15', 'STK39', 'EPHB6', 'STK38', 'DAPK1', 'MINK1', 'CDK9', 'AURKA', 'MAK', 'HCK', 'MAPK11', 'FGFR3', 'LCK', 'CSNK1G3', 'SRPK2', 'BRSK2', 'ROS1', 'ULK3', 'CAMK1G', 'PIP5K1C', 'STK24', 'RYK', 'GAK', 'MET', 'INSRR', 'MYO3A', 'CASK', 'EPHA3', 'PDK1', 'ACACB', 'PIK3R4', 'NTRK1', 'STK11', 'TAOK3', 'MAP3K9', 'MAST3', 'EPHA1', 'CAMK2B', 'CSK', 'ULK4', 'WEE2', 'RIPK4', 'RPS6KA4', 'PRKCI', 'PANK3', 'PIK3CA', 'BMPR1B', 'ILK', 'STK33', 'MAP2K5', 'PASK', 'LYN', 'PC', 'ABL1', 'ACVRL1', 'MAPK8', 'AXL', 'CDK13', 'BMP2K', 'ITPKC', 'PIK3C2A', 'TSSK1B', 'MUSK', 'MARK3', 'TSSK2', 'VRK3', 'MAP4K3', 'PRKX', 'KALRN', 'ERBB3', 'TGFBR1', 'STK4', 'STK31', 'SGK2', 'MAST1', 'BLK', 'TGFBR2', 'CDK7', 'CHEK1', 'EPHB4', 'IRAK2', 'TRPM7', 'CSNK1G2', 'PFKFB1', 'FAM227B', 'ADA', 'MTHFD2L', 'PI4K2B', 'IPPK', 'BABAM2', 'NADK2', 'NMRK2', 'TXN', 'DBP', 'TXN2', 'DGKK', 'MTHFD2', 'TPK1', 'GK5', 'PIF1', 'BRIP1', 'YTHDC2', 'DHX33', 'DDX12P', 'MCM9', 'CHD4', 'FBH1', 'CHD6', 'CHD7', 'DDX24', 'IDNK', 'MCM3', 'CHD1L', 'MOV10L1', 'DHX40', 'DDX17', 'OLA1', 'FANCM', 'MCM2', 'DPH6', 'DDX49', 'RIMKLB', 'DNA2', 'CAD', 'CFTR', 'DDX11L8', 'RIGI', 'IFIH1', 'TWNK', 'VCP', 'DHX32', 'CHD2', 'ATP13A4', 'IGHMBP2', 'DHX30', 'ERCC2', 'INO80', 'HELQ', 'HELB', 'MCM6', 'MCM8', 'ATAD2', 'DDX53', 'DHX58', 'DDX39B', 'DHX15', 'DDX20', 'TDRD9', 'KATNAL2', 'RECQL4', 'DHX8', 'ATP13A5', 'DDX60L', 'CHD8', 'WRN', 'DDX19A', 'DDX19B', 'DHX16', 'DDX28', 'EIF4A3', 'NTPCR', 'MTREX', 'MCM5', 'DDX5', 'ATP13A1', 'CHD1', 'CHD9', 'DHX9', 'MOV10', 'DDX11', 'MCM4', 'DDX42', 'ATAD1', 'CHD3', 'CHD5', 'DDX60', 'VPS4B', 'DDX51', 'DHX35', 'VPS4A', 'FIGNL1', 'RUVBL1', 'EIF4A1', 'HFM1', 'DHX37', 'DDX54', 'DDX25', 'ATP13A2', 'DDX31', 'DDX41', 'DDX46', 'DDX47', 'CARNS1', 'DDX55', 'DDX3Y', 'DDX56', 'ATP13A3', 'DQX1', 'DHX29', 'KATNAL1', 'SNRNP200', 'RUVBL2', 'DDX10', 'RTEL1', 'RECQL5', 'KATNA1', 'ERCC6L', 'DDX23', 'SMARCAD1', 'DDX43', 'EIF4A2', 'DHX38', 'DDX50', 'ATRX', 'ASCC3', 'DDX52', 'BLM', 'RECQL', 'DDX6', 'DDX59', 'DDX39A', 'RIMKLA', 'GTF2F2', 'DHX57', 'DDX18', 'G3BP1', 'DDX1', 'RAD54L2', 'DDX4', 'DDX27', 'SPAST', 'MCM7', 'SUPV3L1', 'DDX3X', 'DHX34', 'DDX21', 'ERCC3', 'DHX36', 'NAV2', 'ABCB4', 'SLC52A2', 'SLC5A6', 'ABCC2', 'ABCC1', 'ABCG2', 'ATP11C', 'SLC27A4', 'ATP8B2', 'ATP1A3', 'SLC52A1', 'SLC27A5', 'SLC23A1', 'ATP8B1', 'ATP1B2', 'SLC18A2', 'SLC25A4', 'ABCA3', 'ATP4B', 'ATP2B4', 'ATP4A', 'SLC17A7', 'ABCC4', 'SLC17A6', 'ATP1A4', 'ATP1B4', 'RALBP1', 'ABCB1', 'SLC17A8', 'SLC18A3', 'ABCA8', 'SLC27A2', 'ATP1A1', 'SLC25A6', 'SLC32A1', 'ATP2B2', 'ABCA4', 'ATP1A2', 'SLC27A6', 'ATP1B1', 'ATP11A', 'ABCC3', 'ABCB11', 'ABCC5', 'SLC5A1', 'ABCC11', 'ABCB6', 'ATP2B3', 'SLC52A3', 'SLC27A1', 'ABCG8', 'ATP8A1', 'ABCG5', 'ATP1B3', 'ATP2B1', 'SLC23A2', 'SLC25A5', 'SLC27A3', 'SLC18A1', 'ATP2C2', 'CA5A', 'AP1G1', 'NAE1', 'SLC51B', 'ATP2A3', 'ATP2C1', 'CA1', 'ATP2A1', 'CA9', 'SLC51A', 'CA6', 'ATP6AP1', 'CA4', 'CA3', 'ATP2A2', 'CA7', 'CA12', 'CA13', 'CA2', 'ABCG1', 'CA5B', 'FXYD2', 'CA14', 'ATP12A']"
21,HMDB0001022,"['ALAS2', 'ACOT8', 'OXCT1', 'ALAS1', 'GCAT', 'OXCT2', 'ACOT4', 'ACAA2', 'HADHB']","['OGDH', 'ACOX1', 'PDHX', 'DLD', 'DLST', 'EHHADH', 'ACAA1', 'HSD17B4', 'DBI']"
22,HMDB0000902,"['ALDH1A3', 'ALDH3B1', 'OGDH', 'IMPDH1', 'PTGR3', 'ECI1', 'PDHA2', 'MSMO1', 'ACOX1', 'ALDH1A2', 'ART5', 'SLC27A4', 'PDHX', 'ECI2', 'ALDH5A1', 'PDHB', 'ECHS1', 'ACOT8', 'IDH3A', 'PRODH', 'DLAT', 'ART4', 'BAAT', 'DLST', 'ACOT7', 'ALDH1L1', 'ACOT1', 'NADK', 'AASDH', 'ART1', 'ALDH4A1', 'DBT', 'ART3', 'PDHA1', 'HSD17B6', 'AMACR', 'ACOT4', 'SIRT6', 'HSD3B7', 'IDH3G', 'SORD', 'SLC27A2', 'ACAA2', 'ALDH6A1', 'ALDH3B2', 'ACSF3', 'ALDH18A1', 'ME2', 'ACADM', 'ACOT2', 'ACAA1', 'ACADVL', 'ALDH1A1', 'CD38', 'IMPDH2', 'BCKDHA', 'CHDH', 'HACL1', 'SDR16C5', 'IDH3B', 'MAOB', 'ACSF2', 'ACOX3', 'NSDHL', 'ACADS', 'NUDT12', 'BCKDHB', 'SLC27A1', 'SLC27A3', 'DHCR24', 'TMEM91', 'MECR', 'ME3', 'ALDH1L2', 'NADK2', 'PECR', 'AOX1', 'PHYH', 'BST1', 'SCCPDH', 'SIRT2', 'SIRT7', 'DHCR7', 'ENPP3', 'UGDH', 'SIRT4', 'SIRT1', 'SIRT3', 'SIRT5', 'ENPP1', 'OGDHL', 'TRPT1']","['NDUFS4', 'NDUFA11', 'CYB5R2', 'BLVRA', 'ALDH7A1', 'NDUFA7', 'BLVRB', 'CYP8B1', 'ACP7', 'NDUFA10', 'DHFR', 'NDUFV3', 'QDPR', 'DECR1', 'NNT', 'DECR2', 'ADH6', 'NDUFB2', 'MT-ND2', 'MT-ND3', 'COQ6', 'CYP4V2', 'NDUFC2', 'NDUFS3', 'PXYLP1', 'MT-ND1', 'ACP5', 'CYB5R1', 'NDUFA6', 'NDUFA4', 'ADHFE1', 'PHGDH', 'NDUFA8', 'ADH1B', 'ALDH2', 'NDUFA13', 'NDUFB5', 'LDHD', 'CYP24A1', 'LDHC', 'NDUFC1', 'NDUFA1', 'NDUFS8', 'MT-ND5', 'AKR1C4', 'ADH1C', 'MT-ND4', 'AKR1C2', 'NDUFA5', 'NDUFB10', 'SCD', 'NMNAT1', 'NDUFS2', 'PYCR1', 'NDUFS5', 'MT-ND4L', 'NDUFS7', 'CYP21A2', 'CYB5R3', 'HSD3B2', 'NDUFB4', 'ACP4', 'NDUFB7', 'ACP6', 'CYP27A1', 'NDUFV1', 'NDUFA3', 'ADH7', 'LDHB', 'ADH5', 'NDUFB9', 'NDUFA9', 'GFUS', 'NDUFB1', 'NDUFB8', 'ALDH1B1', 'LDHA', 'NADSYN1', 'ADH1A', 'MT-ND6', 'FADS1', 'NDUFS1', 'ACP1', 'NDUFA12', 'LDHAL6B', 'NDUFV2', 'AKR7A2', 'NDUFB3', 'AKR1C3', 'HSD17B2', 'TXNRD1', 'NDUFB11', 'CMAHP', 'NDUFS6', 'LDHAL6A', 'NDUFA2', 'NQO1', 'NDUFB6', 'ADH4', 'ACP3', 'SC5D', 'CYP2E1', 'NDUFAB1', 'AKR1C1', 'TUSC3', 'FADS2', 'PYCR3', 'HSD17B7', 'GPD1L', 'HSD17B1', 'AKR1B1', 'DPYD', 'FADS3', 'GRHPR', 'FMO1', 'PHPT1', 'MTMR7', 'TYR', 'MTMR2', 'FAXDC2', 'MTMR6', 'MTMR1', 'AMT', 'PRODH2']"
