,metabolite,degrading,producing
0,HMDB0059655,[],"['PHGDH', 'L2HGDH']"
1,HMDB0006242,"['ALDH3A1', 'ALDH1A3', 'ALDH3B1']","['MAOA', 'MAOB']"
2,HMDB0000042,"['ACSS2', 'AACS', 'ACSS1', 'ACSS3', 'PON3', 'UGT1A1', 'PON2', 'PON1']","['ALDH3A1', 'ALDH1A3', 'ALDH3B1', 'ALDH7A1', 'ALDH1A2', 'PIGL', 'PAFAH1B3', 'PAFAH1B1', 'ACHE', 'ASPA', 'AMDHD2', 'ACOT8', 'PAFAH2', 'ALDH9A1', 'ALDH2', 'ALDH3A2', 'CLYBL', 'PAFAH1B2', 'CYP17A1', 'ALDH3B2', 'ALDH1B1', 'ALDH1A1', 'PLA2G7', 'BCHE', 'ACY1', 'SIAE', 'ACY3', 'ACOT12', 'CEMP1', 'BCO2', 'CYP11B2', 'ASPG', 'CYP11B1', 'CES1', 'ACYP1', 'ESD', 'ACYP2', 'HMGCL', 'CES2', 'SLC16A1', 'SLC16A13', 'SLC16A4', 'SLC16A5', 'SLC16A8', 'SLC16A9', 'SLC16A7', 'SLC16A6', 'SLC16A3', 'SLC16A12']"
3,HMDB0001487,"['NDUFS4', 'NDUFA11', 'CYB5R2', 'BLVRA', 'BLVRB', 'NDUFA7', 'CYP8B1', 'NDUFA10', 'NDUFV3', 'QDPR', 'NNT', 'NDUFB2', 'MT-ND2', 'MT-ND3', 'COQ6', 'CYP4V2', 'NDUFC2', 'NDUFS3', 'MT-ND1', 'CYB5R1', 'NDUFA6', 'NDUFA4', 'NDUFA8', 'NDUFA13', 'NDUFB5', 'CYP24A1', 'NDUFC1', 'NDUFA1', 'NDUFS8', 'MT-ND5', 'AKR1C4', 'MT-ND4', 'AKR1C2', 'NDUFA5', 'NDUFB10', 'SCD', 'NDUFS2', 'NDUFS5', 'MT-ND4L', 'CYP21A2', 'NDUFS7', 'CYB5R3', 'NDUFB4', 'NDUFB7', 'NDUFA3', 'NDUFV1', 'NDUFB9', 'NDUFA9', 'GFUS', 'NDUFB1', 'NDUFB8', 'MT-ND6', 'FADS1', 'NDUFS1', 'NDUFA12', 'AKR7A2', 'NDUFV2', 'NDUFB3', 'HSD17B2', 'TXNRD1', 'NDUFB11', 'NDUFS6', 'NDUFA2', 'NQO1', 'NDUFB6', 'CYP2E1', 'SC5D', 'NDUFAB1', 'AKR1C1', 'FADS2', 'TUSC3', 'HSD17B7', 'HSD17B8', 'GPD1L', 'HSD17B1', 'AKR1B1', 'DPYD', 'FADS3', 'GRHPR', 'FMO1', 'TYR', 'FAXDC2']","['ALDH3A1', 'OGDH', 'ALDH3B1', 'ALDH1A3', 'IMPDH1', 'ACOX1', 'PTGR3', 'ECI1', 'ALDH7A1', 'PDHA2', 'MSMO1', 'ALDH1A2', 'DECR1', 'DECR2', 'SLC27A4', 'PDHX', 'ADH6', 'ECI2', 'ALDH5A1', 'PDHB', 'ECHS1', 'ACOT8', 'PRODH', 'DLAT', 'PHGDH', 'ADH1B', 'HSD3B1', 'ALDH9A1', 'DLST', 'BAAT', 'ALDH1L1', 'ACOT1', 'AASDH', 'ALDH3A2', 'ADH1C', 'HADHB', 'HSD17B10', 'ALDH4A1', 'DBT', 'PDHA1', 'HSD17B6', 'SLC27A2', 'AMACR', 'ACOT4', 'HSD3B7', 'SORD', 'HSD3B2', 'ACAA2', 'ACOT7', 'ALDH6A1', 'ACSF3', 'ALDH3B2', 'ADH7', 'HADH', 'ADH5', 'ALDH18A1', 'ME2', 'ACADM', 'ACOT2', 'ACAA1', 'ADH1A', 'ALDH1A1', 'ACADVL', 'IMPDH2', 'CHDH', 'BCKDHA', 'AKR1C3', 'HACL1', 'SDR16C5', 'HSD17B4', 'CMAHP', 'MAOB', 'ACSF2', 'HADHA', 'SLC27A1', 'ACOX3', 'ADH4', 'ACADS', 'NSDHL', 'BCKDHB', 'SLC27A3', 'DHCR24', 'TMEM91', 'MECR', 'PYCR3', 'ME3', 'ALDH1L2', 'ALDH8A1', 'FAR2', 'PECR', 'AOX1', 'PHYH', 'FAR1', 'SCCPDH', 'DHCR7', 'UGDH', 'NAXD', 'OGDHL', 'PRODH2']"
4,HMDB0000663,[],"['ALDH3A1', 'ALDH1A3', 'ALDH3B1', 'ALDH1A2', 'ALDH9A1', 'ALDH2', 'ALDH3A2', 'ALDH4A1', 'ALDH3B2', 'ALDH1B1', 'ALDH1A1', 'ALDH7A1', 'SLC2A5']"
5,HMDB0002820,[],"['ALDH3A1', 'ALDH1A3', 'ALDH3B1', 'ALDH3B2', 'MAOB']"
6,HMDB0000115,"['HAO2', 'HAO1', 'SULT2B1', 'CYP4A11', 'UGT1A1', 'CYP4A22']","['ALDH3A1', 'ALDH1A3', 'ALDH3B1', 'ALDH7A1', 'ALDH1A2', 'GRHPR', 'ALDH5A1', 'ALDH9A1', 'ALDH2', 'ALDH3A2', 'ALDH4A1', 'PGP', 'ALDH6A1', 'ALDH3B2', 'ALDH18A1', 'ALDH1B1', 'ALDH1A1']"
7,HMDB0000190,"['CYB5D1', 'SLC22A12']","['ALDH3A1', 'ALDH1A3', 'ALDH3B1', 'ALDH7A1', 'ALDH1A2', 'ALDH5A1', 'ALDH9A1', 'ALDH2', 'ALDH3A2', 'ALDH4A1', 'ALDH6A1', 'ALDH3B2', 'ALDH18A1', 'ALDH1B1', 'ALDH1A1', 'BSG', 'SLC16A1', 'SLC16A8', 'AQP9', 'SLC16A3', 'SLC16A7', 'SLC5A8', 'SLC16A4', 'SLC16A5', 'SLC16A6']"
8,HMDB0042048,[],"['ALDH3A1', 'ALDH1A3', 'ALDH3B1', 'CYP1B1', 'CYP2C18', 'CYP3A7', 'CYP2C8', 'CYP3A4', 'CYP1A1', 'CYP3A5', 'ALDH3B2', 'CYP3A43', 'CYP2C9', 'CYP2C19']"
9,HMDB0003791,"['ALDH3A1', 'ALDH1A3', 'ALDH3B1', 'ALDH3B2', 'AKR1A1']","['MAOA', 'AOC3', 'AOC1', 'MAOB', 'AOC2']"
