index,Factor1,Factor2,Factor3
HMDB0000131<->TGFBR2,3.7819772,0.44801652,0.0
HMDB0001852<->RXRA,3.3872812,0.93525535,0.0
HMDB0000234<->NR3C1,3.1873887,1.0098199,0.0
HMDB0001852<->RARG,2.9815593,0.0,0.0
HMDB0001220<->PTGER1,2.8881438,0.0,0.0
HMDB0000517<->SLC7A1,2.6980958,0.07392891,0.3238769
HMDB0001043<->TRPV4,2.6394672,2.1788502,0.0
HMDB0001852<->RARA,2.545682,0.4483767,0.0
HMDB0000067<->ABCA1,2.1539423,0.64642423,0.07696734
HMDB0000151<->NR3C1,2.15261,0.73135096,0.04643695
HMDB0000050<->ADORA1,2.0603292,0.0,0.02759697
HMDB0001220<->PTGER3,2.0003157,0.0,0.65696967
HMDB0000151<->ESRRA,1.8927021,1.415929,0.6572297
HMDB0000112<->GABBR1,1.8192744,0.5855986,0.25576946
HMDB0000050<->ADORA2B,1.8008599,0.4937763,0.0
HMDB0000067<->ABCG1,1.7541345,0.09494969,0.11325519
HMDB0000538<->SLC2A1,1.6747538,0.0,2.9458742
HMDB0000050<->ADORA2A,1.5885875,0.10427761,0.051980183
HMDB0001220<->PTGER4,1.5522054,0.22668354,0.34063962
HMDB0001852<->RARB,1.5133893,0.0,0.0
HMDB0000538<->MET,1.3632903,0.3610913,2.9406931
HMDB0000234<->ESR1,1.3257799,0.10389222,0.014306431
HMDB0000073<->ADORA2A,1.2205204,0.14590107,0.0
HMDB0000595<->SLC4A8,1.0974096,0.17805861,0.2654711
HMDB0000538<->P2RY2,1.0441325,0.0,0.44866294
HMDB0000151<->ESR1,1.0256523,0.116045594,0.030724317
HMDB0000538<->EGFR,0.9618261,0.44230145,1.2051547
HMDB0000538<->PANX1,0.9290088,0.0707965,0.14974044
HMDB0000595<->SLC4A7,0.8900429,0.36905262,0.0
HMDB0000259<->TBXA2R,0.88388914,0.61455476,0.14569597
HMDB0001220<->TBXA2R,0.8827011,0.5271168,0.11154106
HMDB0000259<->HTR1B,0.87608576,0.0,0.18556222
HMDB0000806<->TLR4,0.82371134,0.25931594,0.026141997
HMDB0001341<->EPHA2,0.8225382,0.17665277,0.0
HMDB0001341<->BMPR2,0.8219497,0.120699875,0.0
HMDB0000145<->ESR1,0.7644335,0.20840035,0.041587062
HMDB0000073<->HTR1B,0.70705795,0.0,0.1384708
HMDB0001341<->EPHB2,0.70679826,0.0,0.0
HMDB0000234<->AR,0.66403866,1.7524626,0.0
HMDB0000870<->TBXA2R,0.61672044,0.7491446,0.19956931
HMDB0000538<->P2RX4,0.610946,0.77417207,1.7368958
HMDB0000220<->ABCA1,0.60936624,0.61777836,0.0
HMDB0000108<->SLC29A1,0.5418282,0.0,0.05730318
HMDB0000112<->GABRE,0.45751747,0.0004402612,0.009393704
HMDB0000151<->ABCG2,0.45474508,2.8210902,0.44513136
HMDB0000148<->SLC1A3,0.4259109,0.0,0.047127787
HMDB0001220<->PTGIR,0.41465643,0.1744129,0.041507713
HMDB0000538<->P2RX1,0.40912804,0.21115345,0.30094594
HMDB0000058<->ADRB2,0.40794876,0.324305,0.0
HMDB0001999<->PPARD,0.40251082,1.1938527,0.10714926
HMDB0000050<->CXCR4,0.39274365,0.39295426,0.15559302
HMDB0000050<->P2RY1,0.3752234,0.2713913,0.049260583
HMDB0000050<->ADRB2,0.34363934,0.2919516,0.010976059
HMDB0004667<->PPARG,0.33847633,0.050280824,0.0
HMDB0000870<->ADRB2,0.32553804,0.2867274,0.02195852
HMDB0000058<->CFTR,0.29646212,0.6190374,0.0
HMDB0000151<->AR,0.26585284,1.2712313,0.017408272
HMDB0000073<->ADRB2,0.26142016,0.23816618,0.0
HMDB0000595<->CFTR,0.25637558,0.46606374,0.0
HMDB0001341<->EPHB3,0.2307632,0.021165844,0.0
HMDB0000538<->P2RY1,0.22892363,0.12038347,0.13704185
HMDB0001341<->KIT,0.22868644,0.022398965,0.0
HMDB0001043<->PPARG,0.22828835,0.053272292,0.0
HMDB0000151<->GPER1,0.21643895,0.01647895,0.12467747
HMDB0001341<->EPHA4,0.21423338,0.0,0.0
HMDB0001341<->MERTK,0.194055,0.0077142585,0.0
HMDB0000050<->OXGR1,0.18651165,0.27294648,0.4780185
HMDB0001341<->EPHA1,0.17815347,0.010628587,0.0
HMDB0000538<->INSR,0.17715183,0.7250674,1.473524
HMDB0000050<->ADRB1,0.13888375,0.21278445,0.06818319
HMDB0000538<->CFTR,0.13587792,0.31092942,0.03829028
HMDB0000073<->ADRB1,0.12554517,0.12947235,0.096170805
HMDB0000870<->ADRB1,0.09961627,0.20354661,0.10353768
HMDB0001341<->EPHA7,0.09253091,0.0,0.0
HMDB0000112<->GABRB3,0.090626076,0.13656768,0.05526425
HMDB0001341<->EPHB1,0.079969265,0.021647641,0.0
HMDB0000538<->SCNN1G,0.06587589,0.064194694,1.4417309
HMDB0000108<->KCNJ5,0.055073924,0.0,0.0
HMDB0001341<->EPHA3,0.033585027,0.048176832,0.0
HMDB0001341<->P2RY1,0.02760412,0.026354317,0.0
HMDB0000806<->HNF4A,0.0,4.821315,0.0
HMDB0000595<->SLC4A4,0.0,3.3838863,0.7880966
HMDB0000108<->HTR3A,0.0,0.0,0.0
HMDB0000538<->SCNN1A,0.0,0.0,4.4027777
