index,Factor1,Factor2,Factor3
HMDB0000151<->SLC22A1,3.0143626,0.056477625,0.10058308
HMDB0000538<->KCNJ15,2.9625015,0.0,0.8183293
HMDB0000595<->SLC4A4,2.832316,0.0,0.5717634
HMDB0000151<->ABCG2,2.5479429,0.3246989,0.106267564
HMDB0000538<->SCNN1B,2.530111,0.5943383,0.0
HMDB0004667<->RXRA,2.4982634,0.9642966,0.55418843
HMDB0000234<->SLC22A8,2.4874651,0.0,0.9441068
HMDB0000538<->SCNN1A,2.4258862,0.81989014,0.14802673
HMDB0000538<->ITGB5,2.4191918,1.0652366,0.0
HMDB0000538<->SLC8A1,2.2322445,0.0058952896,0.0
HMDB0000234<->SLC22A6,2.156869,0.0,0.99070984
HMDB0000538<->IFNGR1,1.9524177,0.76514274,0.23327082
HMDB0001999<->RXRA,1.8906176,0.13661252,0.55781406
HMDB0002183<->RXRA,1.8483573,0.18797894,0.81711864
HMDB0000826<->RXRA,1.8316596,0.32934037,0.83222294
HMDB0001220<->TNFRSF1A,1.8147432,1.6473504,0.24821043
HMDB0000538<->ITGA1,1.8126081,0.57254195,0.50356376
HMDB0000234<->SLC22A1,1.7699337,0.11356793,1.8914106
HMDB0001999<->SLC8A1,1.7270734,0.0,0.005353348
HMDB0001388<->RXRA,1.7100453,0.5862744,0.3932264
HMDB0000131<->ITGAV,1.7051476,1.514365,0.102446206
HMDB0000151<->ESRRA,1.69575,0.89950216,0.0
HMDB0000806<->HNF4A,1.6804358,0.0,1.9413748
HMDB0000638<->HNF4A,1.6574352,0.0,1.9152802
HMDB0000169<->ITGAV,1.6392713,0.70708823,1.0259544
HMDB0000123<->PTPRF,1.6241276,1.5243112,1.1645688
HMDB0001220<->PTGFR,1.6184223,0.3609963,0.0
HMDB0000305<->VDR,1.6166843,0.20763816,0.29873982
HMDB0003229<->SLC2A2,1.585747,0.0,0.52566093
HMDB0000870<->PTGFR,1.5330151,0.18004763,0.30016303
HMDB0000538<->P2RX4,1.4865721,0.5828424,0.17666812
HMDB0000050<->SCNN1A,1.4751894,1.0025835,0.91475993
HMDB0001999<->TNFRSF21,1.4733102,0.0,1.6997087
HMDB0000538<->MET,1.4600389,1.0820943,0.47543815
HMDB0000207<->ABCG2,1.4172298,0.0,0.6368366
HMDB0000151<->KDR,1.4139447,0.55851465,0.0
HMDB0000673<->RXRA,1.4083719,0.87011325,0.83705175
HMDB0000259<->PTGFR,1.4036546,0.39785913,0.2522112
HMDB0000990<->ITGA1,1.3548837,0.8121203,1.1194183
HMDB0001314<->TRPV4,1.3229396,0.999258,1.2340639
HMDB0001999<->SLC27A1,1.3139772,0.21819676,0.6160267
HMDB0000151<->ERBB2,1.299277,0.8893189,0.0
HMDB0000169<->ITGB1,1.2694103,0.9615387,0.8456867
HMDB0000058<->TRPV4,1.2596419,1.0086768,1.2341548
HMDB0000207<->RXRA,1.2561002,0.13134512,0.09924211
HMDB0000538<->INSR,1.2324542,0.34268063,0.24029249
HMDB0001388<->TNFRSF21,1.2102153,0.3890379,1.570658
HMDB0000207<->UCP2,1.2008929,0.3924525,0.16359481
HMDB0000220<->RXRA,1.1886073,0.20305438,0.35495064
HMDB0000538<->ACVRL1,1.1790181,0.788565,0.056876894
HMDB0000234<->ABCG2,1.1620512,0.5337318,1.8454328
HMDB0000220<->SLC2A2,1.1226418,0.0,0.42798975
HMDB0000067<->FLT1,1.1142384,1.250635,0.28999662
HMDB0001043<->RXRA,1.0828936,0.85899025,0.5370903
HMDB0000641<->AR,1.0780281,0.05477317,0.37100333
HMDB0000220<->UCP2,1.0600115,0.5444266,0.43435845
HMDB0001388<->SLC27A1,1.0166206,0.61339116,0.5150856
HMDB0000234<->SLC22A12,1.0162777,0.0,1.9678305
HMDB0000538<->SLC2A1,1.0105664,1.2585578,0.44408262
HMDB0000131<->ITGA1,0.9990437,1.0868222,0.10696627
HMDB0000538<->SCNN1G,0.99063724,0.30545187,0.0
HMDB0000123<->PTPRD,0.96788955,0.6279123,1.0474949
HMDB0000067<->NR1H3,0.95870495,0.64344436,0.9292112
HMDB0000234<->SLC16A1,0.9226879,0.47222567,0.28852805
HMDB0000058<->AQP1,0.9204547,1.745124,1.8975859
HMDB0000151<->EGFR,0.9157595,0.72318834,0.0
HMDB0000151<->GJB1,0.9153697,0.4573277,0.0
HMDB0000538<->EGFR,0.9070058,0.58760303,0.17866723
HMDB0000058<->ERBB2,0.90586954,1.3090911,0.69933647
HMDB0000151<->AR,0.9031268,0.13163172,0.13694632
HMDB0000067<->NR1H2,0.8845498,1.4224336,0.40805957
HMDB0000067<->NR1H4,0.876574,0.57185525,0.5915432
HMDB0000237<->SLC16A1,0.8758795,0.5636178,0.25257394
HMDB0000131<->INSR,0.8753059,0.60867167,0.07586132
HMDB0000158<->AR,0.86741036,0.10455036,0.6086423
HMDB0000258<->SCNN1G,0.8670386,0.30063066,0.0
HMDB0000538<->CLCN7,0.8479897,0.6616948,0.2532288
HMDB0000151<->NR3C1,0.8373114,0.80287665,0.0
HMDB0003229<->INSR,0.82959,0.0,0.67667407
HMDB0000673<->SLC27A1,0.8256897,0.86630344,0.9652647
HMDB0000258<->NR1H4,0.8247671,0.37558416,0.46472776
HMDB0000258<->SLC2A5,0.8245931,0.0,0.8057178
HMDB0000131<->MET,0.8184547,1.4514736,0.11503542
HMDB0000538<->IFNGR2,0.8100567,0.6957612,0.1498943
HMDB0000151<->CELSR2,0.80962616,0.6486851,0.0
HMDB0000050<->SCNN1G,0.8082801,0.42643857,0.06476025
HMDB0000220<->PTGFR,0.8005131,0.03340057,0.09337683
HMDB0000220<->TNFRSF21,0.7993957,0.0,1.2708528
HMDB0001220<->LPAR2,0.7968234,0.11349255,0.11858613
HMDB0000151<->SLC39A10,0.7934046,0.5463886,0.0
HMDB0000169<->INSR,0.78122175,0.23450445,0.45196483
HMDB0000538<->TRPM4,0.7794785,0.68299097,0.0
HMDB0001314<->GUCY1A1,0.7755962,1.1175519,0.265089
HMDB0001999<->ABCA1,0.75372857,0.30283663,0.19096203
HMDB0000123<->PTPRK,0.7520176,0.8040426,0.88306797
HMDB0001043<->KDR,0.7492129,0.79487926,0.45815036
HMDB0000131<->GHR,0.7450334,0.78911424,0.5096802
HMDB0000131<->FLT1,0.74362093,1.1359237,0.0
HMDB0000673<->TNFRSF21,0.739986,0.6070788,2.2357373
HMDB0000169<->BMPR2,0.7356018,0.5184486,0.3781637
HMDB0001220<->EDNRB,0.723758,0.9374165,0.033010338
HMDB0000050<->SLC5A8,0.72179586,0.0,1.6584841
HMDB0000207<->NR1H3,0.7168907,0.03127045,0.48544753
HMDB0000169<->TGFBR2,0.7100699,0.8431037,0.35798505
HMDB0001220<->CCKAR,0.70155156,0.0,0.7015393
HMDB0001220<->AVPR1A,0.6964837,0.25392437,0.0
HMDB0001220<->ACKR3,0.69591045,0.85499495,0.5327761
HMDB0000870<->LPAR2,0.6931341,0.119344465,0.23928763
HMDB0000131<->IL10RB,0.6892729,1.0570245,0.0
HMDB0000220<->SLC27A1,0.68370533,0.18613105,0.4370503
HMDB0000151<->RARA,0.6809876,0.65173435,0.0
HMDB0001388<->ABCA1,0.67438865,0.55917406,0.11873553
HMDB0000207<->RXRB,0.6700736,0.20518683,0.23627836
HMDB0000067<->SLC9A1,0.6676319,0.9793297,0.22379325
HMDB0000259<->AVPR1A,0.6667577,0.30974865,0.0018615011
HMDB0001043<->TRPV4,0.66603094,0.8046756,1.2114102
HMDB0000259<->LPAR2,0.65824,0.13360344,0.23746228
HMDB0000131<->F2R,0.6511361,1.2138777,0.0
HMDB0000067<->ABCA1,0.64890844,0.78988385,0.11139406
HMDB0000169<->EGFR,0.6391244,0.50154716,0.41738802
HMDB0000131<->EGFR,0.628168,0.8317384,0.062073726
HMDB0000673<->ABCA1,0.62800956,0.77272457,0.2540705
HMDB0003229<->SLC2A1,0.6176182,0.41514483,0.9097692
HMDB0000870<->AVPR1A,0.6134999,0.22067723,0.048160058
HMDB0000220<->SLC44A1,0.6066831,0.4402324,0.39524156
HMDB0000067<->NR3C1,0.59287775,1.0823915,0.43201482
HMDB0001852<->RXRA,0.5904069,1.0728416,0.535523
HMDB0000131<->TGFBR2,0.5846275,1.4427129,0.0
HMDB0000050<->LPAR2,0.5797828,0.10988587,0.17905055
HMDB0000208<->OXGR1,0.5728118,0.03152138,0.018287132
HMDB0003229<->SLC2A5,0.5719411,0.0,1.1269673
HMDB0001043<->ABCA1,0.5718324,0.73146796,0.07280282
HMDB0000053<->ABCG2,0.5685366,0.33561575,1.408471
