index,Factor1,Factor2,Factor3
HMDB0000151<->SLC22A1,3.0090046,0.06883198,0.042395838
HMDB0000538<->KCNJ15,2.8882515,0.0,0.81557655
HMDB0000595<->SLC4A4,2.7994616,0.0,0.5414171
HMDB0000151<->ABCG2,2.5653315,0.33229527,0.044018842
HMDB0000234<->SLC22A8,2.462323,0.0,0.91994524
HMDB0004667<->RXRA,2.4098237,0.9397615,0.58334494
HMDB0000538<->SCNN1B,2.4009788,0.59938025,0.0
HMDB0000538<->ITGB5,2.2861757,1.0507973,0.024794227
HMDB0000538<->SCNN1A,2.2498834,0.79418683,0.23617226
HMDB0000151<->VDR,2.1934404,0.18820123,0.0
HMDB0000234<->SLC22A6,2.1681044,0.0,0.9488037
HMDB0000538<->SLC8A1,2.1327183,0.0217738,0.0
HMDB0001999<->RXRA,1.8457282,0.13370302,0.5558168
HMDB0000538<->IFNGR1,1.8372684,0.74568963,0.2853526
HMDB0000234<->SLC22A1,1.8305696,0.09688989,1.8451873
HMDB0002183<->RXRA,1.8191248,0.18007234,0.8116291
HMDB0000806<->HNF4A,1.8097321,0.0,1.8404902
HMDB0000826<->RXRA,1.8054504,0.3195948,0.8258129
HMDB0000638<->HNF4A,1.7863088,0.0,1.8147727
HMDB0001220<->TNFRSF1A,1.7461563,1.6096066,0.28298515
HMDB0000538<->ITGA1,1.7243694,0.5525717,0.54538196
HMDB0000151<->ESRRA,1.6751522,0.88573474,0.0
HMDB0001999<->SLC8A1,1.660064,0.0,0.016315077
HMDB0000169<->ITGAV,1.6339293,0.685343,1.0185666
HMDB0001388<->RXRA,1.6330678,0.5716469,0.42120403
HMDB0000131<->ITGAV,1.6300973,1.497451,0.12185276
HMDB0000305<->VDR,1.625322,0.19953175,0.2730502
HMDB0003229<->SLC2A2,1.611464,0.0,0.47981393
HMDB0001999<->TNFRSF21,1.5948452,0.0,1.6054114
HMDB0000123<->PTPRF,1.5856199,1.469725,1.2050393
HMDB0001220<->PTGFR,1.5580689,0.35918564,0.0
HMDB0000870<->PTGFR,1.4849185,0.17637153,0.30711916
HMDB0000207<->ABCG2,1.4368165,0.0,0.60080475
HMDB0000050<->SCNN1A,1.4309512,0.96129894,0.95413744
HMDB0000538<->P2RX4,1.4099164,0.57074726,0.20694853
HMDB0000151<->KDR,1.3825587,0.5563675,0.0
HMDB0000673<->RXRA,1.3643447,0.84152645,0.86160296
HMDB0001314<->TRPV4,1.3607975,0.9647672,1.2157745
HMDB0000538<->MET,1.3605484,1.0462468,0.53984255
HMDB0000990<->ITGA1,1.3598037,0.7809787,1.1224099
HMDB0000259<->PTGFR,1.3559619,0.38804004,0.2648441
HMDB0001388<->TNFRSF21,1.3099234,0.37220067,1.5045184
HMDB0001999<->SLC27A1,1.2993764,0.20912892,0.6113313
HMDB0000058<->TRPV4,1.299204,0.9735867,1.2165776
HMDB0000151<->ERBB2,1.2819384,0.8823192,0.0
HMDB0000169<->ITGB1,1.2726609,0.9387652,0.8382349
HMDB0000234<->ABCG2,1.2537246,0.5071456,1.795397
HMDB0000207<->RXRA,1.2021844,0.13051376,0.11040733
HMDB0000538<->INSR,1.1744558,0.33550832,0.26059094
HMDB0000207<->UCP2,1.172791,0.38628954,0.16252573
HMDB0000220<->SLC2A2,1.1480768,0.0,0.3918154
HMDB0000220<->RXRA,1.147609,0.19631326,0.36516556
HMDB0000151<->NR1H4,1.1466578,0.41526234,0.0071396735
HMDB0000234<->SLC22A12,1.1049458,0.0,1.9101343
HMDB0000538<->ACVRL1,1.0867062,0.7669959,0.1100208
HMDB0000641<->AR,1.0844159,0.056211364,0.34713006
HMDB0000067<->FLT1,1.0722722,1.225252,0.31273168
HMDB0000220<->UCP2,1.0537043,0.5304617,0.4294134
HMDB0000151<->NR1H2,1.0316114,1.0233762,0.0
HMDB0001043<->RXRA,1.0285138,0.8327085,0.57040846
HMDB0000067<->ERBB2,1.0213902,1.2533288,0.41313002
HMDB0000067<->NR1H3,1.0002093,0.6251781,0.9034077
HMDB0001388<->SLC27A1,0.98789835,0.59335387,0.53169537
HMDB0000151<->THRA,0.9847306,0.92268795,0.0
HMDB0000123<->PTPRD,0.98331714,0.5976376,1.0502406
HMDB0000131<->ITGA1,0.97553235,1.0739379,0.10695525
HMDB0000058<->AQP1,0.96736175,1.6824789,1.9037015
HMDB0000538<->SCNN1G,0.9387523,0.30479443,0.0
HMDB0000067<->NR1H4,0.93341035,0.55739504,0.5529383
HMDB0000234<->SLC16A1,0.93264014,0.4654204,0.2687449
HMDB0000538<->SLC2A1,0.9188573,1.2183472,0.514617
HMDB0000151<->AR,0.91209,0.13213636,0.114962645
HMDB0000151<->EGFR,0.9082299,0.7159875,0.0
HMDB0000058<->ERBB2,0.9072984,1.2801954,0.7054697
HMDB0000151<->GJB1,0.90414745,0.4515159,0.0
HMDB0000673<->TNFRSF21,0.896528,0.5733911,2.1577213
HMDB0000237<->SLC16A1,0.8943566,0.5567856,0.22725497
HMDB0000158<->AR,0.88842905,0.1008345,0.58556545
HMDB0000220<->TNFRSF21,0.88526195,0.0,1.2100589
HMDB0000067<->NR1H2,0.8693288,1.3906984,0.42443854
HMDB0000258<->NR1H4,0.8658336,0.36595592,0.4322123
HMDB0003229<->INSR,0.8618691,0.0,0.6448198
HMDB0000538<->EGFR,0.8573696,0.5768847,0.20249759
HMDB0000258<->SLC2A5,0.8517959,0.0,0.7789508
HMDB0000131<->INSR,0.8492139,0.6060871,0.0739964
HMDB0000258<->SCNN1G,0.82996166,0.29851806,0.0
HMDB0000050<->SLC5A8,0.82850784,0.0,1.5942255
HMDB0000151<->NR3C1,0.8283476,0.7896997,0.0
HMDB0000673<->SLC27A1,0.8258658,0.831713,0.9804493
HMDB0001220<->LPAR2,0.7950477,0.11496548,0.103798226
HMDB0000538<->CLCN7,0.79382426,0.64122397,0.28890848
HMDB0000151<->SLC39A10,0.7932308,0.5379376,0.0
HMDB0000151<->CELSR2,0.7931799,0.6407083,0.0
HMDB0000169<->INSR,0.78821605,0.22950818,0.4386644
HMDB0000131<->MET,0.78354365,1.4287012,0.1314047
HMDB0000123<->PTPRK,0.7747693,0.77362496,0.8819622
HMDB0000220<->PTGFR,0.7730986,0.035107404,0.09519233
HMDB0001314<->GUCY1A1,0.77215785,1.0859232,0.27563447
HMDB0000067<->EGFR,0.7720218,0.99840236,0.39048964
HMDB0000538<->IFNGR2,0.76311487,0.6776032,0.17742431
HMDB0000131<->GHR,0.7584638,0.7761975,0.49495628
HMDB0000050<->SCNN1G,0.75388527,0.4104194,0.098384336
HMDB0000538<->NPR1,0.75339293,0.6825763,0.0
HMDB0000538<->TRPM4,0.74021727,0.6752884,0.0
HMDB0001220<->CCKAR,0.736894,0.0,0.6718085
HMDB0001999<->ABCA1,0.73399836,0.29150844,0.19922483
HMDB0000207<->NR1H3,0.7284846,0.030766217,0.46815616
HMDB0000169<->BMPR2,0.72799665,0.5058509,0.3789931
HMDB0001043<->KDR,0.7271836,0.77202773,0.4753081
HMDB0000131<->ADGRL4,0.7226539,1.4099687,0.0
HMDB0001043<->TRPV4,0.7087725,0.7732837,1.1993241
