index,Factor1,Factor2,Factor3
HMDB0000058<->AQP1,2.6670067,2.4627168,0.44238082
HMDB0001852<->NR2F2,2.5822453,0.95335484,0.0
HMDB0001220<->TNFRSF1A,2.349421,0.45683938,1.2801533
HMDB0000131<->ITGAV,2.157329,0.25958166,1.2094167
HMDB0000131<->MET,2.132434,0.21863298,0.539102
HMDB0000131<->TGFBR2,2.1235251,0.0,0.41403148
HMDB0000067<->NR1H2,2.1007204,0.53601223,0.61009115
HMDB0001852<->NR1H2,2.0646408,0.7191082,0.0
HMDB0001852<->AQP3,2.037081,0.36334047,0.17398095
HMDB0000251<->AXL,1.9487822,0.5086802,0.3462614
HMDB0000058<->ERBB2,1.9238852,0.9487099,0.5826629
HMDB0001043<->KCNJ1,1.9150248,1.0303878,0.3904991
HMDB0000259<->AVPR2,1.9003533,0.298498,0.07713888
HMDB0001852<->GPRC5A,1.8964862,0.19390096,0.0
HMDB0000259<->PTGER1,1.8678724,0.0,0.0
HMDB0000538<->SLC2A1,1.8270642,0.36823365,0.93252575
HMDB0000067<->FLT1,1.812693,0.42495793,0.7873774
HMDB0001852<->RXRB,1.7976029,0.67885137,0.0
HMDB0000131<->F2R,1.7654915,0.0,0.48282886
HMDB0000058<->SLC9A3,1.7146711,1.2886602,0.035346225
HMDB0001220<->PTGER1,1.6966841,0.0,0.0
HMDB0001852<->NR3C1,1.6783115,0.6785177,0.0
HMDB0001220<->AVPR2,1.6736206,0.0,0.38105917
HMDB0000131<->FLT1,1.6462334,0.0,0.57118237
HMDB0000234<->NR3C1,1.6164197,0.9021038,0.09012788
HMDB0000067<->NR3C1,1.6117526,0.60224307,0.3485401
HMDB0001314<->GUCY1A1,1.5994135,0.40983027,0.5275254
HMDB0001852<->RXRA,1.5950285,0.8021919,0.2867373
HMDB0001852<->RARG,1.5786942,0.16406865,0.0
HMDB0000050<->AVPR2,1.5781919,0.32250434,0.1271741
HMDB0000058<->SLC34A2,1.573411,0.3166555,0.0
HMDB0001852<->EGFR,1.5723263,0.69161993,0.0
HMDB0000131<->ITGA1,1.5541039,0.27091604,0.65437454
HMDB0000259<->EDNRB,1.5529532,0.44685414,0.26969582
HMDB0000538<->MET,1.534126,0.51305497,1.2013725
HMDB0000131<->IL10RB,1.5256983,0.0,0.5271413
HMDB0000259<->PTGER3,1.5230963,0.61480373,0.0
HMDB0000067<->SMO,1.5067135,0.6319452,0.3280782
HMDB0000517<->SLC7A1,1.4930167,0.050778084,0.32065335
HMDB0000058<->TRPV4,1.4911096,1.8243307,0.63678557
HMDB0001314<->TRPV4,1.4734066,1.835417,0.6768175
HMDB0000870<->PTGER1,1.4449075,0.14778028,0.0
HMDB0000050<->SCNN1A,1.4395841,1.1148356,1.1295266
HMDB0000131<->NR3C1,1.4354309,0.036159787,0.29619265
HMDB0000191<->GRIK5,1.4248717,0.27468857,0.38790393
HMDB0000259<->ADORA1,1.4210895,0.0,0.0
HMDB0000067<->SLC9A1,1.4165281,0.31407288,0.4775806
HMDB0000259<->ACKR3,1.4056797,1.3881738,0.0
HMDB0000870<->AVPR2,1.4055623,0.48706418,0.10564427
HMDB0000169<->ITGB1,1.3945625,1.2629819,0.73604286
