	symbol	hmdb_id
21164	GSR	HMDB0006112
21165	CAT	HMDB0006112
21166	ALDH2	HMDB0006112
21167	PTGS1	HMDB0006112
21168	PTGS2	HMDB0006112
21169	TBXAS1	HMDB0006112
30037	CFTR	HMDB0000259
30038	SCTR	HMDB0000259
30039	P2RY10	HMDB0000259
30040	DRD4	HMDB0000259
30041	BDKRB1	HMDB0000259
30042	PROKR2	HMDB0000259
30043	MLNR	HMDB0000259
30044	SLC6A2	HMDB0000259
30045	GNRHR	HMDB0000259
30046	GPR63	HMDB0000259
30047	SLC6A7	HMDB0000259
30048	GRM6	HMDB0000259
30049	KISS1R	HMDB0000259
30050	OPRD1	HMDB0000259
30051	RGS2	HMDB0000259
30052	PRLHR	HMDB0000259
30053	KALRN	HMDB0000259
30054	GHSR	HMDB0000259
30055	GPR83	HMDB0000259
30056	MC3R	HMDB0000259
30057	PTGER2	HMDB0000259
30058	S1PR4	HMDB0000259
30059	FFAR2	HMDB0000259
30060	FFAR1	HMDB0000259
30061	CCR7	HMDB0000259
30062	F2RL3	HMDB0000259
30063	MCHR1	HMDB0000259
30064	GALR3	HMDB0000259
30065	TAS2R16	HMDB0000259
30066	OPN1SW	HMDB0000259
30067	TPH1	HMDB0000259
30068	CHRNA10	HMDB0000259
30069	SLC6A8	HMDB0000259
30070	ADCY7	HMDB0000259
30071	SLC6A11	HMDB0000259
30072	SSTR4	HMDB0000259
30073	NMUR2	HMDB0000259
30074	CHRM3	HMDB0000259
30075	HRH4	HMDB0000259
30076	MTNR1B	HMDB0000259
30077	APLNR	HMDB0000259
30078	TAAR5	HMDB0000259
30079	NMBR	HMDB0000259
30080	CHRND	HMDB0000259
30081	HTR2B	HMDB0000259
30082	GPR45	HMDB0000259
30083	HTR3B	HMDB0000259
30084	PLCB2	HMDB0000259
30085	ADCY3	HMDB0000259
30086	CHRNA1	HMDB0000259
30087	SLC6A4	HMDB0000259
30088	CHRNB4	HMDB0000259
30089	VIPR2	HMDB0000259
30090	GLP2R	HMDB0000259
30091	PIK3CA	HMDB0000259
30092	OPRK1	HMDB0000259
30093	SLC6A15	HMDB0000259
30094	GPR84	HMDB0000259
30095	SSTR1	HMDB0000259
30096	GPR65	HMDB0000259
30097	SLC6A3	HMDB0000259
30098	GPR17	HMDB0000259
30099	PTH2R	HMDB0000259
30100	ACKR3	HMDB0000259
30101	AGTR1	HMDB0000259
30102	GPR6	HMDB0000259
30103	TAAR6	HMDB0000259
30104	TAAR8	HMDB0000259
30105	TAAR1	HMDB0000259
30106	HTR2C	HMDB0000259
30107	GPR119	HMDB0000259
30108	SLC18A1	HMDB0000259
30109	CHRNA6	HMDB0000259
30110	NPFFR1	HMDB0000259
30111	PLCB3	HMDB0000259
30112	ADRA2A	HMDB0000259
30113	MCHR2	HMDB0000259
30114	CYSLTR2	HMDB0000259
30115	GRM1	HMDB0000259
30116	GPR26	HMDB0000259
30117	ADCY8	HMDB0000259
30118	GNAQ	HMDB0000259
30119	SLC6A1	HMDB0000259
30120	PPARG	HMDB0000259
30121	HTR5A	HMDB0000259
30122	HTR6	HMDB0000259
30123	CHRNB3	HMDB0000259
30124	PTGIR	HMDB0000259
30125	CXCR5	HMDB0000259
30126	CCR2	HMDB0000259
30127	CCR5	HMDB0000259
30128	PTGER1	HMDB0000259
30129	CHRNE	HMDB0000259
30130	SSTR5	HMDB0000259
30131	ADCY9	HMDB0000259
30132	LHCGR	HMDB0000259
30133	KCNJ3	HMDB0000259
30134	CCKAR	HMDB0000259
30135	CXCR1	HMDB0000259
30136	CCR1	HMDB0000259
30137	RHO	HMDB0000259
30138	F2RL1	HMDB0000259
30139	GPR85	HMDB0000259
30140	RGS20	HMDB0000259
30141	ADCY1	HMDB0000259
30142	GPER1	HMDB0000259
30143	NOS3	HMDB0000259
30144	GPR101	HMDB0000259
30145	RXFP2	HMDB0000259
30146	OXGR1	HMDB0000259
30147	SLC18A2	HMDB0000259
30148	AVPR1A	HMDB0000259
30149	CHRNA5	HMDB0000259
30150	GALR1	HMDB0000259
30151	MC4R	HMDB0000259
30152	PTAFR	HMDB0000259
30153	C3AR1	HMDB0000259
30154	GPR22	HMDB0000259
30155	FPR1	HMDB0000259
30156	MTNR1A	HMDB0000259
30157	PTGER4	HMDB0000259
30158	GPR27	HMDB0000259
30159	RXFP1	HMDB0000259
30160	TACR3	HMDB0000259
30161	PTGDR	HMDB0000259
30162	TACR1	HMDB0000259
30163	NTSR2	HMDB0000259
30164	PROKR1	HMDB0000259
30165	CHRNB1	HMDB0000259
30166	CXCR6	HMDB0000259
30167	ADORA2B	HMDB0000259
30168	P2RY1	HMDB0000259
30169	SLC6A19	HMDB0000259
30170	ADRB2	HMDB0000259
30171	S1PR1	HMDB0000259
30172	NMUR1	HMDB0000259
30173	DRD5	HMDB0000259
30174	GRM5	HMDB0000259
30175	GPR37	HMDB0000259
30176	CHRM1	HMDB0000259
30177	ADRA1B	HMDB0000259
30178	P2RY12	HMDB0000259
30179	LTB4R	HMDB0000259
30180	HTR1E	HMDB0000259
30181	NPFFR2	HMDB0000259
30182	P2RY14	HMDB0000259
30183	ADORA1	HMDB0000259
30184	GPR151	HMDB0000259
30185	GPR148	HMDB0000259
30186	GPRC6A	HMDB0000259
30187	P2RY6	HMDB0000259
30188	TRHR	HMDB0000259
30189	P2RY2	HMDB0000259
30190	ADCY6	HMDB0000259
30191	ADCY4	HMDB0000259
30192	GRK2	HMDB0000259
30193	CHRNA9	HMDB0000259
30194	GPR88	HMDB0000259
30195	EDNRA	HMDB0000259
30196	CHRNA3	HMDB0000259
30197	HTR1A	HMDB0000259
30198	MC5R	HMDB0000259
30199	GPR62	HMDB0000259
30200	CXCR2	HMDB0000259
30201	GPR4	HMDB0000259
30202	CHRM2	HMDB0000259
30203	GHRHR	HMDB0000259
30204	P2RY13	HMDB0000259
30205	F2R	HMDB0000259
30206	PTH1R	HMDB0000259
30207	HTR3C	HMDB0000259
30208	HTR1F	HMDB0000259
30209	UTS2R	HMDB0000259
30210	SLC6A18	HMDB0000259
30211	OXTR	HMDB0000259
30212	GSK3B	HMDB0000259
30213	VIPR1	HMDB0000259
30214	NOS2	HMDB0000259
30215	GPR39	HMDB0000259
30216	FFAR3	HMDB0000259
30217	S1PR5	HMDB0000259
30218	RXFP3	HMDB0000259
30219	GPR132	HMDB0000259
30220	TPH2	HMDB0000259
30221	GALR2	HMDB0000259
30222	SLC6A17	HMDB0000259
30223	NPBWR1	HMDB0000259
30224	GPR173	HMDB0000259
30225	NPY2R	HMDB0000259
30226	CCR4	HMDB0000259
30227	PTGDR2	HMDB0000259
30228	RGS19	HMDB0000259
30229	GPR19	HMDB0000259
30230	MC2R	HMDB0000259
30231	GPR142	HMDB0000259
30232	HTR3E	HMDB0000259
30233	CCKBR	HMDB0000259
30234	ADORA2A	HMDB0000259
30235	OPRL1	HMDB0000259
30236	NOS1	HMDB0000259
30237	HTR7	HMDB0000259
30238	AVPR2	HMDB0000259
30239	PLCB1	HMDB0000259
30240	SLC6A16	HMDB0000259
30241	SLC6A13	HMDB0000259
30242	TRIO	HMDB0000259
30243	NPY5R	HMDB0000259
30244	CCR6	HMDB0000259
30245	FPR2	HMDB0000259
30246	MAOA	HMDB0000259
30247	CRHR2	HMDB0000259
30248	FPR3	HMDB0000259
30249	HRH3	HMDB0000259
30250	ADCY2	HMDB0000259
30251	GPR18	HMDB0000259
30252	ADRB3	HMDB0000259
30253	GRM8	HMDB0000259
30254	LPAR6	HMDB0000259
30255	SLC6A20	HMDB0000259
30256	C5AR1	HMDB0000259
30257	HTR3A	HMDB0000259
30258	PTGER3	HMDB0000259
30259	SSTR2	HMDB0000259
30260	CCR9	HMDB0000259
30261	GRM7	HMDB0000259
30262	DDC	HMDB0000259
30263	S1PR3	HMDB0000259
30264	LPAR1	HMDB0000259
30265	CALCR	HMDB0000259
30266	SLC6A12	HMDB0000259
30267	NPSR1	HMDB0000259
30268	SLC6A9	HMDB0000259
30269	HTR4	HMDB0000259
30270	NPY1R	HMDB0000259
30271	DRD2	HMDB0000259
30272	SUCNR1	HMDB0000259
30273	GRM3	HMDB0000259
30274	OPN3	HMDB0000259
30275	RGS7	HMDB0000259
30276	SLC22A2	HMDB0000259
30277	AVPR1B	HMDB0000259
30278	GPR37L1	HMDB0000259
30279	RGS1	HMDB0000259
30280	RGS18	HMDB0000259
30281	GPR52	HMDB0000259
30282	TAAR2	HMDB0000259
30283	RXFP4	HMDB0000259
30284	CHRNB2	HMDB0000259
30285	RGS10	HMDB0000259
30286	ADRB1	HMDB0000259
30287	CNR1	HMDB0000259
30288	NPBWR2	HMDB0000259
30289	HTR1B	HMDB0000259
30290	OPN1LW	HMDB0000259
30291	CHRNA4	HMDB0000259
30292	NTSR1	HMDB0000259
30293	LPAR3	HMDB0000259
30294	BRS3	HMDB0000259
30295	PTGFR	HMDB0000259
30296	HCRTR2	HMDB0000259
30297	OPN5	HMDB0000259
30298	FFAR4	HMDB0000259
30299	AGTR2	HMDB0000259
30300	OPN4	HMDB0000259
30301	GLP1R	HMDB0000259
30302	CYSLTR1	HMDB0000259
30303	TACR2	HMDB0000259
30304	GPR21	HMDB0000259
30305	CXCR3	HMDB0000259
30306	HCRTR1	HMDB0000259
30307	GPR3	HMDB0000259
30308	NPY4R	HMDB0000259
30309	CNR2	HMDB0000259
30310	P2RY4	HMDB0000259
30311	EDNRB	HMDB0000259
30312	HRH2	HMDB0000259
30313	MAOB	HMDB0000259
30314	ADRA1D	HMDB0000259
30315	GPR150	HMDB0000259
30316	GRPR	HMDB0000259
30317	ADRA1A	HMDB0000259
30318	GPR12	HMDB0000259
30319	GPR78	HMDB0000259
30320	HTR3D	HMDB0000259
30321	CHRM5	HMDB0000259
30322	DRD3	HMDB0000259
30323	CHRNG	HMDB0000259
30324	HCAR2	HMDB0000259
30325	TAS2R31	HMDB0000259
30326	GPR55	HMDB0000259
30327	GRK5	HMDB0000259
30328	QRFPR	HMDB0000259
30329	GRM2	HMDB0000259
30330	GPR135	HMDB0000259
30331	ADCYAP1R1	HMDB0000259
30332	HRH1	HMDB0000259
30333	CRHR1	HMDB0000259
30334	GCGR	HMDB0000259
30335	LPAR2	HMDB0000259
30336	FSHR	HMDB0000259
30337	CHRNA2	HMDB0000259
30338	GPR61	HMDB0000259
30339	ADRA2C	HMDB0000259
30340	RGS14	HMDB0000259
30341	CXCR4	HMDB0000259
30342	TBXA2R	HMDB0000259
30343	OPRM1	HMDB0000259
30344	RGS4	HMDB0000259
30345	TAS2R39	HMDB0000259
30346	CHRNA7	HMDB0000259
30347	CHRM4	HMDB0000259
30348	ADCY5	HMDB0000259
30349	CASR	HMDB0000259
30350	GPBAR1	HMDB0000259
30351	IDO1	HMDB0000259
30352	TAS2R43	HMDB0000259
30353	LTB4R2	HMDB0000259
30354	SLC6A5	HMDB0000259
30355	HCAR3	HMDB0000259
30356	CCR3	HMDB0000259
30357	IDO2	HMDB0000259
30358	TAS2R38	HMDB0000259
30359	RGS6	HMDB0000259
30360	MC1R	HMDB0000259
30361	GPR176	HMDB0000259
30362	GPR139	HMDB0000259
30363	S1PR2	HMDB0000259
30364	GIPR	HMDB0000259
42974	AHR	HMDB0000715
42975	GRIN2D	HMDB0000715
42976	GRIN2C	HMDB0000715
42977	KYAT1	HMDB0000715
42978	GRIN2A	HMDB0000715
42979	GRIN1	HMDB0000715
42980	CYP1A1	HMDB0000715
64368	IDH1	HMDB0000193
64369	IDH2	HMDB0000193
64370	EGLN1	HMDB0000193
64375	CAT	HMDB0000292
64376	ADORA2B	HMDB0000292
64377	CASP3	HMDB0000292
64378	PNP	HMDB0000292
64379	AOX1	HMDB0000292
64380	XDH	HMDB0000292
64611	CAT	HMDB0000289
64612	SLC2A9	HMDB0000289
64613	SQLE	HMDB0000289
64614	NOS3	HMDB0000289
64615	MMP3	HMDB0000289
64616	CMKLR1	HMDB0000289
64617	MMP1	HMDB0000289
64618	NOS2	HMDB0000289
64619	CD86	HMDB0000289
64620	KMO	HMDB0000289
64621	AOX1	HMDB0000289
64622	SLC22A12	HMDB0000289
64623	SLC22A6	HMDB0000289
64624	XDH	HMDB0000289
64625	SLC17A3	HMDB0000289
64626	NFE2L2	HMDB0000289
64627	DHODH	HMDB0000300
64628	GPR17	HMDB0000300
64629	SLC23A1	HMDB0000300
64630	TYMS	HMDB0000300
64631	SLC23A2	HMDB0000300
64632	SLC29A2	HMDB0000300
64633	PNP	HMDB0000300
64634	DPYD	HMDB0000300
65145	ACR	HMDB0000925
65146	CTSG	HMDB0000925
65147	GZMB	HMDB0000925
65148	F9	HMDB0000925
65149	PLAT	HMDB0000925
65150	HSPA8	HMDB0000925
65151	GZMK	HMDB0000925
65152	PROC	HMDB0000925
65153	PRTN3	HMDB0000925
65154	TPSG1	HMDB0000925
65155	HSPA2	HMDB0000925
65156	CMA1	HMDB0000925
65157	F12	HMDB0000925
65158	ELANE	HMDB0000925
65159	KLKB1	HMDB0000925
65160	GZMA	HMDB0000925
65161	ST14	HMDB0000925
65162	TMPRSS11D	HMDB0000925
65163	TMPRSS15	HMDB0000925
65164	CELA1	HMDB0000925
65165	KLK1	HMDB0000925
65166	F2	HMDB0000925
65167	PRSS1	HMDB0000925
65168	PLG	HMDB0000925
65169	KLK6	HMDB0000925
65170	HSPA6	HMDB0000925
65171	KLK2	HMDB0000925
65172	KLK3	HMDB0000925
65173	PRSS8	HMDB0000925
65174	HSPA5	HMDB0000925
