	symbol	hmdb_id
65175	KLK4	HMDB0000925
65176	C1S	HMDB0000925
65177	CFD	HMDB0000925
65178	TMPRSS6	HMDB0000925
65179	KLK5	HMDB0000925
65180	TPSAB1	HMDB0000925
65181	CELA2A	HMDB0000925
65182	PRSS3	HMDB0000925
65183	PLAU	HMDB0000925
65184	F10	HMDB0000925
65185	F7	HMDB0000925
65186	HSPA1B	HMDB0000925
65187	HSPA1A	HMDB0000925
65188	HSPA1L	HMDB0000925
65189	CTRC	HMDB0000925
65190	KLK8	HMDB0000925
65191	KLK7	HMDB0000925
65192	TMPRSS2	HMDB0000925
65193	F11	HMDB0000925
65194	CFB	HMDB0000925
65195	CTRL	HMDB0000925
65372	HMOX1	HMDB0000251
65373	GLRA2	HMDB0000251
65374	MMP2	HMDB0000251
65375	GAD2	HMDB0000251
65376	SLC27A5	HMDB0000251
65377	ABCB11	HMDB0000251
65378	GLRB	HMDB0000251
65379	GLRA3	HMDB0000251
65380	TMPRSS11D	HMDB0000251
65381	CASP10	HMDB0000251
65382	RHO	HMDB0000251
65383	CYP7A1	HMDB0000251
65384	SLC2A4	HMDB0000251
65385	GAD1	HMDB0000251
65386	CASP8	HMDB0000251
65387	GATM	HMDB0000251
65388	SLC12A5	HMDB0000251
65389	GABRG2	HMDB0000251
65390	GLRA1	HMDB0000251
66359	ACR	HMDB0000271
66360	CTSG	HMDB0000271
66361	GZMB	HMDB0000271
66362	F9	HMDB0000271
66363	PLAT	HMDB0000271
66364	GZMK	HMDB0000271
66365	PROC	HMDB0000271
66366	PRTN3	HMDB0000271
66367	TPSG1	HMDB0000271
66368	CMA1	HMDB0000271
66369	F12	HMDB0000271
66370	ELANE	HMDB0000271
66371	KLKB1	HMDB0000271
66372	GZMA	HMDB0000271
66373	ST14	HMDB0000271
66374	TMPRSS11D	HMDB0000271
66375	TMPRSS15	HMDB0000271
66376	CELA1	HMDB0000271
66377	KLK1	HMDB0000271
66378	PPID	HMDB0000271
66379	EEF2	HMDB0000271
66380	F2	HMDB0000271
66381	PRSS1	HMDB0000271
66382	PLG	HMDB0000271
66383	KLK6	HMDB0000271
66384	KLK2	HMDB0000271
66385	KLK3	HMDB0000271
66386	PRSS8	HMDB0000271
66387	KLK4	HMDB0000271
66388	C1S	HMDB0000271
66389	CFD	HMDB0000271
66390	TMPRSS6	HMDB0000271
66391	KLK5	HMDB0000271
66392	TPSAB1	HMDB0000271
66393	CELA2A	HMDB0000271
66394	PRSS3	HMDB0000271
66395	PLAU	HMDB0000271
66396	F10	HMDB0000271
66397	F7	HMDB0000271
66398	CTRC	HMDB0000271
66399	KLK8	HMDB0000271
66400	KLK7	HMDB0000271
66401	TMPRSS2	HMDB0000271
66402	F11	HMDB0000271
66403	CFB	HMDB0000271
66404	PPIA	HMDB0000271
66405	CTRL	HMDB0000271
66729	ODC1	HMDB0001414
66730	AZIN2	HMDB0001414
66731	AOC3	HMDB0001414
66732	CYP3A4	HMDB0001414
66733	SLC22A2	HMDB0001414
66734	AMD1	HMDB0001414
67057	PEPD	HMDB0000263
67058	PKM	HMDB0000263
67059	PKLR	HMDB0000263
67060	PFKFB3	HMDB0000263
67061	PC	HMDB0000263
67781	CAT	HMDB0002329
67782	GAA	HMDB0002329
67783	PKM	HMDB0002329
67784	PKLR	HMDB0002329
67785	SRC	HMDB0002329
67786	MME	HMDB0002329
67787	ECE1	HMDB0002329
67788	PC	HMDB0002329
67789	MGAM	HMDB0002329
68661	FKBP4	HMDB0001406
68662	SIRT4	HMDB0001406
68663	SIRT1	HMDB0001406
68664	ACR	HMDB0001406
68665	CTSG	HMDB0001406
68666	GZMB	HMDB0001406
68667	F9	HMDB0001406
68668	PLAT	HMDB0001406
68669	CD38	HMDB0001406
68670	HSPA8	HMDB0001406
68671	GZMK	HMDB0001406
68672	PROC	HMDB0001406
68673	PRTN3	HMDB0001406
68674	TPSG1	HMDB0001406
68675	SIRT2	HMDB0001406
68676	CMA1	HMDB0001406
68677	PARP2	HMDB0001406
68678	F12	HMDB0001406
68679	ELANE	HMDB0001406
68680	KLKB1	HMDB0001406
68681	GZMA	HMDB0001406
68682	ST14	HMDB0001406
68683	TMPRSS11D	HMDB0001406
68684	TMPRSS15	HMDB0001406
68685	CELA1	HMDB0001406
68686	NNMT	HMDB0001406
68687	KLK1	HMDB0001406
68688	F2	HMDB0001406
68689	PRSS1	HMDB0001406
68690	PLG	HMDB0001406
68691	KLK6	HMDB0001406
68692	HSPA6	HMDB0001406
68693	CASP3	HMDB0001406
68694	TNKS	HMDB0001406
68695	KLK2	HMDB0001406
68696	KLK3	HMDB0001406
68697	PRSS8	HMDB0001406
68698	KLK4	HMDB0001406
68699	C1S	HMDB0001406
68700	SIRT7	HMDB0001406
68701	CFD	HMDB0001406
68702	TMPRSS6	HMDB0001406
68703	SIRT6	HMDB0001406
68704	KLK5	HMDB0001406
68705	TPSAB1	HMDB0001406
68706	CELA2A	HMDB0001406
68707	PRSS3	HMDB0001406
68708	PNP	HMDB0001406
68709	MTOR	HMDB0001406
68710	PARP1	HMDB0001406
68711	CHUK	HMDB0001406
68712	TNKS2	HMDB0001406
68713	PLAU	HMDB0001406
68714	F10	HMDB0001406
68715	F7	HMDB0001406
68716	HSPA1B	HMDB0001406
68717	HSPA1A	HMDB0001406
68718	CTRC	HMDB0001406
68719	SUV39H1	HMDB0001406
68720	SIRT3	HMDB0001406
68721	KLK8	HMDB0001406
68722	KLK7	HMDB0001406
68723	TMPRSS2	HMDB0001406
68724	PARP3	HMDB0001406
68725	F11	HMDB0001406
68726	CFB	HMDB0001406
68727	CTRL	HMDB0001406
71742	PIN1	HMDB0000070
71743	F2	HMDB0000070
71744	PREP	HMDB0000070
72808	CAT	HMDB0000157
72809	CHRM3	HMDB0000157
72810	CHRM1	HMDB0000157
72811	CHRM2	HMDB0000157
72812	SLC29A2	HMDB0000157
72813	PNP	HMDB0000157
72814	ADA	HMDB0000157
72815	AOX1	HMDB0000157
72816	XDH	HMDB0000157
72817	CHRM5	HMDB0000157
72818	HRH1	HMDB0000157
72819	CHRM4	HMDB0000157
74673	DRD4	HMDB0000123
74674	CPB2	HMDB0000123
74675	FAP	HMDB0000123
74676	BDKRB1	HMDB0000123
74677	PROKR2	HMDB0000123
74678	SLC32A1	HMDB0000123
74679	GLRA2	HMDB0000123
74680	MLNR	HMDB0000123
74681	SLC6A2	HMDB0000123
74682	CPA4	HMDB0000123
74683	GNRHR	HMDB0000123
74684	GPR63	HMDB0000123
74685	SLC6A7	HMDB0000123
74686	LNPEP	HMDB0000123
74687	KISS1R	HMDB0000123
74688	GRIN3B	HMDB0000123
74689	OPRD1	HMDB0000123
74690	PRLHR	HMDB0000123
74691	GHSR	HMDB0000123
74692	SLC36A1	HMDB0000123
74693	GPR83	HMDB0000123
74694	MC3R	HMDB0000123
74695	PTGER2	HMDB0000123
74696	MCHR1	HMDB0000123
74697	GALR3	HMDB0000123
74698	OPN1SW	HMDB0000123
74699	SLC6A8	HMDB0000123
74700	SLC7A10	HMDB0000123
74701	SLC6A11	HMDB0000123
74702	SSTR4	HMDB0000123
74703	NMUR2	HMDB0000123
74704	SLC38A2	HMDB0000123
74705	HRH4	HMDB0000123
74706	APLNR	HMDB0000123
74707	TAAR5	HMDB0000123
74708	NMBR	HMDB0000123
74709	HTR2B	HMDB0000123
74710	GPR45	HMDB0000123
74711	DPEP1	HMDB0000123
74712	SLC6A4	HMDB0000123
74713	ALDH2	HMDB0000123
74714	PSMB1	HMDB0000123
74715	SLC27A5	HMDB0000123
74716	GRIN2D	HMDB0000123
74717	ABCB11	HMDB0000123
74718	PPAT	HMDB0000123
74719	BCHE	HMDB0000123
74720	GLRB	HMDB0000123
74721	OPRK1	HMDB0000123
74722	SLC6A15	HMDB0000123
74723	GPR84	HMDB0000123
74724	SSTR1	HMDB0000123
74725	GPR65	HMDB0000123
74726	SLC6A3	HMDB0000123
74727	ACKR3	HMDB0000123
74728	AGTR1	HMDB0000123
74729	GLRA3	HMDB0000123
74730	GPR6	HMDB0000123
74731	TAAR6	HMDB0000123
74732	TAAR8	HMDB0000123
74733	TAAR1	HMDB0000123
74734	HTR2C	HMDB0000123
74735	GPR119	HMDB0000123
74736	NPFFR1	HMDB0000123
74737	ADRA2A	HMDB0000123
74738	MCHR2	HMDB0000123
74739	DDAH1	HMDB0000123
74740	GPR26	HMDB0000123
74741	SLC6A1	HMDB0000123
74742	HTR5A	HMDB0000123
74743	HTR6	HMDB0000123
74744	PTGIR	HMDB0000123
74745	CCR2	HMDB0000123
74746	CCR5	HMDB0000123
74747	PTGER1	HMDB0000123
74748	GRIN2C	HMDB0000123
74749	SSTR5	HMDB0000123
74750	CCKAR	HMDB0000123
74751	CCR1	HMDB0000123
74752	RHO	HMDB0000123
74753	APEH	HMDB0000123
74754	ERAP1	HMDB0000123
74755	GPR85	HMDB0000123
74756	GPR101	HMDB0000123
74757	AVPR1A	HMDB0000123
74758	GALR1	HMDB0000123
74759	MC4R	HMDB0000123
74760	ANPEP	HMDB0000123
74761	RRM1	HMDB0000123
74762	GPR22	HMDB0000123
74763	PTGER4	HMDB0000123
74764	GPR27	HMDB0000123
74765	PTGDR	HMDB0000123
74766	NTSR2	HMDB0000123
74767	PPID	HMDB0000123
74768	PROKR1	HMDB0000123
74769	CXCR6	HMDB0000123
74770	ADORA2B	HMDB0000123
74771	SLC6A19	HMDB0000123
74772	ADRB2	HMDB0000123
74773	NMUR1	HMDB0000123
74774	DRD5	HMDB0000123
74775	GPR37	HMDB0000123
74776	ADRA1B	HMDB0000123
74777	LTB4R	HMDB0000123
74778	HTR1E	HMDB0000123
74779	NPFFR2	HMDB0000123
74780	ADORA1	HMDB0000123
74781	GPR151	HMDB0000123
74782	GPR148	HMDB0000123
74783	GPRC6A	HMDB0000123
74784	TRHR	HMDB0000123
74785	HRAS	HMDB0000123
74786	GPR88	HMDB0000123
74787	ALDH5A1	HMDB0000123
74788	EDNRA	HMDB0000123
74789	HTR1A	HMDB0000123
74790	MC5R	HMDB0000123
74791	CAMK2G	HMDB0000123
74792	GPR62	HMDB0000123
74793	NPEPPS	HMDB0000123
74794	SLC7A8	HMDB0000123
74795	HTR1F	HMDB0000123
74796	UTS2R	HMDB0000123
74797	SLC6A18	HMDB0000123
74798	OXTR	HMDB0000123
74799	GPR39	HMDB0000123
74800	RXFP3	HMDB0000123
74801	GALR2	HMDB0000123
74802	SLC6A17	HMDB0000123
74803	NPBWR1	HMDB0000123
74804	GPR173	HMDB0000123
74805	GRIN2A	HMDB0000123
74806	NPY2R	HMDB0000123
74807	CCR4	HMDB0000123
74808	GPR19	HMDB0000123
74809	MC2R	HMDB0000123
74810	SLC36A2	HMDB0000123
74811	GPR142	HMDB0000123
74812	CCKBR	HMDB0000123
74813	ADORA2A	HMDB0000123
74814	OPRL1	HMDB0000123
74815	HTR7	HMDB0000123
74816	AVPR2	HMDB0000123
74817	SLC6A16	HMDB0000123
74818	DPP8	HMDB0000123
74819	SLC6A13	HMDB0000123
74820	NPY5R	HMDB0000123
74821	CAMK2D	HMDB0000123
74822	PTPN11	HMDB0000123
74823	HRH3	HMDB0000123
74824	GPR18	HMDB0000123
74825	ADRB3	HMDB0000123
74826	SLC6A20	HMDB0000123
74827	ALDH9A1	HMDB0000123
74828	PTGER3	HMDB0000123
74829	SSTR2	HMDB0000123
74830	CCR9	HMDB0000123
74831	LPAR1	HMDB0000123
74832	SLC6A12	HMDB0000123
74833	PTPN22	HMDB0000123
74834	NPSR1	HMDB0000123
74835	DPP4	HMDB0000123
74836	SLC6A9	HMDB0000123
74837	HTR4	HMDB0000123
74838	NPY1R	HMDB0000123
74839	DRD2	HMDB0000123
74840	GRIN3A	HMDB0000123
74841	PSMB5	HMDB0000123
74842	OPN3	HMDB0000123
74843	ABCB10	HMDB0000123
74844	AVPR1B	HMDB0000123
74845	GPR37L1	HMDB0000123
74846	GPR52	HMDB0000123
74847	TAAR2	HMDB0000123
74848	RXFP4	HMDB0000123
74849	CTSS	HMDB0000123
74850	PREP	HMDB0000123
74851	ADRB1	HMDB0000123
74852	CNR1	HMDB0000123
74853	NPBWR2	HMDB0000123
74854	HTR1B	HMDB0000123
74855	OPN1LW	HMDB0000123
74856	NTSR1	HMDB0000123
74857	LPAR3	HMDB0000123
74858	BRS3	HMDB0000123
74859	PTGFR	HMDB0000123
74860	HCRTR2	HMDB0000123
74861	OPN5	HMDB0000123
74862	FFAR4	HMDB0000123
74863	GRIN1	HMDB0000123
74864	PTPN1	HMDB0000123
74865	AGTR2	HMDB0000123
74866	OPN4	HMDB0000123
74867	PSMB2	HMDB0000123
74868	GPR21	HMDB0000123
74869	HCRTR1	HMDB0000123
74870	PRKG1	HMDB0000123
74871	GPR3	HMDB0000123
74872	NPY4R	HMDB0000123
74873	CNR2	HMDB0000123
74874	TPP2	HMDB0000123
74875	EDNRB	HMDB0000123
74876	HRH2	HMDB0000123
74877	SLC3A2	HMDB0000123
74878	ADRA1D	HMDB0000123
74879	GPR150	HMDB0000123
74880	GRPR	HMDB0000123
74881	ADRA1A	HMDB0000123
74882	GPR12	HMDB0000123
74883	GART	HMDB0000123
74884	GPR78	HMDB0000123
74885	DRD3	HMDB0000123
74886	QRFPR	HMDB0000123
74887	GPR135	HMDB0000123
74888	CAMK2B	HMDB0000123
74889	GATM	HMDB0000123
74890	CAMK2A	HMDB0000123
74891	LPAR2	HMDB0000123
74892	GPR61	HMDB0000123
74893	ADRA2C	HMDB0000123
74894	CXCR4	HMDB0000123
74895	TBXA2R	HMDB0000123
74896	OPRM1	HMDB0000123
74897	ERAP2	HMDB0000123
74898	PVR	HMDB0000123
74899	GLRA1	HMDB0000123
74900	PPIA	HMDB0000123
74901	LTB4R2	HMDB0000123
74902	SLC6A5	HMDB0000123
74903	CCR3	HMDB0000123
74904	MC1R	HMDB0000123
74905	GPR176	HMDB0000123
74906	GPR139	HMDB0000123
75823	AHCY	HMDB0000092
75824	LRRC32	HMDB0000092
75825	LGR5	HMDB0000092
75826	RXFP2	HMDB0000092
75827	LRRK2	HMDB0000092
75828	RXFP1	HMDB0000092
75829	CPN2	HMDB0000092
75830	ADGRA3	HMDB0000092
75831	LINGO1	HMDB0000092
75832	LGR6	HMDB0000092
75833	TPBG	HMDB0000092
75834	LGR4	HMDB0000092
