,HMDB,GENE,direction
54,HMDB0000012,SLC28A1,producing
55,HMDB0000012,NT5C3A,producing
56,HMDB0000012,NT5C,producing
57,HMDB0000012,APOBEC3G,producing
58,HMDB0000012,AICDA,producing
59,HMDB0000012,CDA,producing
60,HMDB0000012,SLC29A1,producing
61,HMDB0000012,SLC28A2,producing
62,HMDB0000012,UPP1,producing
63,HMDB0000014,DCK,degrading
64,HMDB0000014,AICDA,degrading
65,HMDB0000014,CDA,degrading
66,HMDB0000014,SLC29A1,producing
67,HMDB0000014,SLC29A2,producing
68,HMDB0000014,ACP5,producing
69,HMDB0000014,ACP6,producing
70,HMDB0000014,ACP3,producing
71,HMDB0000014,ACP2,producing
72,HMDB0000014,SLC28A3,producing
73,HMDB0000014,SLC28A1,producing
74,HMDB0000014,GUCA1A,producing
75,HMDB0000014,NT5C1B,producing
76,HMDB0000014,NT5C3A,producing
77,HMDB0000014,NT5C1A,producing
78,HMDB0000014,NT5E,producing
79,HMDB0000014,NT5C,producing
80,HMDB0000014,APOBEC3G,degrading
81,HMDB0000014,NT5M,producing
82,HMDB0000014,RBAK,producing
83,HMDB0000014,NT5C3B,producing
84,HMDB0000014,NT5C2,producing
85,HMDB0000015,CYP11B1,degrading
86,HMDB0000015,ABCB1,producing
87,HMDB0000015,CYP11B2,degrading
88,HMDB0000015,CYP21A2,producing
89,HMDB0000015,HSD3B2,producing
90,HMDB0000015,HSD3B1,producing
91,HMDB0000016,CYP11B2,degrading
92,HMDB0000016,CYP11B1,degrading
93,HMDB0000016,ABCB1,producing
94,HMDB0000016,CYP21A2,producing
95,HMDB0000016,HSD3B2,producing
96,HMDB0000016,HSD3B1,producing
97,HMDB0000017,AOX1,producing
98,HMDB0000019,DBT,degrading
99,HMDB0000019,DLD,degrading
100,HMDB0000019,LDHAL6A,degrading
101,HMDB0000019,LDHA,degrading
102,HMDB0000019,LDHB,degrading
103,HMDB0000019,UEVLD,degrading
104,HMDB0000019,LDHC,degrading
105,HMDB0000019,LDHAL6B,degrading
106,HMDB0000019,TMEM91,degrading
107,HMDB0000019,BCKDHA,degrading
108,HMDB0000019,BCKDHB,degrading
109,HMDB0000019,BCAT1,producing
110,HMDB0000019,BCAT2,producing
111,HMDB0000020,SULT1A3,degrading
112,HMDB0000020,UGT1A1,degrading
113,HMDB0000020,ALDH3B1,producing
114,HMDB0000020,ALDH1A3,producing
115,HMDB0000020,ALDH3B2,producing
116,HMDB0000020,ALDH3A1,producing
117,HMDB0000030,HLCS,degrading
118,HMDB0000030,BTD,producing
119,HMDB0000030,SLC19A3,producing
120,HMDB0000030,SLC5A6,producing
121,HMDB0000030,SLC16A1,producing
122,HMDB0000031,UGT2B17,degrading
123,HMDB0000031,UGT2B28,degrading
124,HMDB0000031,UGT2B7,degrading
125,HMDB0000031,UGT1A10,degrading
126,HMDB0000031,UGT1A8,degrading
127,HMDB0000031,HSD17B7,degrading
128,HMDB0000031,STS,degrading
129,HMDB0000031,UGT2B15,degrading
130,HMDB0000031,UGT2B11,degrading
131,HMDB0000031,UGT2B10,degrading
132,HMDB0000031,UGT2B4,degrading
133,HMDB0000031,UGT2A3,degrading
134,HMDB0000031,UGT1A9,degrading
135,HMDB0000031,UGT1A7,degrading
136,HMDB0000031,UGT1A6,degrading
137,HMDB0000031,UGT1A5,degrading
138,HMDB0000031,UGT1A4,degrading
139,HMDB0000031,UGT1A3,degrading
140,HMDB0000031,AKR1C2,producing
141,HMDB0000031,AKR1C3,producing
142,HMDB0000031,AKR1C4,producing
143,HMDB0000031,AKR1C1,producing
144,HMDB0000031,UGT1A1,degrading
145,HMDB0000032,DHCR7,degrading
146,HMDB0000032,CYP7A1,producing
147,HMDB0000032,DHCR24,producing
148,HMDB0000032,SC5D,producing
149,HMDB0000032,CYP27A1,degrading
150,HMDB0000034,MTAP,producing
151,HMDB0000034,SLC29A3,producing
152,HMDB0000034,SLC29A2,producing
153,HMDB0000034,APRT,producing
154,HMDB0000034,HPRT1,producing
155,HMDB0000034,PNP,producing
156,HMDB0000034,TYMP,degrading
157,HMDB0000036,SULT2A1,degrading
158,HMDB0000036,SLC10A2,producing
159,HMDB0000036,BAAT,producing
160,HMDB0000036,SLC10A1,producing
161,HMDB0000036,SLCO4A1,producing
162,HMDB0000036,SLCO1A2,producing
163,HMDB0000036,SLCO1B3,producing
164,HMDB0000036,SLCO1B1,producing
165,HMDB0000036,ABCC11,producing
166,HMDB0000036,ABCB11,producing
167,HMDB0000036,ABCC3,producing
168,HMDB0000036,ABCA8,producing
169,HMDB0000036,SLC7A9,producing
170,HMDB0000036,SLC51B,producing
171,HMDB0000036,SLC51A,producing
172,HMDB0000036,ABCC4,producing
173,HMDB0000037,CYP11B1,degrading
174,HMDB0000037,AKR1D1,producing
175,HMDB0000037,CYP11B2,producing
176,HMDB0000039,ACSM4,degrading
177,HMDB0000039,ACSM2A,degrading
178,HMDB0000039,ACSM5,degrading
179,HMDB0000039,ACSM2B,degrading
180,HMDB0000039,ACSM3,degrading
181,HMDB0000039,ACSM1,degrading
182,HMDB0000039,UGT1A1,degrading
183,HMDB0000039,FABP9,producing
184,HMDB0000039,FABP12,producing
185,HMDB0000039,FABP4,producing
186,HMDB0000039,FABP6,producing
187,HMDB0000039,FABP5,producing
188,HMDB0000039,FABP7,producing
189,HMDB0000039,FABP2,producing
190,HMDB0000039,FABP3,producing
191,HMDB0000039,CD36,producing
192,HMDB0000039,FABP1,producing
193,HMDB0000039,SLC27A6,producing
194,HMDB0000039,SLC27A3,producing
195,HMDB0000039,SLC27A1,producing
196,HMDB0000039,SLC27A4,producing
197,HMDB0000039,SLC5A8,producing
198,HMDB0000039,SLC16A1,producing
199,HMDB0000039,SLC16A5,producing
200,HMDB0000039,SLC16A4,producing
201,HMDB0000039,SLC16A3,producing
202,HMDB0000039,SLC16A7,producing
203,HMDB0000039,SLC16A6,producing
204,HMDB0000039,SLC16A8,producing
205,HMDB0000042,AACS,degrading
206,HMDB0000042,ACSS2,degrading
207,HMDB0000042,ACSS1,degrading
208,HMDB0000042,UGT1A1,degrading
209,HMDB0000042,PON3,degrading
210,HMDB0000042,PON2,degrading
211,HMDB0000042,PON1,degrading
212,HMDB0000042,SIAE,producing
213,HMDB0000042,CLYBL,producing
214,HMDB0000042,ACY1,producing
215,HMDB0000042,PIGL,producing
216,HMDB0000042,AMDHD2,producing
217,HMDB0000042,HMGCL,producing
218,HMDB0000042,ACY3,producing
219,HMDB0000042,ASPA,producing
220,HMDB0000042,ESD,producing
221,HMDB0000042,CES2,producing
222,HMDB0000042,CES1,producing
223,HMDB0000042,ALDH2,producing
224,HMDB0000042,PLA2G7,producing
225,HMDB0000042,ALDH7A1,producing
226,HMDB0000042,ALDH1A1,producing
227,HMDB0000042,ALDH1A3,producing
228,HMDB0000042,ALDH3A2,producing
229,HMDB0000042,ALDH9A1,producing
230,HMDB0000042,ALDH1A2,producing
231,HMDB0000042,ALDH1B1,producing
232,HMDB0000042,ALDH3B1,producing
233,HMDB0000042,ALDH3B2,producing
234,HMDB0000042,ALDH3A1,producing
235,HMDB0000042,SLC16A1,producing
236,HMDB0000042,ACOT8,producing
237,HMDB0000042,ACYP2,producing
238,HMDB0000042,ACYP1,producing
239,HMDB0000042,BCHE,producing
240,HMDB0000042,ACHE,producing
241,HMDB0000042,PAFAH1B1,producing
242,HMDB0000042,PAFAH1B3,producing
243,HMDB0000042,PAFAH1B2,producing
244,HMDB0000042,PAFAH2,producing
245,HMDB0000042,ACSS3,degrading
246,HMDB0000042,ACOT12,producing
247,HMDB0000042,CYP17A1,producing
248,HMDB0000042,SLC16A13,producing
249,HMDB0000042,SLC16A9,producing
250,HMDB0000042,SLC16A12,producing
251,HMDB0000042,CEMP1,producing
252,HMDB0000042,SIRT7,producing
253,HMDB0000042,MACROD2,producing
254,HMDB0000042,NTAN1,producing
255,HMDB0000042,NTAQ1,producing
256,HMDB0000042,SIRT3,producing
257,HMDB0000042,NAAA,producing
258,HMDB0000042,MACROD1,producing
259,HMDB0000042,OARD1,producing
260,HMDB0000042,SIRT5,producing
261,HMDB0000042,SIRT1,producing
262,HMDB0000042,ACER3,producing
263,HMDB0000042,SIRT6,producing
264,HMDB0000042,SIRT2,producing
265,HMDB0000042,ASPG,producing
266,HMDB0000042,BCO2,producing
267,HMDB0000042,CYP11B2,producing
268,HMDB0000042,CYP11B1,producing
269,HMDB0000042,SLC16A5,producing
270,HMDB0000042,SLC16A4,producing
271,HMDB0000042,SLC16A3,producing
272,HMDB0000042,SLC16A7,producing
273,HMDB0000042,SLC16A6,producing
274,HMDB0000042,SLC16A8,producing
275,HMDB0000043,BHMT,degrading
276,HMDB0000043,BHMT2,degrading
277,HMDB0000043,SLC6A12,producing
278,HMDB0000043,ALDH7A1,producing
279,HMDB0000044,CYBRD1,degrading
280,HMDB0000044,DBH,degrading
281,HMDB0000044,MOXD1,degrading
282,HMDB0000044,GSTO2,producing
283,HMDB0000044,GSTO1,producing
284,HMDB0000044,GLRX2,producing
285,HMDB0000044,GLRX,producing
286,HMDB0000044,SLC23A2,producing
287,HMDB0000044,SLC23A1,producing
288,HMDB0000044,PAM,producing
289,HMDB0000045,HPRT1,degrading
290,HMDB0000045,AK3,degrading
291,HMDB0000045,AK4,degrading
292,HMDB0000045,ACP5,degrading
293,HMDB0000045,ACP6,degrading
294,HMDB0000045,ACP3,degrading
295,HMDB0000045,ACP2,degrading
296,HMDB0000045,AK1,degrading
297,HMDB0000045,AK7,degrading
298,HMDB0000045,AK5,degrading
299,HMDB0000045,AK2,degrading
300,HMDB0000045,NT5E,degrading
301,HMDB0000045,NT5M,degrading
302,HMDB0000045,NT5C1B,degrading
303,HMDB0000045,NT5C3A,degrading
304,HMDB0000045,NT5C1A,degrading
305,HMDB0000045,NT5C2,degrading
306,HMDB0000045,NT5C,degrading
307,HMDB0000045,AMPD3,degrading
308,HMDB0000045,AMPD1,degrading
309,HMDB0000045,AMPD2,degrading
310,HMDB0000045,TRPM2,producing
311,HMDB0000045,TRIM25,degrading
312,HMDB0000045,THG1L,degrading
313,HMDB0000045,RTCB,degrading
314,HMDB0000045,RNF103,producing
315,HMDB0000045,UBE2QL1,producing
316,HMDB0000045,NEURL1B,producing
317,HMDB0000045,RNF5,producing
318,HMDB0000045,RING1,producing
319,HMDB0000045,PJA2,producing
320,HMDB0000045,DZIP3,producing
321,HMDB0000045,UBE2J1,producing
322,HMDB0000045,SMURF1,producing
323,HMDB0000045,WWP2,producing
324,HMDB0000045,MARCHF5,producing
325,HMDB0000045,TOPORS,producing
326,HMDB0000045,MIB2,producing
327,HMDB0000045,TRIM33,producing
328,HMDB0000045,SIAH1,producing
329,HMDB0000045,RNF133,producing
330,HMDB0000045,NHLRC1,producing
331,HMDB0000045,UBE2H,producing
332,HMDB0000045,ZNRF1,producing
333,HMDB0000045,UBE2L3,producing
334,HMDB0000045,PRKN,producing
335,HMDB0000045,UBE2G2,producing
336,HMDB0000045,UBE2F,producing
337,HMDB0000045,MARCHF11,producing
338,HMDB0000045,TTC3,producing
339,HMDB0000045,UBE2E2,producing
340,HMDB0000045,UBA7,producing
341,HMDB0000045,RNF41,producing
342,HMDB0000045,SIAH2,producing
343,HMDB0000045,PJA1,producing
344,HMDB0000045,RNF182,producing
345,HMDB0000045,ZNRF2,producing
346,HMDB0000045,MKRN3,producing
347,HMDB0000045,UBE2N,producing
348,HMDB0000045,UBE2U,producing
349,HMDB0000045,RNF152,producing
350,HMDB0000045,UBE2O,producing
351,HMDB0000045,CBLL2,producing
352,HMDB0000045,UBE2C,producing
353,HMDB0000045,MARCHF3,producing
354,HMDB0000045,MARCHF10,producing
355,HMDB0000045,SH3RF3,producing
356,HMDB0000045,RNF139,producing
357,HMDB0000045,UBE2E1,producing
358,HMDB0000045,UBE2E3,producing
359,HMDB0000045,RFWD3,producing
360,HMDB0000045,RNF187,producing
361,HMDB0000045,RAG1,producing
362,HMDB0000045,MARCHF8,producing
363,HMDB0000045,HECTD2,producing
364,HMDB0000045,RNF180,producing
365,HMDB0000045,RNF123,producing
366,HMDB0000045,RCHY1,producing
367,HMDB0000045,RNF25,producing
368,HMDB0000045,RNF149,producing
369,HMDB0000045,ZSWIM2,producing
370,HMDB0000045,SYVN1,producing
371,HMDB0000045,UBE2Q1,producing
372,HMDB0000045,UBE2J2,producing
373,HMDB0000045,AMFR,producing
374,HMDB0000045,UBR1,producing
375,HMDB0000045,UBE2Z,producing
376,HMDB0000045,TRIM63,producing
377,HMDB0000045,UBE2L6,producing
378,HMDB0000045,SH3RF2,producing
379,HMDB0000045,RNF20,producing
380,HMDB0000045,SH3RF1,producing
381,HMDB0000045,TRIM11,producing
382,HMDB0000045,TRIP12,producing
383,HMDB0000045,RNF144A,producing
384,HMDB0000045,UBE3B,producing
385,HMDB0000045,HERC4,producing
386,HMDB0000045,LRSAM1,producing
387,HMDB0000045,UHRF2,producing
388,HMDB0000045,SHPRH,producing
389,HMDB0000045,RNF217,producing
390,HMDB0000045,MARCHF6,producing
391,HMDB0000045,MARCHF1,producing
392,HMDB0000045,UBA3,producing
393,HMDB0000045,MARCHF4,producing
394,HMDB0000045,UBR3,producing
395,HMDB0000045,COP1,producing
396,HMDB0000045,CBLC,producing
397,HMDB0000045,SAE1,producing
398,HMDB0000045,UBE2Q2,producing
399,HMDB0000045,MARCHF9,producing
400,HMDB0000045,RNF185,producing
401,HMDB0000045,HERC3,producing
402,HMDB0000045,HECW2,producing
403,HMDB0000045,BARD1,producing
404,HMDB0000045,RNF144B,producing
405,HMDB0000045,MARCHF7,producing
406,HMDB0000045,MDM2,producing
407,HMDB0000045,RNF138,producing
408,HMDB0000045,MKRN1,producing
409,HMDB0000045,RNF128,producing
410,HMDB0000045,UBE2G1,producing
411,HMDB0000045,TRIM5,producing
412,HMDB0000045,TRAF7,producing
413,HMDB0000045,UBE2D2,producing
414,HMDB0000045,UBA1,producing
415,HMDB0000045,UBE4B,producing
416,HMDB0000045,UBE2M,producing
417,HMDB0000045,HERC2,producing
418,HMDB0000045,UBR4,producing
419,HMDB0000045,UBA2,producing
420,HMDB0000045,HECTD3,producing
421,HMDB0000045,WWP1,producing
422,HMDB0000045,RBBP6,producing
423,HMDB0000045,RNF115,producing
424,HMDB0000045,RNF2,producing
425,HMDB0000045,TRIM32,producing
426,HMDB0000045,UBE2B,producing
427,HMDB0000045,RNF146,producing
428,HMDB0000045,RNF19B,producing
429,HMDB0000045,BIRC6,producing
430,HMDB0000045,FANCL,producing
431,HMDB0000045,CBLB,producing
432,HMDB0000045,UBE3A,producing
433,HMDB0000045,RNF130,producing
434,HMDB0000045,RNF8,producing
435,HMDB0000045,CBL,producing
436,HMDB0000045,UBE4A,producing
437,HMDB0000045,PRPF19,producing
438,HMDB0000045,UBE2D3,producing
439,HMDB0000045,SMURF2,producing
440,HMDB0000045,RNF167,producing
441,HMDB0000045,UBE2S,producing
442,HMDB0000045,NEURL1,producing
443,HMDB0000045,UBE2R2,producing
444,HMDB0000045,NRF1,producing
445,HMDB0000045,CBLL1,producing
446,HMDB0000045,UBR5,producing
447,HMDB0000045,UBE2W,producing
448,HMDB0000045,HERC1,producing
449,HMDB0000045,RNF40,producing
450,HMDB0000045,UBE2I,producing
451,HMDB0000045,STUB1,producing
452,HMDB0000045,MGRN1,producing
453,HMDB0000045,UBE2NL,producing
454,HMDB0000045,MID1,producing
455,HMDB0000045,MIB1,producing
456,HMDB0000045,RNF125,producing
457,HMDB0000045,CCNB1IP1,producing
458,HMDB0000045,CDC34,producing
459,HMDB0000045,MARCHF2,producing
460,HMDB0000045,HECTD1,producing
461,HMDB0000045,RNF31,producing
462,HMDB0000045,MUL1,producing
463,HMDB0000045,BRAP,producing
464,HMDB0000045,HUWE1,producing
465,HMDB0000045,HACE1,producing
466,HMDB0000045,RNF13,producing
467,HMDB0000045,CNOT4,producing
468,HMDB0000045,UBE2D4,producing
469,HMDB0000045,ITCH,producing
470,HMDB0000045,UBE2K,producing
471,HMDB0000045,UBE2A,producing
472,HMDB0000045,UBE2T,producing
473,HMDB0000045,MKRN2,producing
474,HMDB0000045,CHFR,producing
475,HMDB0000045,UBE2D1,producing
476,HMDB0000045,HLTF,producing
477,HMDB0000045,RAD18,producing
478,HMDB0000045,RNF126,producing
479,HMDB0000045,NEDD4,producing
480,HMDB0000045,NEDD4L,producing
481,HMDB0000045,RNF19A,producing
482,HMDB0000045,UHRF1,producing
483,HMDB0000045,UBA6,producing
484,HMDB0000045,UBR2,producing
485,HMDB0000045,RNF14,producing
486,HMDB0000045,UBR7,producing
487,HMDB0000045,RNF216,producing
488,HMDB0000045,UBE3C,producing
489,HMDB0000045,MYLIP,producing
490,HMDB0000045,MYCBP2,producing
491,HMDB0000045,HECW1,producing
492,HMDB0000045,LIPT1,producing
493,HMDB0000045,VARS1,producing
494,HMDB0000045,VARS2,producing
495,HMDB0000045,WARS1,producing
496,HMDB0000045,WARS2,producing
497,HMDB0000045,TARS3,producing
498,HMDB0000045,TARS2,producing
499,HMDB0000045,TARS1,producing
500,HMDB0000045,SARS2,producing
501,HMDB0000045,SARS1,producing
502,HMDB0000045,PARS2,producing
503,HMDB0000045,FARSA,producing
504,HMDB0000045,FARS2,producing
505,HMDB0000045,FARSB,producing
506,HMDB0000045,MARS2,producing
507,HMDB0000045,MARS1,producing
508,HMDB0000045,KARS1,producing
509,HMDB0000045,LARS1,producing
510,HMDB0000045,LARS2,producing
511,HMDB0000045,IARS1,producing
512,HMDB0000045,IARS2,producing
513,HMDB0000045,HARS1,producing
514,HMDB0000045,HARS2,producing
515,HMDB0000045,GARS1,producing
516,HMDB0000045,EPRS1,producing
517,HMDB0000045,EARS2,producing
518,HMDB0000045,QARS1,producing
519,HMDB0000045,CARS2,producing
520,HMDB0000045,CARS1,producing
521,HMDB0000045,DARS2,producing
522,HMDB0000045,DARS1,producing
523,HMDB0000045,NARS2,producing
524,HMDB0000045,NARS1,producing
525,HMDB0000045,RARS2,producing
526,HMDB0000045,RARS1,producing
527,HMDB0000045,AARS2,producing
528,HMDB0000045,AARS1,producing
529,HMDB0000045,YARS2,producing
530,HMDB0000045,YARS1,producing
531,HMDB0000045,NUDT11,producing
532,HMDB0000045,NUDT10,producing
533,HMDB0000045,ACSM4,producing
534,HMDB0000045,ACSM2A,producing
535,HMDB0000045,ACSM5,producing
536,HMDB0000045,ACSM2B,producing
537,HMDB0000045,ACSM3,producing
538,HMDB0000045,APRT,producing
539,HMDB0000045,SLC27A6,producing
540,HMDB0000045,SLC25A17,producing
541,HMDB0000045,NUDT12,producing
542,HMDB0000045,ADSL,producing
543,HMDB0000045,NUDT5,producing
544,HMDB0000045,ENPP3,producing
545,HMDB0000045,ENPP1,producing
546,HMDB0000045,MOCS3,degrading
547,HMDB0000045,ACSM1,producing
548,HMDB0000045,NUDT9,producing
549,HMDB0000045,AACS,producing
550,HMDB0000045,GPHN,producing
551,HMDB0000045,GMPS,producing
552,HMDB0000045,LIG4,degrading
553,HMDB0000045,LIG3,degrading
554,HMDB0000045,LIG1,degrading
555,HMDB0000045,TKFC,producing
556,HMDB0000045,DECR1,producing
557,HMDB0000045,DECR2,producing
558,HMDB0000045,ECI2,producing
559,HMDB0000045,ECI1,producing
560,HMDB0000045,ENTPD5,producing
561,HMDB0000045,ENTPD6,producing
562,HMDB0000045,ENTPD2,producing
563,HMDB0000045,ALDH7A1,degrading
564,HMDB0000045,BPNT1,producing
565,HMDB0000045,SEPHS2,producing
566,HMDB0000045,SEPHS1,producing
567,HMDB0000045,FHIT,producing
568,HMDB0000045,NUDT2,producing
569,HMDB0000045,RTCA,producing
570,HMDB0000045,RCL1,producing
571,HMDB0000045,ADPGK,producing
572,HMDB0000045,ACSM6,degrading
573,HMDB0000045,ACSBG1,producing
574,HMDB0000045,ACSL6,producing
575,HMDB0000045,ACSBG2,producing
576,HMDB0000045,ACSL5,producing
577,HMDB0000045,ACSL1,producing
578,HMDB0000045,ACSL4,producing
579,HMDB0000045,ACSL3,producing
580,HMDB0000045,ADK,producing
581,HMDB0000045,NADSYN1,producing
582,HMDB0000045,TPK1,producing
583,HMDB0000045,PRPS2,producing
584,HMDB0000045,PRPS1,producing
585,HMDB0000045,PRPS1L1,producing
586,HMDB0000045,PPCS,producing
587,HMDB0000045,CARNS1,producing
588,HMDB0000045,ENTPD8,producing
589,HMDB0000045,ENTPD3,producing
590,HMDB0000045,ENTPD1,producing
591,HMDB0000045,PDE8B,producing
592,HMDB0000045,PDE11A,producing
593,HMDB0000045,PDE7B,producing
594,HMDB0000045,PDE2A,producing
595,HMDB0000045,PDE4A,producing
596,HMDB0000045,PDE10A,producing
597,HMDB0000045,PDE3B,producing
598,HMDB0000045,PDE1A,producing
599,HMDB0000045,PDE4D,producing
600,HMDB0000045,PDE1C,producing
601,HMDB0000045,PDE4C,producing
602,HMDB0000045,PDE7A,producing
603,HMDB0000045,PDE1B,producing
604,HMDB0000045,PDE8A,producing
605,HMDB0000045,PDE4B,producing
606,HMDB0000045,PDE3A,producing
607,HMDB0000045,ASNS,producing
608,HMDB0000045,ASS1,producing
609,HMDB0000045,TNRC6B,degrading
610,HMDB0000045,RBAK,degrading
611,HMDB0000045,NT5C3B,degrading
612,HMDB0000045,ITPA,producing
613,HMDB0000045,ACSS2,producing
614,HMDB0000045,ACSS3,producing
615,HMDB0000045,ACSS1,producing
616,HMDB0000045,HLCS,producing
617,HMDB0000045,ACSF3,producing
618,HMDB0000045,ACSF2,producing
619,HMDB0000045,AASDH,producing
620,HMDB0000045,ACOT1,producing
621,HMDB0000045,ACOT7,producing
622,HMDB0000045,ACOT4,producing
623,HMDB0000045,ACOT8,producing
624,HMDB0000045,ACOT2,producing
625,HMDB0000045,ACOX3,producing
626,HMDB0000045,HADH,producing
627,HMDB0000045,HSD17B10,producing
628,HMDB0000045,SLC27A3,producing
629,HMDB0000045,SLC27A1,producing
630,HMDB0000045,SLC27A4,producing
631,HMDB0000045,ECHS1,producing
632,HMDB0000045,HSD17B4,producing
633,HMDB0000045,BAAT,producing
634,HMDB0000045,AMACR,producing
635,HMDB0000045,ACOX1,producing
636,HMDB0000045,ACAA1,producing
637,HMDB0000045,HADHA,producing
638,HMDB0000045,ACAA2,producing
639,HMDB0000045,HADHB,producing
640,HMDB0000045,BPNT2,producing
641,HMDB0000045,ADPRM,producing
642,HMDB0000045,PDE6G,producing
643,HMDB0000045,PDE9A,producing
644,HMDB0000045,PDE6H,producing
645,HMDB0000045,PDE5A,producing
646,HMDB0000045,PDE6B,producing
647,HMDB0000045,PDE6A,producing
648,HMDB0000045,PDE6C,producing
649,HMDB0000045,TAF9,producing
650,HMDB0000045,AK8,producing
651,HMDB0000045,AK9,producing
652,HMDB0000045,AK6,producing
653,HMDB0000045,ENTPD4,producing
654,HMDB0000045,CANT1,producing
655,HMDB0000045,DCK,producing
656,HMDB0000045,SLC27A2,producing
657,HMDB0000045,SLC27A5,producing
658,HMDB0000048,GLA,degrading
659,HMDB0000050,PNP,degrading
660,HMDB0000050,ADK,degrading
661,HMDB0000050,ADA,degrading
662,HMDB0000050,AHCYL1,producing
663,HMDB0000050,AHCY,producing
664,HMDB0000050,AHCYL2,producing
665,HMDB0000050,SLC29A3,producing
666,HMDB0000050,SLC29A1,producing
667,HMDB0000050,SLC29A2,producing
668,HMDB0000050,NT5E,producing
669,HMDB0000050,NT5M,producing
670,HMDB0000050,ACP5,producing
671,HMDB0000050,ACP6,producing
672,HMDB0000050,ACP3,producing
673,HMDB0000050,ACP2,producing
674,HMDB0000050,SLC28A2,producing
675,HMDB0000050,SLC28A1,producing
676,HMDB0000050,NT5C1B,producing
677,HMDB0000050,NT5C3A,producing
678,HMDB0000050,NT5C1A,producing
679,HMDB0000050,NT5C2,producing
680,HMDB0000050,NT5C,producing
681,HMDB0000050,SLC29A4,producing
682,HMDB0000050,SLC28A3,producing
683,HMDB0000050,ADA2,degrading
684,HMDB0000050,DCK,degrading
685,HMDB0000050,FASN,producing
686,HMDB0000050,RBAK,producing
687,HMDB0000050,NT5C3B,producing
688,HMDB0000053,HSD17B3,degrading
689,HMDB0000053,SRD5A2,degrading
690,HMDB0000053,SRD5A1,degrading
691,HMDB0000053,HSD17B2,degrading
692,HMDB0000053,AKR1D1,degrading
693,HMDB0000053,CYP2U1,degrading
694,HMDB0000053,CYP4F11,degrading
695,HMDB0000053,CYP2S1,degrading
696,HMDB0000053,CYP4X1,degrading
697,HMDB0000053,CYP4Z1,degrading
698,HMDB0000053,CYP2J2,degrading
699,HMDB0000053,CYP2A7,degrading
700,HMDB0000053,CYP2B6,degrading
701,HMDB0000053,CYP4B1,degrading
702,HMDB0000053,CYP4F12,degrading
703,HMDB0000053,CYP3A7,degrading
704,HMDB0000053,CYP3A5,degrading
705,HMDB0000053,CYP3A43,degrading
706,HMDB0000053,CYP2F1,degrading
707,HMDB0000053,CYP2C9,degrading
708,HMDB0000053,CYP2C8,degrading
709,HMDB0000053,CYP2C18,degrading
710,HMDB0000053,CYP2A6,degrading
711,HMDB0000053,CYP2A13,degrading
712,HMDB0000053,CYP3A4,degrading
713,HMDB0000053,CYP19A1,degrading
714,HMDB0000053,CYP1A2,degrading
715,HMDB0000053,CYP1B1,degrading
716,HMDB0000053,CYP1A1,degrading
717,HMDB0000053,CYP2C19,degrading
718,HMDB0000053,CYP4F8,degrading
719,HMDB0000053,CYP2E1,degrading
720,HMDB0000053,CYP2D6,degrading
721,HMDB0000053,HSD3B2,producing
722,HMDB0000053,HSD3B1,producing
723,HMDB0000053,CYP11B2,degrading
724,HMDB0000053,CYP11B1,degrading
