,HMDB,GENE,direction
0,HMDB0000008,LDHAL6A,degrading
1,HMDB0000008,LDHA,degrading
2,HMDB0000008,LDHB,degrading
3,HMDB0000008,UEVLD,degrading
4,HMDB0000008,LDHC,degrading
5,HMDB0000008,LDHAL6B,degrading
6,HMDB0000008,SULT2B1,degrading
7,HMDB0000008,UGT1A1,degrading
8,HMDB0000008,SLC16A1,producing
9,HMDB0000008,SLC16A7,producing
10,HMDB0000008,SLC16A3,producing
11,HMDB0000008,SLC16A5,producing
12,HMDB0000008,SLC16A4,producing
13,HMDB0000008,SLC16A6,producing
14,HMDB0000008,SLC16A8,producing
15,HMDB0000010,UGT2B28,degrading
16,HMDB0000010,UGT2B17,degrading
17,HMDB0000010,UGT2B15,degrading
18,HMDB0000010,UGT2B11,degrading
19,HMDB0000010,UGT2B10,degrading
20,HMDB0000010,UGT2B7,degrading
21,HMDB0000010,UGT2B4,degrading
22,HMDB0000010,UGT2A3,degrading
23,HMDB0000010,UGT1A9,degrading
24,HMDB0000010,UGT1A8,degrading
25,HMDB0000010,UGT1A7,degrading
26,HMDB0000010,UGT1A6,degrading
27,HMDB0000010,UGT1A5,degrading
28,HMDB0000010,UGT1A4,degrading
29,HMDB0000010,UGT1A3,degrading
30,HMDB0000010,UGT1A1,degrading
31,HMDB0000010,UGT1A10,degrading
32,HMDB0000010,ABCB1,producing
33,HMDB0000010,TOMT,producing
34,HMDB0000010,COMT,producing
35,HMDB0000011,BDH1,degrading
36,HMDB0000011,SULT2B1,degrading
37,HMDB0000011,UGT1A1,degrading
38,HMDB0000011,SLC16A1,producing
39,HMDB0000011,BDH2,degrading
40,HMDB0000011,SLC16A5,producing
41,HMDB0000011,SLC16A4,producing
42,HMDB0000011,SLC16A3,producing
43,HMDB0000011,SLC16A7,producing
44,HMDB0000011,SLC16A6,producing
45,HMDB0000011,SLC16A8,producing
46,HMDB0000012,UPP2,degrading
47,HMDB0000012,PNP,degrading
48,HMDB0000012,TK2,degrading
49,HMDB0000012,TK1,degrading
50,HMDB0000012,SLC29A2,producing
51,HMDB0000012,TYMP,degrading
52,HMDB0000012,NT5M,producing
53,HMDB0000012,SLC28A3,producing
