,HMDB,GENE,direction
0,HMDB0015532,SLC39A2,producing
1,HMDB0002281,PCBD2,degrading
2,HMDB0000038,PCBD2,producing
3,HMDB0002111,PCBD2,producing
4,HMDB0002215,PCBD2,producing
5,HMDB0000538,SLK,degrading
6,HMDB0001341,SLK,producing
7,HMDB0002111,SEPSECS,degrading
8,HMDB0001429,SEPSECS,degrading
9,HMDB0003840,SEPSECS,degrading
10,HMDB0000280,UPRT,degrading
11,HMDB0000300,UPRT,degrading
12,HMDB0000288,UPRT,producing
13,HMDB0000250,UPRT,producing
14,HMDB0000050,ADK,degrading
15,HMDB0000538,ADK,degrading
16,HMDB0000045,ADK,producing
17,HMDB0001341,ADK,producing
18,HMDB0059597,ADK,producing
19,HMDB0001251,CYP4F8,degrading
20,HMDB0060116,CYP4F8,degrading
21,HMDB0062429,CYP4F8,degrading
22,HMDB0062469,CYP4F8,degrading
23,HMDB0001197,CYP4F8,degrading
24,HMDB0012824,CYP4F8,degrading
25,HMDB0000673,CYP4F8,degrading
26,HMDB0000053,CYP4F8,degrading
27,HMDB0000234,CYP4F8,degrading
28,HMDB0001085,CYP4F8,degrading
29,HMDB0001043,CYP4F8,degrading
30,HMDB0001377,CYP4F8,degrading
31,HMDB0001023,CYP4F8,producing
32,HMDB0000221,CYP4F8,producing
33,HMDB0004701,CYP4F8,producing
34,HMDB0059597,CYP4F8,producing
35,HMDB0001248,CYP4F8,producing
36,HMDB0000338,CYP4F8,producing
37,HMDB0000335,CYP4F8,producing
38,HMDB0006245,CYP4F8,producing
39,HMDB0004244,CYP4F8,producing
40,HMDB0005998,CYP4F8,producing
41,HMDB0001852,CYP4F8,degrading
42,HMDB0006327,CYP4F8,degrading
43,HMDB0001893,CYP4F8,degrading
44,HMDB0011134,CYP4F8,degrading
45,HMDB0003125,CYP4F8,producing
46,HMDB0012562,CYP4F8,producing
47,HMDB0004702,CYP4F8,producing
48,HMDB0000145,CYP4F8,producing
49,HMDB0000151,CYP4F8,producing
50,HMDB0000142,CYP4F8,producing
51,HMDB0001509,CYP4F8,producing
52,HMDB0245567,CYP4F8,producing
53,HMDB0004264,CYP4F8,producing
54,HMDB0004673,CYP4F8,producing
55,HMDB0002232,CYP4F8,producing
56,HMDB0002190,CYP4F8,producing
57,HMDB0000217,CYP4F8,producing
58,HMDB0002111,CYP4F8,producing
59,HMDB0001429,CHD1,producing
60,HMDB0001341,CHD1,producing
61,HMDB0002111,CHD1,degrading
62,HMDB0000538,CHD1,degrading
63,HMDB0061714,FABP2,producing
64,HMDB0005060,FABP2,producing
65,HMDB0002823,FABP2,producing
66,HMDB0060039,FABP2,producing
67,HMDB0001160,FABP2,producing
68,HMDB0002884,FABP2,producing
69,HMDB0002345,FABP2,producing
70,HMDB0010378,FABP2,producing
71,HMDB0000772,FABP2,producing
72,HMDB0031046,FABP2,producing
73,HMDB0000521,FABP2,producing
74,HMDB0000910,FABP2,producing
75,HMDB0000947,FABP2,producing
76,HMDB0000666,FABP2,producing
77,HMDB0000892,FABP2,producing
78,HMDB0000847,FABP2,producing
79,HMDB0002231,FABP2,producing
80,HMDB0000039,FABP2,producing
81,HMDB0006547,FABP2,producing
82,HMDB0000827,FABP2,producing
83,HMDB0000826,FABP2,producing
84,HMDB0003229,FABP2,producing
85,HMDB0000220,FABP2,producing
86,HMDB0002177,FABP2,producing
87,HMDB0000207,FABP2,producing
88,HMDB0000482,FABP2,producing
89,HMDB0002368,FABP2,producing
90,HMDB0000806,FABP2,producing
91,HMDB0002259,FABP2,producing
92,HMDB0001388,FABP2,producing
93,HMDB0000673,FABP2,producing
94,HMDB0002003,FABP2,producing
95,HMDB0000638,FABP2,producing
96,HMDB0000535,FABP2,producing
97,HMDB0003073,FABP2,producing
98,HMDB0001999,FABP2,producing
99,HMDB0000573,FABP2,producing
100,HMDB0002212,FABP2,producing
101,HMDB0006528,FABP2,producing
102,HMDB0002925,FABP2,producing
103,HMDB0002183,FABP2,producing
104,HMDB0000511,FABP2,producing
105,HMDB0003231,FABP2,producing
106,HMDB0002068,FABP2,producing
107,HMDB0002356,FABP2,producing
108,HMDB0000944,FABP2,producing
109,HMDB0001043,FABP2,producing
110,HMDB0002226,FABP2,producing
111,HMDB0013025,FABP2,producing
112,HMDB0011158,PLD4,degrading
113,HMDB0002111,PLD4,degrading
114,HMDB0011155,PLD4,producing
115,HMDB0000149,PLD4,producing
116,HMDB0007862,PLD4,producing
117,HMDB0000097,PLD4,producing
118,HMDB0059597,PLD4,producing
119,HMDB0000186,LCT,degrading
120,HMDB0002111,LCT,degrading
121,HMDB0004936,LCT,producing
122,HMDB0004897,LCT,producing
123,HMDB0000143,LCT,producing
124,HMDB0000122,LCT,producing
125,HMDB0003345,LCT,producing
126,HMDB0003449,LCT,producing
127,HMDB0041627,LCT,degrading
128,HMDB0004866,LCT,producing
129,HMDB0001185,SETD1A,producing
130,HMDB0000939,SETD1A,producing
131,HMDB0000538,GRK1,degrading
132,HMDB0001341,GRK1,producing
133,HMDB0001273,MOCS1,degrading
134,HMDB0002111,MOCS1,degrading
135,HMDB0059639,MOCS1,producing
136,HMDB0000250,MOCS1,producing
137,HMDB0002127,LDHA,degrading
138,HMDB0000008,LDHA,degrading
139,HMDB0000190,LDHA,degrading
140,HMDB0000019,LDHA,degrading
141,HMDB0000491,LDHA,degrading
142,HMDB0000119,LDHA,degrading
143,HMDB0002111,LDHA,degrading
144,HMDB0000902,LDHA,producing
145,HMDB0002329,LDHA,producing
146,HMDB0001259,LDHA,degrading
147,HMDB0000217,LDHA,degrading
148,HMDB0001368,LDHA,producing
149,HMDB0000005,LDHA,producing
