,HMDB,GENE,direction
150,HMDB0000254,LDHA,producing
151,HMDB0000221,LDHA,producing
152,HMDB0000243,LDHA,producing
153,HMDB0001487,LDHA,producing
154,HMDB0059597,LDHA,producing
155,HMDB0002111,DUSP12,degrading
156,HMDB0001429,DUSP12,producing
157,HMDB0000076,DPYSL2,degrading
158,HMDB0002111,DPYSL2,degrading
159,HMDB0000026,DPYSL2,producing
160,HMDB0059597,DPYSL2,producing
161,HMDB0000223,CS,degrading
162,HMDB0001206,CS,degrading
163,HMDB0002111,CS,degrading
164,HMDB0000094,CS,producing
165,HMDB0001423,CS,producing
166,HMDB0059597,CS,producing
167,HMDB0000538,RPS6KC1,degrading
168,HMDB0001341,RPS6KC1,producing
169,HMDB0000538,RNF103,degrading
170,HMDB0000250,RNF103,producing
171,HMDB0000045,RNF103,producing
172,HMDB0001295,HACL1,degrading
173,HMDB0000217,HACL1,degrading
174,HMDB0002111,HACL1,degrading
175,HMDB0000902,HACL1,degrading
176,HMDB0000221,HACL1,producing
177,HMDB0001958,HACL1,producing
178,HMDB0000795,HACL1,producing
179,HMDB0003419,HACL1,producing
180,HMDB0001487,HACL1,producing
181,HMDB0000538,DGKD,degrading
182,HMDB0001341,DGKD,producing
183,HMDB0059597,DGKD,producing
184,HMDB0000538,BMPR1A,degrading
185,HMDB0001341,BMPR1A,producing
186,HMDB0060391,GSTA3,degrading
187,HMDB0060344,GSTA3,degrading
188,HMDB0060452,GSTA3,degrading
189,HMDB0060333,GSTA3,degrading
190,HMDB0029593,GSTA3,degrading
191,HMDB0060301,GSTA3,degrading
192,HMDB0006215,GSTA3,degrading
193,HMDB0060357,GSTA3,degrading
194,HMDB0060332,GSTA3,degrading
195,HMDB0060331,GSTA3,degrading
196,HMDB0060446,GSTA3,degrading
197,HMDB0060448,GSTA3,degrading
198,HMDB0006558,GSTA3,degrading
199,HMDB0060438,GSTA3,degrading
200,HMDB0060507,GSTA3,producing
201,HMDB0060506,GSTA3,producing
202,HMDB0060329,GSTA3,producing
203,HMDB0060330,GSTA3,producing
204,HMDB0060326,GSTA3,producing
205,HMDB0060327,GSTA3,producing
206,HMDB0060358,GSTA3,producing
207,HMDB0060381,GSTA3,producing
208,HMDB0060505,GSTA3,producing
209,HMDB0060343,GSTA3,producing
210,HMDB0060342,GSTA3,producing
211,HMDB0029225,GSTA3,producing
212,HMDB0060504,GSTA3,producing
213,HMDB0060431,GSTA3,producing
214,HMDB0060387,GSTA3,producing
215,HMDB0060433,GSTA3,degrading
216,HMDB0002500,GSTA3,producing
217,HMDB0060479,GSTA3,producing
218,HMDB0060334,GSTA3,degrading
219,HMDB0002306,GSTA3,producing
220,HMDB0060299,GSTA3,producing
221,HMDB0060302,GSTA3,producing
222,HMDB0060300,GSTA3,producing
223,HMDB0060091,GSTA3,producing
224,HMDB0000125,GSTA3,producing
225,HMDB0059597,GSTA3,producing
226,HMDB0002656,GSTA3,degrading
227,HMDB0002752,GSTA3,degrading
228,HMDB0002710,GSTA3,degrading
229,HMDB0001430,GSTA3,producing
230,HMDB0001229,GSTA3,producing
231,HMDB0004058,GSTA3,producing
232,HMDB0060423,GSTA3,producing
233,HMDB0002111,GSTA3,producing
234,HMDB0000538,DGKE,degrading
235,HMDB0001341,DGKE,producing
236,HMDB0059597,DGKE,producing
237,HMDB0001423,NAA20,degrading
238,HMDB0002200,NAA20,producing
239,HMDB0000033,NAA20,producing
240,HMDB0001206,NAA20,producing
241,HMDB0001197,DHCR24,degrading
242,HMDB0006271,DHCR24,degrading
243,HMDB0002719,DHCR24,degrading
244,HMDB0001170,DHCR24,producing
245,HMDB0001248,DHCR24,producing
246,HMDB0006841,DHCR24,producing
247,HMDB0006842,DHCR24,producing
248,HMDB0000221,DHCR24,producing
249,HMDB0059597,DHCR24,producing
250,HMDB0000032,DHCR24,producing
251,HMDB0003896,DHCR24,degrading
252,HMDB0006840,DHCR24,producing
253,HMDB0001286,DHCR24,degrading
254,HMDB0002869,DHCR24,producing
255,HMDB0006849,DHCR24,degrading
256,HMDB0000852,DHCR24,producing
257,HMDB0002374,DHCR24,degrading
258,HMDB0059615,DHCR24,producing
259,HMDB0000067,DHCR24,producing
260,HMDB0000217,DHCR24,producing
261,HMDB0000902,DHCR24,degrading
262,HMDB0000700,DHCR24,degrading
263,HMDB0001251,DHCR24,degrading
264,HMDB0001487,DHCR24,producing
265,HMDB0006839,DHCR24,producing
266,HMDB0000538,MKNK2,degrading
267,HMDB0001341,MKNK2,producing
268,HMDB0000302,A4GNT,degrading
269,HMDB0000290,A4GNT,degrading
270,HMDB0000295,A4GNT,producing
271,HMDB0059597,A4GNT,producing
272,HMDB0004866,A4GNT,producing
273,HMDB0002012,NDUFA11,degrading
274,HMDB0001487,NDUFA11,degrading
275,HMDB0059661,NDUFA11,producing
276,HMDB0000902,NDUFA11,producing
277,HMDB0001096,G6PC2,degrading
278,HMDB0000250,G6PC2,degrading
279,HMDB0002111,G6PC2,degrading
280,HMDB0001429,G6PC2,producing
281,HMDB0000122,G6PC2,producing
282,HMDB0001401,G6PC2,producing
283,HMDB0000051,G6PC2,producing
284,HMDB0001967,G6PC2,producing
285,HMDB0059597,G6PC2,producing
286,HMDB0003345,G6PC2,producing
287,HMDB0059661,UQCR11,degrading
288,HMDB0001377,UQCR11,degrading
289,HMDB0002012,UQCR11,producing
290,HMDB0001429,CHD9,producing
291,HMDB0001341,CHD9,producing
292,HMDB0002111,CHD9,degrading
293,HMDB0000538,CHD9,degrading
294,HMDB0000250,POLR2J,producing
295,HMDB0000285,POLR2J,degrading
296,HMDB0000082,POLR2J,degrading
297,HMDB0001273,POLR2J,degrading
298,HMDB0000538,POLR2J,degrading
299,HMDB0001022,ACOT8,degrading
300,HMDB0004047,ACOT8,degrading
301,HMDB0012576,ACOT8,degrading
302,HMDB0004258,ACOT8,degrading
303,HMDB0001114,ACOT8,degrading
304,HMDB0060239,ACOT8,degrading
305,HMDB0001338,ACOT8,degrading
306,HMDB0012556,ACOT8,degrading
307,HMDB0004264,ACOT8,degrading
308,HMDB0004673,ACOT8,degrading
309,HMDB0000902,ACOT8,degrading
310,HMDB0000538,ACOT8,degrading
311,HMDB0001377,ACOT8,degrading
312,HMDB0001374,ACOT8,degrading
313,HMDB0002111,ACOT8,degrading
314,HMDB0001518,ACOT8,producing
315,HMDB0001039,ACOT8,producing
316,HMDB0001275,ACOT8,producing
317,HMDB0000042,ACOT8,producing
318,HMDB0000254,ACOT8,producing
319,HMDB0000792,ACOT8,producing
320,HMDB0000893,ACOT8,producing
321,HMDB0000623,ACOT8,producing
322,HMDB0000448,ACOT8,producing
323,HMDB0012575,ACOT8,producing
324,HMDB0012607,ACOT8,producing
325,HMDB0013032,ACOT8,producing
326,HMDB0000237,ACOT8,producing
327,HMDB0000518,ACOT8,producing
328,HMDB0002003,ACOT8,producing
329,HMDB0000944,ACOT8,producing
330,HMDB0002212,ACOT8,producing
331,HMDB0000827,ACOT8,producing
332,HMDB0000220,ACOT8,producing
333,HMDB0006292,ACOT8,producing
334,HMDB0000619,ACOT8,producing
335,HMDB0001423,ACOT8,producing
336,HMDB0059597,ACOT8,producing
337,HMDB0000250,ACOT8,producing
338,HMDB0000045,ACOT8,producing
339,HMDB0001206,ACOT8,producing
340,HMDB0001487,ACOT8,producing
341,HMDB0003125,ACOT8,producing
342,HMDB0001070,ELOVL2,degrading
343,HMDB0001206,ELOVL2,degrading
344,HMDB0006290,ELOVL2,degrading
345,HMDB0006521,ELOVL2,degrading
346,HMDB0062221,ELOVL2,degrading
347,HMDB0006497,ELOVL2,degrading
348,HMDB0060239,ELOVL2,degrading
349,HMDB0006532,ELOVL2,degrading
350,HMDB0062217,ELOVL2,degrading
351,HMDB0001322,ELOVL2,degrading
352,HMDB0001064,ELOVL2,degrading
353,HMDB0004258,ELOVL2,degrading
354,HMDB0060311,ELOVL2,degrading
355,HMDB0006523,ELOVL2,degrading
356,HMDB0006519,ELOVL2,degrading
357,HMDB0001175,ELOVL2,degrading
358,HMDB0006368,ELOVL2,degrading
359,HMDB0001377,ELOVL2,degrading
360,HMDB0000220,ELOVL2,producing
361,HMDB0060238,ELOVL2,producing
362,HMDB0006498,ELOVL2,producing
363,HMDB0060215,ELOVL2,producing
364,HMDB0060190,ELOVL2,producing
365,HMDB0006267,ELOVL2,producing
366,HMDB0003947,ELOVL2,producing
367,HMDB0059597,ELOVL2,producing
368,HMDB0000062,ELOVL2,producing
369,HMDB0001088,ELOVL2,producing
370,HMDB0001114,ELOVL2,producing
371,HMDB0001338,ELOVL2,producing
372,HMDB0001521,ELOVL2,producing
373,HMDB0003571,ELOVL2,producing
374,HMDB0006404,ELOVL2,producing
375,HMDB0001423,ELOVL2,producing
376,HMDB0001967,ELOVL2,producing
377,HMDB0002111,ELOVL2,producing
378,HMDB0000538,FLT1,degrading
379,HMDB0001341,FLT1,producing
380,HMDB0000538,ADCY6,degrading
381,HMDB0000058,ADCY6,producing
382,HMDB0000250,ADCY6,producing
383,HMDB0001273,ADCY6,degrading
384,HMDB0001314,ADCY6,producing
385,HMDB0060116,CYP2F1,degrading
386,HMDB0062429,CYP2F1,degrading
387,HMDB0062469,CYP2F1,degrading
388,HMDB0001197,CYP2F1,degrading
389,HMDB0012824,CYP2F1,degrading
390,HMDB0000673,CYP2F1,degrading
391,HMDB0000053,CYP2F1,degrading
392,HMDB0000234,CYP2F1,degrading
393,HMDB0001043,CYP2F1,degrading
394,HMDB0029751,CYP2F1,degrading
395,HMDB0001377,CYP2F1,degrading
396,HMDB0000221,CYP2F1,producing
397,HMDB0004701,CYP2F1,producing
398,HMDB0059597,CYP2F1,producing
399,HMDB0001248,CYP2F1,producing
400,HMDB0000338,CYP2F1,producing
401,HMDB0000335,CYP2F1,producing
402,HMDB0006111,CYP2F1,producing
403,HMDB0004244,CYP2F1,producing
404,HMDB0001852,CYP2F1,degrading
405,HMDB0003125,CYP2F1,producing
406,HMDB0004702,CYP2F1,producing
407,HMDB0000145,CYP2F1,producing
408,HMDB0000151,CYP2F1,producing
409,HMDB0000142,CYP2F1,producing
410,HMDB0004264,CYP2F1,producing
411,HMDB0004673,CYP2F1,producing
412,HMDB0002232,CYP2F1,producing
413,HMDB0002190,CYP2F1,producing
414,HMDB0006215,CYP2F1,producing
415,HMDB0000217,CYP2F1,producing
416,HMDB0002111,CYP2F1,producing
417,HMDB0000221,CINP,degrading
418,HMDB0059597,CINP,degrading
419,HMDB0000217,CINP,producing
420,HMDB0000078,ANPEP,degrading
421,HMDB0002111,ANPEP,degrading
422,HMDB0000123,ANPEP,producing
423,HMDB0000574,ANPEP,producing
424,HMDB0000538,UBE4A,degrading
425,HMDB0000250,UBE4A,producing
426,HMDB0000045,UBE4A,producing
427,HMDB0000239,PDXK,degrading
428,HMDB0062696,PDXK,degrading
429,HMDB0001545,PDXK,degrading
430,HMDB0000538,PDXK,degrading
431,HMDB0001431,PDXK,degrading
432,HMDB0001319,PDXK,producing
433,HMDB0001555,PDXK,producing
434,HMDB0001491,PDXK,producing
435,HMDB0001341,PDXK,producing
436,HMDB0059597,PDXK,producing
437,HMDB0000302,B3GALNT2,degrading
438,HMDB0000295,B3GALNT2,producing
439,HMDB0059597,B3GALNT2,producing
440,HMDB0004866,B3GALNT2,producing
441,HMDB0000902,SCCPDH,degrading
442,HMDB0002111,SCCPDH,degrading
443,HMDB0001487,SCCPDH,producing
444,HMDB0000148,SCCPDH,producing
445,HMDB0001263,SCCPDH,producing
446,HMDB0001347,GGPS1,degrading
447,HMDB0060108,GGPS1,degrading
448,HMDB0001120,GGPS1,producing
449,HMDB0000961,GGPS1,producing
450,HMDB0252702,GGPS1,producing
451,HMDB0001285,GGPS1,producing
452,HMDB0000250,GGPS1,producing
453,HMDB0004486,GGPS1,producing
454,HMDB0000947,ACSM3,degrading
455,HMDB0000511,ACSM3,degrading
456,HMDB0000847,ACSM3,degrading
457,HMDB0000666,ACSM3,degrading
458,HMDB0000892,ACSM3,degrading
459,HMDB0000039,ACSM3,degrading
460,HMDB0001423,ACSM3,degrading
461,HMDB0000538,ACSM3,degrading
462,HMDB0013114,ACSM3,producing
463,HMDB0006404,ACSM3,producing
464,HMDB0013028,ACSM3,producing
465,HMDB0012969,ACSM3,producing
466,HMDB0002845,ACSM3,producing
467,HMDB0013037,ACSM3,producing
468,HMDB0001088,ACSM3,producing
469,HMDB0000250,ACSM3,producing
470,HMDB0000045,ACSM3,producing
471,HMDB0001070,ACSM3,degrading
472,HMDB0000482,ACSM3,producing
473,HMDB0000535,ACSM3,producing
474,HMDB0059625,FUOM,producing
475,HMDB0000174,FUOM,degrading
476,HMDB0000250,POLR3C,producing
477,HMDB0000285,POLR3C,degrading
478,HMDB0000082,POLR3C,degrading
479,HMDB0001273,POLR3C,degrading
480,HMDB0000538,POLR3C,degrading
481,HMDB0001548,PRPS1L1,degrading
482,HMDB0000538,PRPS1L1,degrading
483,HMDB0000280,PRPS1L1,producing
484,HMDB0000045,PRPS1L1,producing
485,HMDB0059597,PRPS1L1,producing
486,HMDB0000538,NUAK2,degrading
487,HMDB0001341,NUAK2,producing
488,HMDB0001377,COX7A1,degrading
489,HMDB0001429,ATP5F1E,degrading
490,HMDB0001341,ATP5F1E,degrading
491,HMDB0000538,ATP5F1E,producing
492,HMDB0002111,ATP5F1E,producing
493,HMDB0000538,ABCB1,degrading
494,HMDB0002111,ABCB1,degrading
495,HMDB0001859,ABCB1,producing
496,HMDB0000416,ABCB1,producing
497,HMDB0000774,ABCB1,producing
498,HMDB0003759,ABCB1,producing
499,HMDB0000363,ABCB1,producing
500,HMDB0000374,ABCB1,producing
501,HMDB0001449,ABCB1,producing
502,HMDB0000253,ABCB1,producing
503,HMDB0000016,ABCB1,producing
504,HMDB0000015,ABCB1,producing
505,HMDB0000879,ABCB1,producing
506,HMDB0000405,ABCB1,producing
507,HMDB0000010,ABCB1,producing
508,HMDB0000338,ABCB1,producing
509,HMDB0000554,ABCB1,producing
510,HMDB0000899,ABCB1,producing
511,HMDB0000490,ABCB1,producing
512,HMDB0000352,ABCB1,producing
513,HMDB0000053,ABCB1,producing
514,HMDB0001429,ABCB1,producing
515,HMDB0001341,ABCB1,producing
516,HMDB0059597,ABCB1,producing
517,HMDB0012988,TPSAB1,degrading
518,HMDB0000687,TPSAB1,producing
519,HMDB0001429,DHX34,producing
520,HMDB0001341,DHX34,producing
521,HMDB0002111,DHX34,degrading
522,HMDB0000538,DHX34,degrading
523,HMDB0000588,SLC9A8,producing
524,HMDB0000586,SLC9A8,producing
525,HMDB0059597,SLC9A8,producing
526,HMDB0000980,ALPG,degrading
527,HMDB0001473,ALPG,degrading
528,HMDB0002111,ALPG,degrading
529,HMDB0244465,ALPG,producing
530,HMDB0002275,ALPG,producing
531,HMDB0001232,ALPG,producing
532,HMDB0060272,ALPG,degrading
533,HMDB0001882,ALPG,producing
534,HMDB0001429,ALPG,producing
535,HMDB0001186,PAOX,degrading
536,HMDB0002172,PAOX,degrading
537,HMDB0002111,PAOX,degrading
538,HMDB0001377,PAOX,degrading
539,HMDB0059649,PAOX,producing
540,HMDB0001257,PAOX,producing
541,HMDB0001276,PAOX,producing
542,HMDB0012880,PAOX,producing
543,HMDB0001414,PAOX,producing
544,HMDB0003125,PAOX,producing
545,HMDB0000190,SLC22A12,producing
546,HMDB0000289,SLC22A12,producing
547,HMDB0002111,PTP4A1,degrading
548,HMDB0001429,PTP4A1,producing
549,HMDB0001014,AMDHD1,degrading
550,HMDB0002111,AMDHD1,degrading
551,HMDB0000854,AMDHD1,producing
552,HMDB0059597,AMDHD1,producing
553,HMDB0000538,BMPR1B,degrading
554,HMDB0001341,BMPR1B,producing
555,HMDB0004249,INPP5A,degrading
556,HMDB0001498,INPP5A,degrading
557,HMDB0001059,INPP5A,degrading
558,HMDB0002111,INPP5A,degrading
559,HMDB0000968,INPP5A,producing
560,HMDB0001143,INPP5A,producing
561,HMDB0001429,INPP5A,producing
562,HMDB0000089,FN3K,degrading
563,HMDB0001273,FN3K,degrading
564,HMDB0000660,FN3K,degrading
565,HMDB0000538,FN3K,degrading
566,HMDB0001341,FN3K,producing
567,HMDB0000095,FN3K,producing
568,HMDB0001201,FN3K,producing
569,HMDB0059597,FN3K,producing
570,HMDB0006330,FN3K,degrading
571,HMDB0000247,FN3K,degrading
572,HMDB0001049,GSS,degrading
573,HMDB0000123,GSS,degrading
574,HMDB0000538,GSS,degrading
575,HMDB0000125,GSS,producing
576,HMDB0001429,GSS,producing
577,HMDB0001341,GSS,producing
578,HMDB0059597,GSS,producing
579,HMDB0000094,SLC13A2,producing
580,HMDB0000254,SLC13A2,producing
581,HMDB0000588,SLC13A2,producing
582,HMDB0000538,HECW2,degrading
583,HMDB0000250,HECW2,producing
584,HMDB0000045,HECW2,producing
585,HMDB0060391,GSTP1,degrading
586,HMDB0060344,GSTP1,degrading
587,HMDB0060452,GSTP1,degrading
588,HMDB0060333,GSTP1,degrading
589,HMDB0029593,GSTP1,degrading
590,HMDB0060301,GSTP1,degrading
591,HMDB0006215,GSTP1,degrading
592,HMDB0040986,GSTP1,degrading
593,HMDB0060357,GSTP1,degrading
594,HMDB0060332,GSTP1,degrading
595,HMDB0060331,GSTP1,degrading
596,HMDB0060446,GSTP1,degrading
597,HMDB0060448,GSTP1,degrading
598,HMDB0006558,GSTP1,degrading
599,HMDB0060438,GSTP1,degrading
600,HMDB0030853,GSTP1,degrading
601,HMDB0060507,GSTP1,producing
602,HMDB0060506,GSTP1,producing
603,HMDB0060329,GSTP1,producing
604,HMDB0060330,GSTP1,producing
605,HMDB0060326,GSTP1,producing
606,HMDB0060327,GSTP1,producing
607,HMDB0060358,GSTP1,producing
608,HMDB0060381,GSTP1,producing
609,HMDB0060505,GSTP1,producing
610,HMDB0060343,GSTP1,producing
611,HMDB0060342,GSTP1,producing
612,HMDB0029225,GSTP1,producing
613,HMDB0060504,GSTP1,producing
614,HMDB0060431,GSTP1,producing
615,HMDB0030622,GSTP1,degrading
616,HMDB0060387,GSTP1,producing
617,HMDB0060433,GSTP1,degrading
618,HMDB0002500,GSTP1,producing
619,HMDB0060479,GSTP1,producing
620,HMDB0060334,GSTP1,degrading
621,HMDB0002306,GSTP1,producing
622,HMDB0060299,GSTP1,producing
623,HMDB0060302,GSTP1,producing
624,HMDB0060300,GSTP1,producing
625,HMDB0060091,GSTP1,producing
626,HMDB0000125,GSTP1,producing
627,HMDB0059597,GSTP1,producing
628,HMDB0002656,GSTP1,degrading
629,HMDB0002752,GSTP1,degrading
630,HMDB0002710,GSTP1,degrading
631,HMDB0001430,GSTP1,producing
632,HMDB0001229,GSTP1,producing
633,HMDB0004058,GSTP1,producing
634,HMDB0060423,GSTP1,producing
635,HMDB0002111,GSTP1,producing
636,HMDB0000538,ATP6V1G3,degrading
637,HMDB0002111,ATP6V1G3,degrading
638,HMDB0059597,ATP6V1G3,producing
639,HMDB0001429,ATP6V1G3,producing
640,HMDB0001341,ATP6V1G3,producing
641,HMDB0003235,SLC22A10,producing
642,HMDB0001483,SLC22A10,producing
643,HMDB0002685,SLC22A10,producing
644,HMDB0002664,SLC22A10,producing
645,HMDB0003034,SLC22A10,producing
646,HMDB0005102,SLC22A10,producing
647,HMDB0060095,SLC22A10,producing
648,HMDB0060104,SLC22A10,producing
649,HMDB0004236,SLC22A10,producing
650,HMDB0002982,SLC22A10,producing
651,HMDB0002752,SLC22A10,producing
652,HMDB0002656,SLC22A10,producing
653,HMDB0005998,SLC22A10,producing
654,HMDB0003252,SLC22A10,producing
655,HMDB0001335,SLC22A10,producing
656,HMDB0001381,SLC22A10,producing
657,HMDB0001403,SLC22A10,producing
658,HMDB0001198,SLC22A10,producing
659,HMDB0001085,SLC22A10,producing
660,HMDB0006465,SLC22A10,producing
661,HMDB0002200,SLC22A10,producing
662,HMDB0001425,SLC22A10,producing
663,HMDB0001032,SLC22A10,producing
664,HMDB0001442,SLC22A10,producing
665,HMDB0060169,SLC22A10,producing
666,HMDB0003325,SLC22A10,producing
667,HMDB0001337,SLC22A10,producing
668,HMDB0000538,MAPKAPK5,degrading
669,HMDB0001341,MAPKAPK5,producing
670,HMDB0000538,DDR2,degrading
671,HMDB0001341,DDR2,producing
672,HMDB0000538,PRPF19,degrading
673,HMDB0000250,PRPF19,producing
674,HMDB0000045,PRPF19,producing
675,HMDB0000095,CMPK2,degrading
676,HMDB0000538,CMPK2,degrading
677,HMDB0001546,CMPK2,producing
678,HMDB0001341,CMPK2,producing
679,HMDB0001245,CMPK2,producing
680,HMDB0001202,CMPK2,degrading
681,HMDB0000288,CMPK2,degrading
682,HMDB0000295,CMPK2,degrading
683,HMDB0001134,SLC35B2,producing
684,HMDB0000148,LGSN,degrading
685,HMDB0000538,LGSN,degrading
686,HMDB0000051,LGSN,degrading
687,HMDB0000641,LGSN,producing
688,HMDB0001429,LGSN,producing
689,HMDB0001341,LGSN,producing
690,HMDB0059597,LGSN,producing
691,HMDB0001423,GLYATL3,degrading
692,HMDB0002200,GLYATL3,producing
693,HMDB0001206,GLYATL3,producing
694,HMDB0000304,ST8SIA1,degrading
695,HMDB0004936,ST8SIA1,degrading
696,HMDB0004852,ST8SIA1,degrading
697,HMDB0001176,ST8SIA1,degrading
698,HMDB0000295,ST8SIA1,producing
699,HMDB0006219,ST8SIA1,producing
700,HMDB0004921,ST8SIA1,producing
701,HMDB0000095,ST8SIA1,producing
702,HMDB0059597,ST8SIA1,producing
703,HMDB0000538,BCR,degrading
704,HMDB0001341,BCR,producing
705,HMDB0003335,NME6,degrading
706,HMDB0001508,NME6,degrading
707,HMDB0001245,NME6,degrading
708,HMDB0001000,NME6,degrading
709,HMDB0000960,NME6,degrading
710,HMDB0001274,NME6,degrading
711,HMDB0001546,NME6,degrading
712,HMDB0000295,NME6,degrading
713,HMDB0001201,NME6,degrading
714,HMDB0003536,NME6,degrading
715,HMDB0000538,NME6,degrading
716,HMDB0000189,NME6,producing
717,HMDB0001532,NME6,producing
718,HMDB0000998,NME6,producing
719,HMDB0001191,NME6,producing
720,HMDB0001440,NME6,producing
721,HMDB0001342,NME6,producing
722,HMDB0000082,NME6,producing
