symbol	hmdb_id
ABCA1	HMDB0256669
EZH2	HMDB0252956
CYP2B6	HMDB0251052
CYP1A2	HMDB0259443
DHODH	HMDB0258832
RPS6KB1	HMDB0258832
AKT1	HMDB0258832
HMGCR	HMDB0258832
LCK	HMDB0258832
DPYD	HMDB0258832
SLC25A4	HMDB0010283
STAT3	HMDB0248129
MTOR	HMDB0244472
MCL1	HMDB0244472
RAF1	HMDB0250818
SIK1	HMDB0250818
BRAF	HMDB0250818
EIF2AK3	HMDB0250818
LIMK1	HMDB0250818
NEK11	HMDB0250818
PTK2B	HMDB0029486
ABL1	HMDB0029486
ENPP2	HMDB0246585
MAP4K5	HMDB0252437
CAMKK1	HMDB0252437
STK10	HMDB0252437
MAP2K5	HMDB0252437
MAPK13	HMDB0252437
MAPK12	HMDB0252437
AURKA	HMDB0252437
PTK6	HMDB0252437
SRMS	HMDB0252437
CSK	HMDB0252437
RIPK2	HMDB0252437
MAPK14	HMDB0252437
NEK9	HMDB0252437
MKNK2	HMDB0252437
MAP3K10	HMDB0252437
CDK7	HMDB0252437
BLK	HMDB0252437
RIPK1	HMDB0252437
CDK15	HMDB0252437
CDK17	HMDB0252437
IRAK3	HMDB0252437
MAP2K2	HMDB0252437
TXK	HMDB0252437
CDK14	HMDB0252437
SIK1	HMDB0252437
CDK16	HMDB0252437
FER	HMDB0252437
HIPK4	HMDB0252437
MELK	HMDB0252437
MAP2K1	HMDB0252437
AURKC	HMDB0252437
HIPK3	HMDB0252437
SIK2	HMDB0252437
BTK	HMDB0252437
BMX	HMDB0252437
MAP3K11	HMDB0252437
MAP4K4	HMDB0252437
CLK4	HMDB0252437
STK33	HMDB0252437
YES1	HMDB0252437
TBK1	HMDB0252437
FES	HMDB0252437
PTK2B	HMDB0252437
MAPK11	HMDB0252437
LIMK1	HMDB0252437
MAPK15	HMDB0252437
LCK	HMDB0252437
TESK1	HMDB0252437
PTK2	HMDB0252437
CDC42BPG	HMDB0252437
PRKAA1	HMDB0252437
FYN	HMDB0252437
SRC	HMDB0252437
CDC42BPA	HMDB0252437
DSTYK	HMDB0252437
MAP3K7	HMDB0252437
SLK	HMDB0252437
TTK	HMDB0252437
MKNK1	HMDB0252437
ABL1	HMDB0252437
FGR	HMDB0252437
MAP3K20	HMDB0252437
SYK	HMDB0252437
HCK	HMDB0252437
TEC	HMDB0252437
CDK8	HMDB0252437
TNK2	HMDB0252437
CHEK2	HMDB0252437
MAP4K1	HMDB0252437
CDK11A	HMDB0252437
NLK	HMDB0252437
HIPK2	HMDB0252437
MYO3B	HMDB0252437
