	HMDB	GENE	direction	Source
0	HMDB0000902	HSD3B1	degrading	Experimental
11	HMDB0000902	HSD3B1	producing	Experimental
21	HMDB0000902	HSD3B2	degrading	Experimental
32	HMDB0000902	HSD3B2	producing	Experimental
42	HMDB0000902	HSD3B7	degrading	Experimental
57	HMDB0000902	HIBADH	degrading	Experimental
63	HMDB0001429	NT5C1A	degrading	Experimental
65	HMDB0000050	NT5C1A	producing	Experimental
66	HMDB0001429	NT5C1A	producing	Experimental
67	HMDB0000095	NT5C1A	degrading	Experimental
68	HMDB0000089	NT5C1A	producing	Experimental
70	HMDB0000296	NT5C1A	producing	Experimental
72	HMDB0000195	NT5C1A	producing	Experimental
73	HMDB0001397	NT5C1A	degrading	Experimental
74	HMDB0000133	NT5C1A	producing	Experimental
86	HMDB0000299	NT5C1A	producing	Experimental
90	HMDB0001429	NT5C1B	degrading	Experimental
92	HMDB0000050	NT5C1B	producing	Experimental
93	HMDB0001429	NT5C1B	producing	Experimental
94	HMDB0000095	NT5C1B	degrading	Experimental
95	HMDB0000089	NT5C1B	producing	Experimental
97	HMDB0000296	NT5C1B	producing	Experimental
99	HMDB0000195	NT5C1B	producing	Experimental
100	HMDB0001397	NT5C1B	degrading	Experimental
101	HMDB0000133	NT5C1B	producing	Experimental
113	HMDB0000299	NT5C1B	producing	Experimental
117	HMDB0001429	NT5C3L	degrading	Experimental
119	HMDB0001429	NT5C3	degrading	Experimental
121	HMDB0000050	NT5C3	producing	Experimental
122	HMDB0001429	NT5C3	producing	Experimental
123	HMDB0000095	NT5C3	degrading	Experimental
124	HMDB0000089	NT5C3	producing	Experimental
126	HMDB0000296	NT5C3	producing	Experimental
128	HMDB0000195	NT5C3	producing	Experimental
129	HMDB0001397	NT5C3	degrading	Experimental
130	HMDB0000133	NT5C3	producing	Experimental
142	HMDB0000299	NT5C3	producing	Experimental
146	HMDB0001429	NT5C2	degrading	Experimental
148	HMDB0000050	NT5C2	producing	Experimental
149	HMDB0001429	NT5C2	producing	Experimental
150	HMDB0000095	NT5C2	degrading	Experimental
151	HMDB0000089	NT5C2	producing	Experimental
153	HMDB0000296	NT5C2	producing	Experimental
155	HMDB0000195	NT5C2	producing	Experimental
156	HMDB0001397	NT5C2	degrading	Experimental
157	HMDB0000133	NT5C2	producing	Experimental
169	HMDB0000299	NT5C2	producing	Experimental
173	HMDB0001429	NT5E	degrading	Experimental
175	HMDB0000050	NT5E	producing	Experimental
176	HMDB0001429	NT5E	producing	Experimental
177	HMDB0000095	NT5E	degrading	Experimental
178	HMDB0000089	NT5E	producing	Experimental
180	HMDB0000296	NT5E	producing	Experimental
182	HMDB0000195	NT5E	producing	Experimental
183	HMDB0001397	NT5E	degrading	Experimental
184	HMDB0000133	NT5E	producing	Experimental
196	HMDB0000299	NT5E	producing	Experimental
199	HMDB0001316	PGD	degrading	Experimental
201	HMDB0000618	PGD	producing	Experimental
206	HMDB0001316	PGLS	degrading	Experimental
208	HMDB0001316	PGLS	producing	Experimental
210	HMDB0000250	NUDT1	producing	Experimental
219	HMDB0000250	AACS	producing	Experimental
222	HMDB0000208	AADAT	degrading	Experimental
223	HMDB0000148	AADAT	producing	Experimental
230	HMDB0000208	AASS	producing	Experimental
232	HMDB0000902	AASS	degrading	Experimental
233	HMDB0000148	AASS	degrading	Experimental
239	HMDB0000148	AASS	producing	Experimental
240	HMDB0000191	GOT1L1	degrading	Experimental
241	HMDB0000208	GOT1L1	degrading	Experimental
243	HMDB0000148	GOT1L1	producing	Experimental
244	HMDB0000191	GOT1	degrading	Experimental
245	HMDB0000208	GOT1	degrading	Experimental
247	HMDB0000148	GOT1	producing	Experimental
248	HMDB0000159	GOT1	degrading	Experimental
250	HMDB0000158	GOT1	degrading	Experimental
252	HMDB0000574	GOT1	degrading	Experimental
258	HMDB0000191	GOT2	degrading	Experimental
259	HMDB0000208	GOT2	degrading	Experimental
261	HMDB0000148	GOT2	producing	Experimental
263	HMDB0000159	GOT2	degrading	Experimental
265	HMDB0000158	GOT2	degrading	Experimental
267	HMDB0000574	GOT2	degrading	Experimental
273	HMDB0000089	APOBEC3A	degrading	Experimental
275	HMDB0000296	APOBEC3A	producing	Experimental
277	HMDB0000089	APOBEC3B	degrading	Experimental
279	HMDB0000296	APOBEC3B	producing	Experimental
281	HMDB0000089	APOBEC3C	degrading	Experimental
283	HMDB0000296	APOBEC3C	producing	Experimental
285	HMDB0000089	APOBEC3D	degrading	Experimental
287	HMDB0000296	APOBEC3D	producing	Experimental
289	HMDB0000089	APOBEC3F	degrading	Experimental
291	HMDB0000296	APOBEC3F	producing	Experimental
295	HMDB0000012	APOBEC3G	producing	Experimental
297	HMDB0000089	APOBEC3H	degrading	Experimental
299	HMDB0000296	APOBEC3H	producing	Experimental
302	HMDB0000131	ABHD12	degrading	Experimental
305	HMDB0000131	ABHD6	degrading	Experimental
314	HMDB0001414	ABP1	degrading	Experimental
322	HMDB0001429	ACACA	producing	Experimental
325	HMDB0001429	ACACA	degrading	Experimental
331	HMDB0001429	ACACB	producing	Experimental
334	HMDB0001429	ACACB	degrading	Experimental
374	HMDB0000902	ACADS	degrading	Experimental
392	HMDB0000250	ACSBG1	producing	Experimental
393	HMDB0000220	ACSBG1	degrading	Experimental
399	HMDB0000250	ACSBG2	producing	Experimental
400	HMDB0000220	ACSBG2	degrading	Experimental
415	HMDB0000159	ACE2	producing	Experimental
429	HMDB0001429	ACLY	degrading	Experimental
433	HMDB0000094	ACLY	producing	Experimental
436	HMDB0000094	ACLY	degrading	Experimental
439	HMDB0001429	ACLY	producing	Experimental
451	HMDB0000220	THEM5	producing	Experimental
452	HMDB0000094	ACO1	degrading	Experimental
462	HMDB0000094	ACO2	degrading	Experimental
470	HMDB0000220	ACOT1	producing	Experimental
476	HMDB0000207	ACOT1	producing	Experimental
493	HMDB0000220	ACOT2	producing	Experimental
499	HMDB0000207	ACOT2	producing	Experimental
516	HMDB0000220	ACOT4	producing	Experimental
522	HMDB0000207	ACOT4	producing	Experimental
586	HMDB0001429	ACPL2	degrading	Experimental
590	HMDB0000250	ACSM2A	producing	Experimental
597	HMDB0000250	ACSM2B	producing	Experimental
605	HMDB0000250	ACSS1	producing	Experimental
617	HMDB0000250	ACSS2	producing	Experimental
628	HMDB0000250	ACSL1	producing	Experimental
629	HMDB0000220	ACSL1	degrading	Experimental
635	HMDB0000250	ACSL3	producing	Experimental
636	HMDB0000220	ACSL3	degrading	Experimental
642	HMDB0000250	ACSL4	producing	Experimental
643	HMDB0000220	ACSL4	degrading	Experimental
649	HMDB0000250	ACSL5	producing	Experimental
650	HMDB0000220	ACSL5	degrading	Experimental
656	HMDB0000250	ACSL6	producing	Experimental
657	HMDB0000220	ACSL6	degrading	Experimental
663	HMDB0000250	ACSM1	producing	Experimental
671	HMDB0000250	ACSM3	producing	Experimental
678	HMDB0000250	ACSM4	producing	Experimental
685	HMDB0000250	ACSM5	producing	Experimental
692	HMDB0000250	ACSM6	producing	Experimental
697	HMDB0000250	ACSS3	producing	Experimental
705	HMDB0000214	ACY1	producing	Experimental
707	HMDB0000191	ASPA	degrading	Experimental
710	HMDB0000191	ASPA	producing	Experimental
715	HMDB0000191	ACY3	producing	Experimental
718	HMDB0001429	ACYP1	degrading	Experimental
720	HMDB0001429	ACYP1	producing	Experimental
723	HMDB0000807	ACYP1	producing	Experimental
725	HMDB0001429	ACYP2	degrading	Experimental
727	HMDB0001429	ACYP2	producing	Experimental
730	HMDB0000807	ACYP2	producing	Experimental
733	HMDB0000050	ADA	degrading	Experimental
735	HMDB0000195	ADA	producing	Experimental
741	HMDB0000250	ADCY1	producing	Experimental
746	HMDB0000250	ADCY2	producing	Experimental
751	HMDB0000250	ADCY3	producing	Experimental
756	HMDB0000250	ADCY4	producing	Experimental
761	HMDB0000250	ADCY5	producing	Experimental
766	HMDB0000250	ADCY6	producing	Experimental
771	HMDB0000250	ADCY7	producing	Experimental
776	HMDB0000250	ADCY8	producing	Experimental
781	HMDB0000250	ADCY9	producing	Experimental
786	HMDB0000250	ADCY10	producing	Experimental
789	HMDB0000517	ADC	degrading	Experimental
792	HMDB0000902	ADH1A	degrading	Experimental
803	HMDB0000902	ADH1A	producing	Experimental
806	HMDB0000902	ADH1B	degrading	Experimental
817	HMDB0000902	ADH1B	producing	Experimental
820	HMDB0000902	ADH1C	degrading	Experimental
831	HMDB0000902	ADH1C	producing	Experimental
834	HMDB0000902	ADH4	degrading	Experimental
845	HMDB0000902	ADH4	producing	Experimental
848	HMDB0000902	ADH6	degrading	Experimental
859	HMDB0000902	ADH6	producing	Experimental
862	HMDB0000902	ADH7	degrading	Experimental
873	HMDB0000902	ADH7	producing	Experimental
876	HMDB0000902	ADH5	degrading	Experimental
892	HMDB0000902	ADH5	producing	Experimental
896	HMDB0000050	ADK	degrading	Experimental
902	HMDB0001545	AOX1	degrading	Experimental
918	HMDB0001401	ADPGK	producing	Experimental
926	HMDB0000517	ADPRH	producing	Experimental
929	HMDB0000095	ADPRM	producing	Experimental
933	HMDB0001548	ADPRM	producing	Experimental
934	HMDB0000126	ADPRM	producing	Experimental
950	HMDB0000131	GLA	producing	Experimental
951	HMDB0000211	GLA	producing	Experimental
952	HMDB0000169	GLA	producing	Experimental
953	HMDB0000247	GLA	producing	Experimental
965	HMDB0000161	AGXT2	degrading	Experimental
968	HMDB0000123	AGXT2	producing	Experimental
972	HMDB0000161	AGXT2	producing	Experimental
973	HMDB0000123	AGXT2	degrading	Experimental
974	HMDB0000208	AGXT2	degrading	Experimental
976	HMDB0000148	AGXT2	producing	Experimental
977	HMDB0000089	AICDA	degrading	Experimental
979	HMDB0000296	AICDA	producing	Experimental
986	HMDB0000131	AKR1A1	degrading	Experimental
987	HMDB0001051	AKR1A1	producing	Experimental
989	HMDB0000131	AKR1B10	degrading	Experimental
990	HMDB0000902	AKR1B10	degrading	Experimental
991	HMDB0001051	AKR1B10	producing	Experimental
1000	HMDB0000902	AKR1B10	producing	Experimental
1003	HMDB0002917	AKR1B10	degrading	Experimental
1005	HMDB0001851	AKR1B10	degrading	Experimental
1006	HMDB0000646	AKR1B10	producing	Experimental
1007	HMDB0000247	AKR1B10	degrading	Experimental
1037	HMDB0000902	AKR1C3	degrading	Experimental
1048	HMDB0000902	AKR1C4	degrading	Experimental
1095	HMDB0000902	ALDH1A1	degrading	Experimental
1103	HMDB0000902	ALDH1A2	degrading	Experimental
1117	HMDB0000902	ALDH1A3	degrading	Experimental
1118	HMDB0000056	ALDH1A3	producing	Experimental
1134	HMDB0000902	ALDH1B1	degrading	Experimental
1138	HMDB0000208	ALDH1B1	producing	Experimental
1145	HMDB0000056	ALDH1B1	producing	Experimental
1146	HMDB0001051	ALDH1B1	degrading	Experimental
1147	HMDB0000139	ALDH1B1	producing	Experimental
1185	HMDB0000902	ALDH3A1	degrading	Experimental
1186	HMDB0000056	ALDH3A1	producing	Experimental
1202	HMDB0000902	ALDH3A2	degrading	Experimental
1206	HMDB0000208	ALDH3A2	producing	Experimental
1213	HMDB0000056	ALDH3A2	producing	Experimental
1214	HMDB0001051	ALDH3A2	degrading	Experimental
1215	HMDB0000139	ALDH3A2	producing	Experimental
1239	HMDB0000902	ALDH3B1	degrading	Experimental
1240	HMDB0000056	ALDH3B1	producing	Experimental
1263	HMDB0000902	ALDH3B2	degrading	Experimental
1264	HMDB0000056	ALDH3B2	producing	Experimental
1282	HMDB0000148	ALDH4A1	degrading	Experimental
1284	HMDB0000902	ALDH4A1	degrading	Experimental
1285	HMDB0000148	ALDH4A1	producing	Experimental
1296	HMDB0000902	ALDH4A1	producing	Experimental
1302	HMDB0000902	ALDH7A1	degrading	Experimental
1310	HMDB0000056	ALDH7A1	producing	Experimental
1311	HMDB0001051	ALDH7A1	degrading	Experimental
1312	HMDB0000139	ALDH7A1	producing	Experimental
1321	HMDB0000250	ALDH7A1	producing	Experimental
1339	HMDB0000902	ALDH9A1	degrading	Experimental
1350	HMDB0000056	ALDH9A1	producing	Experimental
1351	HMDB0001051	ALDH9A1	degrading	Experimental
1352	HMDB0000139	ALDH9A1	producing	Experimental
1365	HMDB0000161	GPT	degrading	Experimental
1366	HMDB0000208	GPT	degrading	Experimental
1368	HMDB0000148	GPT	producing	Experimental
1369	HMDB0000161	GPT2	degrading	Experimental
1370	HMDB0000208	GPT2	degrading	Experimental
1372	HMDB0000148	GPT2	producing	Experimental
1373	HMDB0000902	ALDH2	degrading	Experimental
1377	HMDB0000208	ALDH2	producing	Experimental
1384	HMDB0000056	ALDH2	producing	Experimental
1385	HMDB0001051	ALDH2	degrading	Experimental
1386	HMDB0000139	ALDH2	producing	Experimental
1407	HMDB0001321	ALDOA	producing	Experimental
1408	HMDB0001051	ALDOA	producing	Experimental
1413	HMDB0001321	ALDOB	producing	Experimental
1414	HMDB0001051	ALDOB	producing	Experimental
1419	HMDB0001321	ALDOC	producing	Experimental
1420	HMDB0001051	ALDOC	producing	Experimental
1421	HMDB0000131	AKR1B1	degrading	Experimental
1422	HMDB0001051	AKR1B1	degrading	Experimental
1423	HMDB0000902	AKR1B1	degrading	Experimental
1424	HMDB0001051	AKR1B1	producing	Experimental
1433	HMDB0000902	AKR1B1	producing	Experimental
1436	HMDB0002917	AKR1B1	degrading	Experimental
1438	HMDB0001851	AKR1B1	degrading	Experimental
1439	HMDB0000646	AKR1B1	producing	Experimental
1440	HMDB0000247	AKR1B1	degrading	Experimental
1468	HMDB0000208	ALKBH1	degrading	Experimental
1471	HMDB0000254	ALKBH1	producing	Experimental
1472	HMDB0000208	ALKBH2	degrading	Experimental
1475	HMDB0000254	ALKBH2	producing	Experimental
1476	HMDB0001185	ALKBH8	degrading	Experimental
1477	HMDB0000939	ALKBH8	degrading	Experimental
1482	HMDB0000294	ALLC	producing	Experimental
1507	HMDB0000162	LAP3	degrading	Experimental
1509	HMDB0000574	LAP3	producing	Experimental
1510	HMDB0000123	LAP3	producing	Experimental
1511	HMDB0000123	LAP3	degrading	Experimental
1514	HMDB0000574	ANPEP	producing	Experimental
1515	HMDB0000123	ANPEP	producing	Experimental
1516	HMDB0000123	ANPEP	degrading	Experimental
1522	HMDB0001185	PRMT1	degrading	Experimental
1523	HMDB0000939	PRMT1	degrading	Experimental
1524	HMDB0001185	PRMT2	degrading	Experimental
1525	HMDB0000939	PRMT2	degrading	Experimental
1526	HMDB0001185	PRMT5	degrading	Experimental
