HMDB,GENE,direction
HMDB0000205,GOT1,producing
HMDB0000158,GOT1,degrading
HMDB0000707,GOT1,producing
HMDB0000574,GOT1,degrading
HMDB0001368,GOT1,producing
HMDB0060475,GOT1,producing
HMDB0002757,GOT1,degrading
HMDB0004045,GOT1,producing
HMDB0000996,GOT1,degrading
HMDB0001405,GOT1,producing
HMDB0002273,GOT1,degrading
HMDB0060466,GOT1,producing
HMDB0000191,GOT2,degrading
HMDB0000208,GOT2,degrading
HMDB0000223,GOT2,producing
HMDB0000148,GOT2,producing
HMDB0000684,GOT2,degrading
HMDB0000978,GOT2,producing
HMDB0000159,GOT2,degrading
HMDB0000205,GOT2,producing
HMDB0000158,GOT2,degrading
HMDB0000707,GOT2,producing
HMDB0000574,GOT2,degrading
HMDB0001368,GOT2,producing
HMDB0060475,GOT2,producing
HMDB0002757,GOT2,degrading
HMDB0004045,GOT2,producing
HMDB0000996,GOT2,degrading
HMDB0001405,GOT2,producing
HMDB0002273,GOT2,degrading
HMDB0060466,GOT2,producing
HMDB0000089,APOBEC3A,degrading
HMDB0002111,APOBEC3A,degrading
HMDB0000296,APOBEC3A,producing
HMDB0000051,APOBEC3A,producing
HMDB0000089,APOBEC3B,degrading
HMDB0002111,APOBEC3B,degrading
HMDB0000296,APOBEC3B,producing
HMDB0000051,APOBEC3B,producing
HMDB0000089,APOBEC3C,degrading
HMDB0002111,APOBEC3C,degrading
HMDB0000296,APOBEC3C,producing
HMDB0000051,APOBEC3C,producing
HMDB0000089,APOBEC3D,degrading
HMDB0002111,APOBEC3D,degrading
HMDB0000296,APOBEC3D,producing
HMDB0000051,APOBEC3D,producing
HMDB0000089,APOBEC3F,degrading
HMDB0002111,APOBEC3F,degrading
HMDB0000296,APOBEC3F,producing
HMDB0000051,APOBEC3F,producing
HMDB0000014,APOBEC3G,degrading
HMDB0002111,APOBEC3G,degrading
HMDB0000012,APOBEC3G,producing
HMDB0000051,APOBEC3G,producing
HMDB0000089,APOBEC3H,degrading
HMDB0002111,APOBEC3H,degrading
HMDB0000296,APOBEC3H,producing
HMDB0000051,APOBEC3H,producing
HMDB0002111,ABHD12,degrading
HMDB0000131,ABHD12,degrading
HMDB0001423,ABHD5,degrading
HMDB0002111,ABHD6,degrading
HMDB0000131,ABHD6,degrading
HMDB0060491,ABHD10,degrading
HMDB0002111,ABHD10,degrading
HMDB0015159,ABHD10,producing
HMDB0000127,ABHD10,producing
HMDB0000870,ABP1,degrading
HMDB0002111,ABP1,degrading
HMDB0001377,ABP1,degrading
HMDB0003905,ABP1,producing
HMDB0000051,ABP1,producing
HMDB0003125,ABP1,producing
HMDB0001414,ABP1,degrading
HMDB0001080,ABP1,producing
HMDB0000303,ABP1,degrading
HMDB0001190,ABP1,producing
HMDB0000538,ACACA,degrading
HMDB0001206,ACACA,degrading
HMDB0000595,ACACA,degrading
HMDB0001341,ACACA,producing
HMDB0001429,ACACA,producing
HMDB0001175,ACACA,producing
HMDB0001341,ACACA,degrading
HMDB0001429,ACACA,degrading
HMDB0001175,ACACA,degrading
HMDB0000538,ACACB,degrading
HMDB0001206,ACACB,degrading
HMDB0000595,ACACB,degrading
HMDB0001341,ACACB,producing
HMDB0001429,ACACB,producing
HMDB0001175,ACACB,producing
HMDB0001341,ACACB,degrading
HMDB0001429,ACACB,degrading
HMDB0001175,ACACB,degrading
HMDB0001243,ACAD8,degrading
HMDB0001011,ACAD8,degrading
HMDB0001338,ACADL,degrading
HMDB0001248,ACADL,degrading
HMDB0003945,ACADL,producing
HMDB0001197,ACADL,producing
HMDB0001070,ACADL,degrading
HMDB0003949,ACADL,producing
HMDB0003571,ACADL,degrading
HMDB0003712,ACADL,producing
HMDB0001521,ACADL,degrading
HMDB0003946,ACADL,producing
HMDB0002845,ACADL,degrading
HMDB0003944,ACADL,producing
HMDB0006404,ACADL,degrading
HMDB0003948,ACADL,producing
HMDB0001275,ACADM,degrading
HMDB0001248,ACADM,degrading
HMDB0001197,ACADM,producing
HMDB0002307,ACADM,producing
HMDB0001088,ACADM,degrading
HMDB0002009,ACADM,producing
HMDB0001338,ACADM,degrading
HMDB0003945,ACADM,producing
HMDB0001243,ACADM,degrading
HMDB0001011,ACADM,degrading
HMDB0060317,ACADM,degrading
HMDB0002054,ACADM,degrading
HMDB0001070,ACADM,degrading
HMDB0003949,ACADM,producing
HMDB0003571,ACADM,degrading
HMDB0003712,ACADM,producing
HMDB0001521,ACADM,degrading
HMDB0003946,ACADM,producing
HMDB0001113,ACADM,degrading
HMDB0001493,ACADM,producing
HMDB0002307,ACADM,degrading
HMDB0002845,ACADM,degrading
HMDB0003944,ACADM,producing
HMDB0006404,ACADM,degrading
HMDB0003948,ACADM,producing
HMDB0001088,ACADS,degrading
HMDB0002009,ACADS,degrading
HMDB0000902,ACADS,degrading
HMDB0002009,ACADS,producing
HMDB0001487,ACADS,producing
HMDB0059597,ACADS,producing
HMDB0001248,ACADS,degrading
HMDB0001197,ACADS,producing
HMDB0001243,ACADS,degrading
HMDB0001011,ACADS,degrading
HMDB0001041,ACADS,degrading
HMDB0002054,ACADS,degrading
HMDB0002845,ACADS,degrading
HMDB0003944,ACADS,producing
HMDB0001338,ACADVL,degrading
HMDB0001248,ACADVL,degrading
HMDB0003945,ACADVL,producing
HMDB0001197,ACADVL,producing
HMDB0000538,ACSBG1,degrading
HMDB0001423,ACSBG1,degrading
HMDB0000045,ACSBG1,degrading
HMDB0000250,ACSBG1,producing
HMDB0000220,ACSBG1,degrading
HMDB0000045,ACSBG1,producing
HMDB0001338,ACSBG1,producing
HMDB0000538,ACSBG2,degrading
HMDB0001423,ACSBG2,degrading
HMDB0000045,ACSBG2,degrading
HMDB0000250,ACSBG2,producing
HMDB0000220,ACSBG2,degrading
HMDB0000045,ACSBG2,producing
HMDB0001338,ACSBG2,producing
HMDB0001041,ACADSB,degrading
HMDB0059597,ACADSB,degrading
HMDB0001088,ACADSB,degrading
HMDB0001248,ACADSB,degrading
HMDB0001197,ACADSB,producing
HMDB0002009,ACADSB,producing
HMDB0001243,ACADSB,degrading
HMDB0001011,ACADSB,degrading
HMDB0002054,ACADSB,degrading
HMDB0002845,ACADSB,degrading
HMDB0003944,ACADSB,producing
HMDB0001035,ACE2,degrading
HMDB0002111,ACE2,degrading
HMDB0000159,ACE2,producing
HMDB0002111,ACER1,degrading
HMDB0000252,ACER1,degrading
HMDB0000269,ACER1,degrading
HMDB0004610,ACER1,degrading
HMDB0002111,ACER2,degrading
HMDB0000252,ACER2,degrading
HMDB0000269,ACER2,degrading
HMDB0004610,ACER2,degrading
HMDB0002111,ACER3,degrading
HMDB0000269,ACER3,degrading
HMDB0000895,ACHE,degrading
HMDB0002111,ACHE,degrading
HMDB0000097,ACHE,producing
HMDB0000042,ACHE,producing
HMDB0001341,ACLY,degrading
HMDB0001429,ACLY,degrading
HMDB0001206,ACLY,degrading
HMDB0000223,ACLY,degrading
HMDB0000538,ACLY,producing
HMDB0000094,ACLY,producing
HMDB0001423,ACLY,producing
HMDB0000538,ACLY,degrading
HMDB0000094,ACLY,degrading
HMDB0001423,ACLY,degrading
HMDB0001341,ACLY,producing
HMDB0001429,ACLY,producing
HMDB0001206,ACLY,producing
HMDB0000223,ACLY,producing
HMDB0001330,ACMSD,degrading
HMDB0001280,ACMSD,producing
HMDB0001967,ACMSD,producing
HMDB0001206,ACOT12,degrading
HMDB0002111,ACOT12,degrading
HMDB0001423,ACOT12,producing
HMDB0000042,ACOT12,producing
HMDB0001338,THEM5,degrading
HMDB0002111,THEM5,degrading
HMDB0001423,THEM5,producing
HMDB0000220,THEM5,producing
HMDB0000094,ACO1,degrading
HMDB0000193,ACO1,producing
HMDB0000072,ACO1,producing
HMDB0002111,ACO1,producing
HMDB0000193,ACO1,degrading
HMDB0003518,ACO1,degrading
HMDB0060320,ACO1,producing
HMDB0001114,SCD,degrading
HMDB0001377,SCD,degrading
HMDB0059597,SCD,degrading
HMDB0001322,SCD,degrading
HMDB0002111,SCD,producing
HMDB0000094,ACO2,degrading
HMDB0000193,ACO2,producing
HMDB0000072,ACO2,producing
HMDB0002111,ACO2,producing
HMDB0000193,ACO2,degrading
HMDB0003518,ACO2,degrading
HMDB0060320,ACO2,producing
HMDB0001338,ACOT1,degrading
HMDB0002111,ACOT1,degrading
HMDB0001423,ACOT1,producing
HMDB0000220,ACOT1,producing
HMDB0001114,ACOT1,degrading
HMDB0000827,ACOT1,producing
HMDB0004258,ACOT1,degrading
HMDB0002212,ACOT1,producing
HMDB0001322,ACOT1,degrading
HMDB0000207,ACOT1,producing
HMDB0001064,ACOT1,degrading
HMDB0000673,ACOT1,producing
HMDB0006290,ACOT1,degrading
HMDB0001388,ACOT1,producing
HMDB0060311,ACOT1,degrading
HMDB0001999,ACOT1,producing
HMDB0060198,ACOT1,degrading
HMDB0002183,ACOT1,producing
HMDB0006368,ACOT1,degrading
HMDB0003073,ACOT1,producing
HMDB0060185,ACOT1,degrading
HMDB0002925,ACOT1,producing
HMDB0006523,ACOT1,degrading
HMDB0001043,ACOT1,producing
HMDB0001275,ACOT1,degrading
HMDB0001338,ACOT2,degrading
HMDB0002111,ACOT2,degrading
HMDB0001423,ACOT2,producing
HMDB0000220,ACOT2,producing
HMDB0001114,ACOT2,degrading
HMDB0000827,ACOT2,producing
HMDB0004258,ACOT2,degrading
HMDB0002212,ACOT2,producing
HMDB0001322,ACOT2,degrading
HMDB0000207,ACOT2,producing
HMDB0001064,ACOT2,degrading
HMDB0000673,ACOT2,producing
HMDB0006290,ACOT2,degrading
HMDB0001388,ACOT2,producing
HMDB0060311,ACOT2,degrading
HMDB0001999,ACOT2,producing
HMDB0060198,ACOT2,degrading
HMDB0002183,ACOT2,producing
HMDB0006368,ACOT2,degrading
HMDB0003073,ACOT2,producing
HMDB0060185,ACOT2,degrading
HMDB0002925,ACOT2,producing
HMDB0006523,ACOT2,degrading
HMDB0001043,ACOT2,producing
HMDB0001275,ACOT2,degrading
HMDB0001338,ACOT4,degrading
HMDB0002111,ACOT4,degrading
HMDB0001423,ACOT4,producing
HMDB0000220,ACOT4,producing
HMDB0001114,ACOT4,degrading
HMDB0000827,ACOT4,producing
HMDB0004258,ACOT4,degrading
HMDB0002212,ACOT4,producing
HMDB0001322,ACOT4,degrading
HMDB0000207,ACOT4,producing
HMDB0001064,ACOT4,degrading
HMDB0000673,ACOT4,producing
HMDB0006290,ACOT4,degrading
HMDB0001388,ACOT4,producing
HMDB0060311,ACOT4,degrading
HMDB0001999,ACOT4,producing
HMDB0060198,ACOT4,degrading
HMDB0002183,ACOT4,producing
HMDB0006368,ACOT4,degrading
HMDB0003073,ACOT4,producing
HMDB0060185,ACOT4,degrading
HMDB0002925,ACOT4,producing
HMDB0006523,ACOT4,degrading
HMDB0001043,ACOT4,producing
HMDB0001275,ACOT4,degrading
HMDB0001374,ACOT8,degrading
HMDB0002111,ACOT8,degrading
HMDB0000619,ACOT8,producing
HMDB0001423,ACOT8,producing
HMDB0000518,ACOT8,degrading
HMDB0001423,ACOT8,degrading
HMDB0006292,ACOT8,producing
HMDB0002111,ACOT8,producing
HMDB0001377,ACOX1,degrading
HMDB0003125,ACOX1,degrading
HMDB0001088,ACOX1,degrading
HMDB0001248,ACOX1,degrading
HMDB0001197,ACOX1,producing
HMDB0002009,ACOX1,producing
HMDB0001338,ACOX1,degrading
HMDB0003945,ACOX1,producing
HMDB0001070,ACOX1,degrading
HMDB0003949,ACOX1,producing
HMDB0003571,ACOX1,degrading
HMDB0003712,ACOX1,producing
HMDB0001521,ACOX1,degrading
HMDB0003946,ACOX1,producing
HMDB0002845,ACOX1,degrading
HMDB0003944,ACOX1,producing
HMDB0006404,ACOX1,degrading
HMDB0003948,ACOX1,producing
HMDB0011115,ACOX1,degrading
HMDB0011122,ACOX1,producing
HMDB0011114,ACOX1,degrading
HMDB0011121,ACOX1,producing
HMDB0011113,ACOX1,degrading
HMDB0011120,ACOX1,producing
HMDB0006243,ACOX1,degrading
HMDB0006260,ACOX1,producing
HMDB0060225,ACOX1,degrading
HMDB0060308,ACOX1,producing
HMDB0002111,ACOX2,degrading
HMDB0060307,ACOX2,degrading
HMDB0006889,ACOX2,degrading
HMDB0060306,ACOX2,degrading
HMDB0006895,ACOX2,degrading
HMDB0001377,ACOX3,degrading
HMDB0003125,ACOX3,degrading
HMDB0001088,ACOX3,degrading
HMDB0001248,ACOX3,degrading
HMDB0001197,ACOX3,producing
HMDB0002009,ACOX3,producing
HMDB0001338,ACOX3,degrading
HMDB0003945,ACOX3,producing
HMDB0001070,ACOX3,degrading
HMDB0003949,ACOX3,producing
HMDB0003571,ACOX3,degrading
HMDB0003712,ACOX3,producing
HMDB0001521,ACOX3,degrading
HMDB0003946,ACOX3,producing
HMDB0002845,ACOX3,degrading
HMDB0003944,ACOX3,producing
HMDB0006404,ACOX3,degrading
HMDB0003948,ACOX3,producing
HMDB0011115,ACOX3,degrading
HMDB0011122,ACOX3,producing
HMDB0011114,ACOX3,degrading
HMDB0011121,ACOX3,producing
HMDB0011113,ACOX3,degrading
HMDB0011120,ACOX3,producing
HMDB0006243,ACOX3,degrading
HMDB0006260,ACOX3,producing
HMDB0060225,ACOX3,degrading
HMDB0060308,ACOX3,producing
HMDB0002111,ACPL2,degrading
HMDB0001429,ACPL2,degrading
HMDB0000538,ACSM2A,degrading
HMDB0001423,ACSM2A,degrading
HMDB0000045,ACSM2A,degrading
HMDB0000250,ACSM2A,producing
HMDB0000039,ACSM2A,degrading
HMDB0000045,ACSM2A,producing
HMDB0001088,ACSM2A,producing
HMDB0000538,ACSM2B,degrading
HMDB0001423,ACSM2B,degrading
HMDB0000045,ACSM2B,degrading
HMDB0000250,ACSM2B,producing
HMDB0000039,ACSM2B,degrading
HMDB0000045,ACSM2B,producing
HMDB0001088,ACSM2B,producing
HMDB0000538,ACSS1,degrading
HMDB0000042,ACSS1,degrading
HMDB0001423,ACSS1,degrading
HMDB0000045,ACSS1,producing
HMDB0000250,ACSS1,producing
HMDB0001206,ACSS1,producing
HMDB0006880,ACSS1,degrading
HMDB0006880,ACSS1,producing
HMDB0006806,ACSS1,degrading
HMDB0001275,ACSS1,producing
HMDB0000237,ACSS1,degrading
HMDB0006806,ACSS1,producing
HMDB0000538,ACSS2,degrading
HMDB0000042,ACSS2,degrading
HMDB0001423,ACSS2,degrading
HMDB0000045,ACSS2,producing
HMDB0000250,ACSS2,producing
HMDB0001206,ACSS2,producing
HMDB0006880,ACSS2,degrading
HMDB0006880,ACSS2,producing
HMDB0006806,ACSS2,degrading
HMDB0001275,ACSS2,producing
HMDB0000237,ACSS2,degrading
HMDB0006806,ACSS2,producing
HMDB0000538,ACSL1,degrading
HMDB0001423,ACSL1,degrading
HMDB0000045,ACSL1,degrading
HMDB0000250,ACSL1,producing
HMDB0000220,ACSL1,degrading
HMDB0000045,ACSL1,producing
HMDB0001338,ACSL1,producing
HMDB0000538,ACSL3,degrading
HMDB0001423,ACSL3,degrading
HMDB0000045,ACSL3,degrading
HMDB0000250,ACSL3,producing
HMDB0000220,ACSL3,degrading
HMDB0000045,ACSL3,producing
HMDB0001338,ACSL3,producing
HMDB0000538,ACSL4,degrading
HMDB0001423,ACSL4,degrading
HMDB0000045,ACSL4,degrading
HMDB0000250,ACSL4,producing
HMDB0000220,ACSL4,degrading
HMDB0000045,ACSL4,producing
HMDB0001338,ACSL4,producing
HMDB0000538,ACSL5,degrading
HMDB0001423,ACSL5,degrading
HMDB0000045,ACSL5,degrading
HMDB0000250,ACSL5,producing
HMDB0000220,ACSL5,degrading
HMDB0000045,ACSL5,producing
HMDB0001338,ACSL5,producing
HMDB0000538,ACSL6,degrading
HMDB0001423,ACSL6,degrading
HMDB0000045,ACSL6,degrading
HMDB0000250,ACSL6,producing
HMDB0000220,ACSL6,degrading
HMDB0000045,ACSL6,producing
HMDB0001338,ACSL6,producing
HMDB0000538,ACSM1,degrading
HMDB0001423,ACSM1,degrading
HMDB0000045,ACSM1,degrading
HMDB0000250,ACSM1,producing
HMDB0001273,ACSM1,degrading
HMDB0014312,ACSM1,degrading
HMDB0000039,ACSM1,degrading
HMDB0000045,ACSM1,producing
HMDB0001088,ACSM1,producing
HMDB0000538,ACSM3,degrading
HMDB0001423,ACSM3,degrading
HMDB0000045,ACSM3,degrading
HMDB0000250,ACSM3,producing
HMDB0000039,ACSM3,degrading
HMDB0000045,ACSM3,producing
HMDB0001088,ACSM3,producing
HMDB0000538,ACSM4,degrading
HMDB0001423,ACSM4,degrading
HMDB0000045,ACSM4,degrading
HMDB0000250,ACSM4,producing
HMDB0000039,ACSM4,degrading
HMDB0000045,ACSM4,producing
HMDB0001088,ACSM4,producing
HMDB0000538,ACSM5,degrading
HMDB0001423,ACSM5,degrading
HMDB0000045,ACSM5,degrading
HMDB0000250,ACSM5,producing
HMDB0000039,ACSM5,degrading
HMDB0000045,ACSM5,producing
HMDB0001088,ACSM5,producing
HMDB0000538,ACSM6,degrading
HMDB0001423,ACSM6,degrading
HMDB0000045,ACSM6,degrading
HMDB0000250,ACSM6,producing
HMDB0000538,ACSS3,degrading
HMDB0000042,ACSS3,degrading
HMDB0001423,ACSS3,degrading
HMDB0000045,ACSS3,producing
HMDB0000250,ACSS3,producing
HMDB0001206,ACSS3,producing
HMDB0006806,ACSS3,degrading
HMDB0001275,ACSS3,producing
HMDB0000237,ACSS3,degrading
HMDB0006806,ACSS3,producing
HMDB0002111,ACY1,degrading
HMDB0003357,ACY1,degrading
HMDB0000042,ACY1,producing
HMDB0000214,ACY1,producing
HMDB0002111,ASPA,degrading
HMDB0000191,ASPA,degrading
HMDB0000812,ASPA,degrading
HMDB0000042,ASPA,producing
HMDB0000191,ASPA,producing
HMDB0060495,ASPA,degrading
HMDB0000142,ASPA,producing
HMDB0000812,ACY3,degrading
HMDB0002111,ACY3,degrading
HMDB0000042,ACY3,producing
HMDB0000191,ACY3,producing
HMDB0060495,ACY3,degrading
HMDB0000142,ACY3,producing
HMDB0002111,ACYP1,degrading
HMDB0001429,ACYP1,degrading
HMDB0001494,ACYP1,degrading
HMDB0000042,ACYP1,producing
HMDB0001429,ACYP1,producing
HMDB0060440,ACYP1,degrading
HMDB0001870,ACYP1,producing
HMDB0001270,ACYP1,degrading
HMDB0000807,ACYP1,producing
HMDB0002111,ACYP2,degrading
HMDB0001429,ACYP2,degrading
HMDB0001494,ACYP2,degrading
HMDB0000042,ACYP2,producing
HMDB0001429,ACYP2,producing
HMDB0060440,ACYP2,degrading
HMDB0001870,ACYP2,producing
HMDB0001270,ACYP2,degrading
HMDB0000807,ACYP2,producing
HMDB0002111,ADAT1,degrading
