HMDB,GENE,direction
HMDB0000902,HSD3B1,degrading
HMDB0001487,HSD3B1,degrading
HMDB0000077,HSD3B1,degrading
HMDB0000053,HSD3B1,producing
HMDB0001487,HSD3B1,producing
HMDB0059597,HSD3B1,producing
HMDB0000253,HSD3B1,degrading
HMDB0001830,HSD3B1,producing
HMDB0000234,HSD3B1,degrading
HMDB0059597,HSD3B1,degrading
HMDB0003818,HSD3B1,producing
HMDB0000902,HSD3B1,producing
HMDB0000063,HSD3B1,degrading
HMDB0006760,HSD3B1,producing
HMDB0000363,HSD3B1,degrading
HMDB0000374,HSD3B1,producing
HMDB0004026,HSD3B1,degrading
HMDB0000016,HSD3B1,producing
HMDB0006774,HSD3B1,degrading
HMDB0000352,HSD3B1,producing
HMDB0000015,HSD3B1,degrading
HMDB0006762,HSD3B1,producing
HMDB0000902,HSD3B2,degrading
HMDB0001487,HSD3B2,degrading
HMDB0000077,HSD3B2,degrading
HMDB0000053,HSD3B2,producing
HMDB0001487,HSD3B2,producing
HMDB0059597,HSD3B2,producing
HMDB0000253,HSD3B2,degrading
HMDB0001830,HSD3B2,producing
HMDB0000234,HSD3B2,degrading
HMDB0059597,HSD3B2,degrading
HMDB0003818,HSD3B2,producing
HMDB0000902,HSD3B2,producing
HMDB0000063,HSD3B2,degrading
HMDB0006760,HSD3B2,producing
HMDB0000363,HSD3B2,degrading
HMDB0000374,HSD3B2,producing
HMDB0004026,HSD3B2,degrading
HMDB0000016,HSD3B2,producing
HMDB0006774,HSD3B2,degrading
HMDB0000352,HSD3B2,producing
HMDB0000015,HSD3B2,degrading
HMDB0006762,HSD3B2,producing
HMDB0000902,HSD3B7,degrading
HMDB0001487,HSD3B7,degrading
HMDB0059592,HSD3B7,degrading
HMDB0001993,HSD3B7,producing
HMDB0001487,HSD3B7,producing
HMDB0001496,HSD3B7,degrading
HMDB0059597,HSD3B7,producing
HMDB0060136,HSD3B7,degrading
HMDB0012457,HSD3B7,producing
HMDB0006280,HSD3B7,degrading
HMDB0060425,HSD3B7,producing
HMDB0006281,HSD3B7,degrading
HMDB0012459,HSD3B7,producing
HMDB0012454,HSD3B7,degrading
HMDB0012458,HSD3B7,producing
HMDB0001476,HAAO,degrading
HMDB0001377,HAAO,degrading
HMDB0001330,HAAO,producing
HMDB0000023,HIBADH,degrading
HMDB0000902,HIBADH,degrading
HMDB0001172,HIBADH,producing
HMDB0001487,HIBADH,producing
HMDB0002217,HIBADH,producing
HMDB0059597,HIBADH,producing
HMDB0002111,NT5C1A,degrading
HMDB0001429,NT5C1A,degrading
HMDB0000045,NT5C1A,degrading
HMDB0000050,NT5C1A,producing
HMDB0001429,NT5C1A,producing
HMDB0000095,NT5C1A,degrading
HMDB0000089,NT5C1A,producing
HMDB0000288,NT5C1A,degrading
HMDB0000296,NT5C1A,producing
HMDB0000175,NT5C1A,degrading
HMDB0000195,NT5C1A,producing
HMDB0001397,NT5C1A,degrading
HMDB0000133,NT5C1A,producing
HMDB0001227,NT5C1A,degrading
HMDB0000273,NT5C1A,producing
HMDB0001202,NT5C1A,degrading
HMDB0000014,NT5C1A,producing
HMDB0001044,NT5C1A,degrading
HMDB0000085,NT5C1A,producing
HMDB0000905,NT5C1A,degrading
HMDB0000101,NT5C1A,producing
HMDB0000229,NT5C1A,degrading
HMDB0000855,NT5C1A,producing
HMDB0001554,NT5C1A,degrading
HMDB0000299,NT5C1A,producing
HMDB0001132,NT5C1A,degrading
HMDB0006809,NT5C1A,producing
HMDB0002111,NT5C1B,degrading
HMDB0001429,NT5C1B,degrading
HMDB0000045,NT5C1B,degrading
HMDB0000050,NT5C1B,producing
HMDB0001429,NT5C1B,producing
HMDB0000095,NT5C1B,degrading
HMDB0000089,NT5C1B,producing
HMDB0000288,NT5C1B,degrading
HMDB0000296,NT5C1B,producing
HMDB0000175,NT5C1B,degrading
HMDB0000195,NT5C1B,producing
HMDB0001397,NT5C1B,degrading
HMDB0000133,NT5C1B,producing
HMDB0001227,NT5C1B,degrading
HMDB0000273,NT5C1B,producing
HMDB0001202,NT5C1B,degrading
HMDB0000014,NT5C1B,producing
HMDB0001044,NT5C1B,degrading
HMDB0000085,NT5C1B,producing
HMDB0000905,NT5C1B,degrading
HMDB0000101,NT5C1B,producing
HMDB0000229,NT5C1B,degrading
HMDB0000855,NT5C1B,producing
HMDB0001554,NT5C1B,degrading
HMDB0000299,NT5C1B,producing
HMDB0001132,NT5C1B,degrading
HMDB0006809,NT5C1B,producing
HMDB0002111,NT5C3L,degrading
HMDB0001429,NT5C3L,degrading
HMDB0002111,NT5C3,degrading
HMDB0001429,NT5C3,degrading
HMDB0000045,NT5C3,degrading
HMDB0000050,NT5C3,producing
HMDB0001429,NT5C3,producing
HMDB0000095,NT5C3,degrading
HMDB0000089,NT5C3,producing
HMDB0000288,NT5C3,degrading
HMDB0000296,NT5C3,producing
HMDB0000175,NT5C3,degrading
HMDB0000195,NT5C3,producing
HMDB0001397,NT5C3,degrading
HMDB0000133,NT5C3,producing
HMDB0001227,NT5C3,degrading
HMDB0000273,NT5C3,producing
HMDB0001202,NT5C3,degrading
HMDB0000014,NT5C3,producing
HMDB0001044,NT5C3,degrading
HMDB0000085,NT5C3,producing
HMDB0000905,NT5C3,degrading
HMDB0000101,NT5C3,producing
HMDB0000229,NT5C3,degrading
HMDB0000855,NT5C3,producing
HMDB0001554,NT5C3,degrading
HMDB0000299,NT5C3,producing
HMDB0001132,NT5C3,degrading
HMDB0006809,NT5C3,producing
HMDB0002111,NT5C2,degrading
HMDB0001429,NT5C2,degrading
HMDB0000045,NT5C2,degrading
HMDB0000050,NT5C2,producing
HMDB0001429,NT5C2,producing
HMDB0000095,NT5C2,degrading
HMDB0000089,NT5C2,producing
HMDB0000288,NT5C2,degrading
HMDB0000296,NT5C2,producing
HMDB0000175,NT5C2,degrading
HMDB0000195,NT5C2,producing
HMDB0001397,NT5C2,degrading
HMDB0000133,NT5C2,producing
HMDB0001227,NT5C2,degrading
HMDB0000273,NT5C2,producing
HMDB0001202,NT5C2,degrading
HMDB0000014,NT5C2,producing
HMDB0001044,NT5C2,degrading
HMDB0000085,NT5C2,producing
HMDB0000905,NT5C2,degrading
HMDB0000101,NT5C2,producing
HMDB0000229,NT5C2,degrading
HMDB0000855,NT5C2,producing
HMDB0001554,NT5C2,degrading
HMDB0000299,NT5C2,producing
HMDB0001132,NT5C2,degrading
HMDB0006809,NT5C2,producing
HMDB0002111,NT5E,degrading
HMDB0001429,NT5E,degrading
HMDB0000045,NT5E,degrading
HMDB0000050,NT5E,producing
HMDB0001429,NT5E,producing
HMDB0000095,NT5E,degrading
HMDB0000089,NT5E,producing
HMDB0000288,NT5E,degrading
HMDB0000296,NT5E,producing
HMDB0000175,NT5E,degrading
HMDB0000195,NT5E,producing
HMDB0001397,NT5E,degrading
HMDB0000133,NT5E,producing
HMDB0001227,NT5E,degrading
HMDB0000273,NT5E,producing
HMDB0001202,NT5E,degrading
HMDB0000014,NT5E,producing
HMDB0001044,NT5E,degrading
HMDB0000085,NT5E,producing
HMDB0000905,NT5E,degrading
HMDB0000101,NT5E,producing
HMDB0000229,NT5E,degrading
HMDB0000855,NT5E,producing
HMDB0001554,NT5E,degrading
HMDB0000299,NT5E,producing
HMDB0001132,NT5E,degrading
HMDB0006809,NT5E,producing
HMDB0001316,PGD,degrading
HMDB0000217,PGD,degrading
HMDB0000618,PGD,producing
HMDB0000221,PGD,producing
HMDB0001967,PGD,producing
HMDB0059597,PGD,producing
HMDB0002111,PGLS,degrading
HMDB0001316,PGLS,degrading
HMDB0001127,PGLS,degrading
HMDB0001316,PGLS,producing
HMDB0011615,NUDT1,degrading
HMDB0002111,NUDT1,degrading
HMDB0011670,NUDT1,producing
HMDB0000250,NUDT1,producing
HMDB0059593,NUDT1,degrading
HMDB0059594,NUDT1,producing
HMDB0000302,A4GALT,degrading
HMDB0000295,A4GALT,degrading
HMDB0002111,AADAC,degrading
HMDB0007788,AADAC,degrading
HMDB0000538,AACS,degrading
HMDB0000060,AACS,degrading
HMDB0001423,AACS,degrading
HMDB0000045,AACS,producing
HMDB0000250,AACS,producing
HMDB0001484,AACS,producing
HMDB0000684,AADAT,degrading
HMDB0000208,AADAT,degrading
HMDB0000978,AADAT,producing
HMDB0000148,AADAT,producing
HMDB0000510,AADAT,degrading
HMDB0000225,AADAT,producing
HMDB0011631,AADAT,degrading
HMDB0004083,AADAT,producing
HMDB0000217,AASS,degrading
HMDB0002111,AASS,degrading
HMDB0000182,AASS,degrading
HMDB0000208,AASS,producing
HMDB0000221,AASS,producing
HMDB0000902,AASS,degrading
HMDB0000148,AASS,degrading
HMDB0001263,AASS,producing
HMDB0001487,AASS,producing
HMDB0000279,AASS,degrading
HMDB0000182,AASS,producing
HMDB0059597,AASS,producing
HMDB0000148,AASS,producing
HMDB0000191,GOT1L1,degrading
HMDB0000208,GOT1L1,degrading
HMDB0000223,GOT1L1,producing
HMDB0000148,GOT1L1,producing
HMDB0000191,GOT1,degrading
HMDB0000208,GOT1,degrading
HMDB0000223,GOT1,producing
HMDB0000148,GOT1,producing
HMDB0000159,GOT1,degrading
