	HMDB	GENE	direction	Source
1475	HMDB0000254	ALKBH2	producing	Experimental
1476	HMDB0001185	ALKBH8	degrading	Experimental
1477	HMDB0000939	ALKBH8	degrading	Experimental
1482	HMDB0000294	ALLC	producing	Experimental
1489	HMDB0000044	PAM	degrading	Experimental
1494	HMDB0000045	AMPD1	degrading	Experimental
1498	HMDB0000045	AMPD2	degrading	Experimental
1502	HMDB0000045	AMPD3	degrading	Experimental
1507	HMDB0000162	LAP3	degrading	Experimental
1510	HMDB0000123	LAP3	producing	Experimental
1511	HMDB0000123	LAP3	degrading	Experimental
1515	HMDB0000123	ANPEP	producing	Experimental
1516	HMDB0000123	ANPEP	degrading	Experimental
1522	HMDB0001185	PRMT1	degrading	Experimental
1523	HMDB0000939	PRMT1	degrading	Experimental
1524	HMDB0001185	PRMT2	degrading	Experimental
1525	HMDB0000939	PRMT2	degrading	Experimental
1526	HMDB0001185	PRMT5	degrading	Experimental
1527	HMDB0000939	PRMT5	degrading	Experimental
1528	HMDB0001185	PRMT6	degrading	Experimental
1529	HMDB0000939	PRMT6	degrading	Experimental
1530	HMDB0001185	PRMT7	degrading	Experimental
1531	HMDB0000939	PRMT7	degrading	Experimental
1636	HMDB0001397	NUDT2	producing	Experimental
1637	HMDB0000538	NUDT2	producing	Experimental
1638	HMDB0000045	NUDT2	producing	Experimental
1640	HMDB0000288	NUDT2	producing	Experimental
1644	HMDB0000045	APRT	degrading	Experimental
1646	HMDB0000034	APRT	producing	Experimental
1648	HMDB0001397	APRT	degrading	Experimental
1649	HMDB0000132	APRT	producing	Experimental
1651	HMDB0000517	ARG1	degrading	Experimental
1653	HMDB0000214	ARG1	producing	Experimental
1654	HMDB0000294	ARG1	producing	Experimental
1655	HMDB0000517	ARG2	degrading	Experimental
1657	HMDB0000214	ARG2	producing	Experimental
1658	HMDB0000294	ARG2	producing	Experimental
1659	HMDB0000538	RAD54L2	degrading	Experimental
1661	HMDB0001341	RAD54L2	producing	Experimental
1666	HMDB0000052	ASL	degrading	Experimental
1667	HMDB0000134	ASL	producing	Experimental
1668	HMDB0000517	ASL	producing	Experimental
1677	HMDB0001185	AS3MT	degrading	Experimental
1679	HMDB0000939	AS3MT	producing	Experimental
1688	HMDB0000538	ASCC3	degrading	Experimental
1690	HMDB0001341	ASCC3	producing	Experimental
1692	HMDB0000168	ASRGL1	degrading	Experimental
1694	HMDB0000191	ASRGL1	producing	Experimental
1696	HMDB0001185	ASH1L	degrading	Experimental
1697	HMDB0000939	ASH1L	degrading	Experimental
1698	HMDB0001185	ASMT	degrading	Experimental
1700	HMDB0000939	ASMT	producing	Experimental
1705	HMDB0000538	ASNS	degrading	Experimental
1706	HMDB0000191	ASNS	degrading	Experimental
1707	HMDB0000641	ASNS	degrading	Experimental
1709	HMDB0000045	ASNS	producing	Experimental
1711	HMDB0000168	ASNS	producing	Experimental
1712	HMDB0000148	ASNS	producing	Experimental
1713	HMDB0000191	ASPDH	degrading	Experimental
1719	HMDB0000191	AGA	producing	Experimental
1720	HMDB0000208	ASPH	degrading	Experimental
1722	HMDB0000254	ASPH	degrading	Experimental
1723	HMDB0000538	ASS1	degrading	Experimental
1724	HMDB0000904	ASS1	degrading	Experimental
1725	HMDB0000191	ASS1	degrading	Experimental
1726	HMDB0000045	ASS1	producing	Experimental
1728	HMDB0000052	ASS1	producing	Experimental
1729	HMDB0000538	ATP13A1	degrading	Experimental
1731	HMDB0001341	ATP13A1	producing	Experimental
1733	HMDB0000538	ATP13A2	degrading	Experimental
1735	HMDB0001341	ATP13A2	producing	Experimental
1737	HMDB0000538	ATP13A3	degrading	Experimental
1739	HMDB0001341	ATP13A3	producing	Experimental
1741	HMDB0000538	ATP13A4	degrading	Experimental
1743	HMDB0001341	ATP13A4	producing	Experimental
1745	HMDB0000538	ATP13A5	degrading	Experimental
1747	HMDB0001341	ATP13A5	producing	Experimental
1759	HMDB0000538	ATAD1	degrading	Experimental
1761	HMDB0001341	ATAD1	producing	Experimental
1763	HMDB0000538	ATAD2	degrading	Experimental
1765	HMDB0001341	ATAD2	producing	Experimental
1769	HMDB0000538	ATRX	degrading	Experimental
1771	HMDB0001341	ATRX	producing	Experimental
1773	HMDB0000158	TAT	degrading	Experimental
1774	HMDB0000208	TAT	degrading	Experimental
1776	HMDB0000148	TAT	producing	Experimental
1777	HMDB0000159	TAT	degrading	Experimental
1780	HMDB0000148	TAT	degrading	Experimental
1781	HMDB0000696	TAT	producing	Experimental
1782	HMDB0000208	TAT	producing	Experimental
1795	HMDB0000295	B3GAT1	degrading	Experimental
1797	HMDB0000295	B3GAT2	degrading	Experimental
1799	HMDB0000295	B3GAT3	degrading	Experimental
1801	HMDB0000295	B3GALNT1	degrading	Experimental
1803	HMDB0000295	B3GNT1	degrading	Experimental
1805	HMDB0000295	B3GNT5	degrading	Experimental
1807	HMDB0000295	B3GALT4	degrading	Experimental
1809	HMDB0000295	B3GALT6	degrading	Experimental
1811	HMDB0000295	B4GALNT1	degrading	Experimental
1813	HMDB0000295	B4GALNT3	degrading	Experimental
1815	HMDB0000295	B4GALNT4	degrading	Experimental
1817	HMDB0000122	B4GALT1	degrading	Experimental
1818	HMDB0000295	B4GALT1	producing	Experimental
1820	HMDB0000295	B4GALT1	degrading	Experimental
1823	HMDB0000122	B4GALT2	degrading	Experimental
1824	HMDB0000295	B4GALT2	producing	Experimental
1826	HMDB0000295	B4GALT2	degrading	Experimental
1829	HMDB0000295	B4GALT3	degrading	Experimental
1831	HMDB0000295	B4GALT3	producing	Experimental
1834	HMDB0000295	B4GALT4	producing	Experimental
1835	HMDB0000295	B4GALT4	degrading	Experimental
1836	HMDB0000295	B4GALT6	producing	Experimental
1838	HMDB0000295	B4GALT6	degrading	Experimental
1840	HMDB0000295	B4GALT7	degrading	Experimental
1842	HMDB0000123	BAAT	degrading	Experimental
1847	HMDB0000220	BAAT	producing	Experimental
1848	HMDB0000251	BAAT	degrading	Experimental
1856	HMDB0000220	ACOT7L	producing	Experimental
1860	HMDB0000220	ACOT7	producing	Experimental
1862	HMDB0000827	ACOT7	producing	Experimental
1866	HMDB0000207	ACOT7	producing	Experimental
1868	HMDB0000673	ACOT7	producing	Experimental
1880	HMDB0000687	BCAT1	degrading	Experimental
1881	HMDB0000208	BCAT1	degrading	Experimental
1883	HMDB0000148	BCAT1	producing	Experimental
1884	HMDB0000172	BCAT1	degrading	Experimental
1886	HMDB0000883	BCAT1	degrading	Experimental
1887	HMDB0000019	BCAT1	producing	Experimental
1888	HMDB0000687	BCAT2	degrading	Experimental
1889	HMDB0000208	BCAT2	degrading	Experimental
1891	HMDB0000148	BCAT2	producing	Experimental
1892	HMDB0000172	BCAT2	degrading	Experimental
1894	HMDB0000883	BCAT2	degrading	Experimental
1895	HMDB0000019	BCAT2	producing	Experimental
1905	HMDB0000902	BDH2	degrading	Experimental
1910	HMDB0000902	BDH1	degrading	Experimental
1919	HMDB0000295	ABO	degrading	Experimental
1930	HMDB0000696	BHMT	producing	Experimental
1934	HMDB0000696	BHMT2	producing	Experimental
1937	HMDB0000902	BLVRA	degrading	Experimental
1943	HMDB0000538	BLM	degrading	Experimental
1945	HMDB0001341	BLM	producing	Experimental
1948	HMDB0000244	BLVRB	producing	Experimental
1952	HMDB0000902	BLVRB	degrading	Experimental
1962	HMDB0000208	BBOX1	degrading	Experimental
1964	HMDB0000062	BBOX1	producing	Experimental
1965	HMDB0000254	BBOX1	producing	Experimental
1967	HMDB0000538	HLCS	degrading	Experimental
1969	HMDB0000045	HLCS	degrading	Experimental
1975	HMDB0000045	BPNT1	producing	Experimental
1979	HMDB0000902	BST1	degrading	Experimental
1982	HMDB0001406	BST1	producing	Experimental
1988	HMDB0000182	BTD	producing	Experimental
2027	HMDB0000295	C1GALT1	degrading	Experimental
2035	HMDB0000538	MTHFD1	degrading	Experimental
2038	HMDB0001341	MTHFD1	producing	Experimental
2041	HMDB0000538	MTHFD1L	degrading	Experimental
2044	HMDB0001341	MTHFD1L	producing	Experimental
2048	HMDB0000254	SDHC	degrading	Experimental
2050	HMDB0000134	SDHC	producing	Experimental
2052	HMDB0000062	CRAT	degrading	Experimental
2054	HMDB0000201	CRAT	producing	Experimental
2096	HMDB0000295	CANT1	degrading	Experimental
2097	HMDB0000288	CANT1	producing	Experimental
2099	HMDB0001201	CANT1	degrading	Experimental
2100	HMDB0001397	CANT1	producing	Experimental
2103	HMDB0001185	CARM1	degrading	Experimental
2104	HMDB0000939	CARM1	degrading	Experimental
2150	HMDB0000902	CD38	degrading	Experimental
2153	HMDB0001406	CD38	producing	Experimental
2156	HMDB0000089	CDA	degrading	Experimental
2158	HMDB0000296	CDA	producing	Experimental
2165	HMDB0000095	CDIPT	degrading	Experimental
2181	HMDB0000050	CECR1	degrading	Experimental
2183	HMDB0000195	CECR1	producing	Experimental
2186	HMDB0000295	UGCG	degrading	Experimental
2191	HMDB0000095	CEPT1	degrading	Experimental
2218	HMDB0000538	CFTR	degrading	Experimental
2220	HMDB0001341	CFTR	producing	Experimental
2222	HMDB0000538	MB21D1	degrading	Experimental
2226	HMDB0000295	CSGALNACT1	degrading	Experimental
2228	HMDB0000295	CSGALNACT2	degrading	Experimental
2236	HMDB0000243	CTH	producing	Experimental
2243	HMDB0000295	UGT8	degrading	Experimental
2252	HMDB0000538	CHD1L	degrading	Experimental
2254	HMDB0001341	CHD1L	producing	Experimental
2256	HMDB0000538	CHD1	degrading	Experimental
2258	HMDB0001341	CHD1	producing	Experimental
2260	HMDB0000538	CHD2	degrading	Experimental
2262	HMDB0001341	CHD2	producing	Experimental
2264	HMDB0000538	CHD3	degrading	Experimental
2266	HMDB0001341	CHD3	producing	Experimental
2268	HMDB0000538	CHD4	degrading	Experimental
2270	HMDB0001341	CHD4	producing	Experimental
2272	HMDB0000538	CHD5	degrading	Experimental
2274	HMDB0001341	CHD5	producing	Experimental
2276	HMDB0000538	CHD6	degrading	Experimental
2278	HMDB0001341	CHD6	producing	Experimental
2280	HMDB0000538	CHD7	degrading	Experimental
2282	HMDB0001341	CHD7	producing	Experimental
2284	HMDB0000538	CHD8	degrading	Experimental
2286	HMDB0001341	CHD8	producing	Experimental
2288	HMDB0000538	CHD9	degrading	Experimental
2290	HMDB0001341	CHD9	producing	Experimental
2292	HMDB0000097	CHDH	degrading	Experimental
2298	HMDB0000538	CHKA	degrading	Experimental
2299	HMDB0000097	CHKA	degrading	Experimental
2300	HMDB0001341	CHKA	producing	Experimental
2302	HMDB0000149	CHKA	degrading	Experimental
2304	HMDB0000538	CHKB	degrading	Experimental
2305	HMDB0000097	CHKB	degrading	Experimental
2306	HMDB0001341	CHKB	producing	Experimental
2308	HMDB0000149	CHKB	degrading	Experimental
2311	HMDB0000097	BCHE	degrading	Experimental
2313	HMDB0000295	CHPF2	degrading	Experimental
2315	HMDB0000095	CHPT1	degrading	Experimental
2318	HMDB0000295	CHSY1	degrading	Experimental
2322	HMDB0000295	CHPF	degrading	Experimental
2326	HMDB0000295	CHSY3	degrading	Experimental
2352	HMDB0000094	CS	producing	Experimental
2354	HMDB0000094	CS	degrading	Experimental
2360	HMDB0000097	CHAT	degrading	Experimental
2362	HMDB0000895	CHAT	producing	Experimental
2366	HMDB0001185	CAMKMT	degrading	Experimental
2367	HMDB0000939	CAMKMT	degrading	Experimental
2368	HMDB0000538	CMPK2	degrading	Experimental
2369	HMDB0001341	CMPK2	degrading	Experimental
2370	HMDB0000288	CMPK2	degrading	Experimental
2371	HMDB0001341	CMPK2	producing	Experimental
2372	HMDB0000295	CMPK2	producing	Experimental
2373	HMDB0000095	CMPK2	degrading	Experimental
2374	HMDB0001546	CMPK2	producing	Experimental
2379	HMDB0001397	PDE6H	degrading	Experimental
2383	HMDB0001397	PDE6G	degrading	Experimental
2388	HMDB0000538	COASY	degrading	Experimental
2393	HMDB0001341	COASY	producing	Experimental
2395	HMDB0001185	COMT	degrading	Experimental
2396	HMDB0000939	COMT	degrading	Experimental
2398	HMDB0000939	COMT	producing	Experimental
2416	HMDB0001185	COQ3	degrading	Experimental
2417	HMDB0000939	COQ3	degrading	Experimental
2419	HMDB0000939	COQ3	producing	Experimental
2423	HMDB0001185	COQ5	degrading	Experimental
2424	HMDB0000939	COQ5	degrading	Experimental
2427	HMDB0000939	COQ5	producing	Experimental
2738	HMDB0000538	CPS1	degrading	Experimental
2741	HMDB0001341	CPS1	degrading	Experimental
2743	HMDB0001096	CPS1	producing	Experimental
2745	HMDB0001341	CPS1	producing	Experimental
2747	HMDB0000062	CPT1A	degrading	Experimental
2749	HMDB0000222	CPT1A	producing	Experimental
2751	HMDB0000062	CPT1B	degrading	Experimental
2753	HMDB0000222	CPT1B	producing	Experimental
2755	HMDB0000062	CPT1C	degrading	Experimental
2757	HMDB0000222	CPT1C	producing	Experimental
2759	HMDB0000062	CPT2	degrading	Experimental
2761	HMDB0000222	CPT2	producing	Experimental
2762	HMDB0000131	CRLS1	degrading	Experimental
2763	HMDB0000538	CARNS1	degrading	Experimental
2764	HMDB0000177	CARNS1	degrading	Experimental
2766	HMDB0001341	CARNS1	producing	Experimental
2769	HMDB0000182	CARNS1	degrading	Experimental
2770	HMDB0000045	CARNS1	producing	Experimental
2772	HMDB0000517	CARNS1	degrading	Experimental
2773	HMDB0000112	CARNS1	degrading	Experimental
2776	HMDB0000902	CRYL1	degrading	Experimental
2781	HMDB0000251	CSAD	producing	Experimental
