	HMDB	GENE	direction	Source
0	HMDB0000902	HSD3B1	degrading	Experimental
11	HMDB0000902	HSD3B1	producing	Experimental
21	HMDB0000902	HSD3B2	degrading	Experimental
32	HMDB0000902	HSD3B2	producing	Experimental
42	HMDB0000902	HSD3B7	degrading	Experimental
57	HMDB0000902	HIBADH	degrading	Experimental
64	HMDB0000045	NT5C1A	degrading	Experimental
65	HMDB0000050	NT5C1A	producing	Experimental
67	HMDB0000095	NT5C1A	degrading	Experimental
68	HMDB0000089	NT5C1A	producing	Experimental
69	HMDB0000288	NT5C1A	degrading	Experimental
70	HMDB0000296	NT5C1A	producing	Experimental
72	HMDB0000195	NT5C1A	producing	Experimental
73	HMDB0001397	NT5C1A	degrading	Experimental
74	HMDB0000133	NT5C1A	producing	Experimental
91	HMDB0000045	NT5C1B	degrading	Experimental
92	HMDB0000050	NT5C1B	producing	Experimental
94	HMDB0000095	NT5C1B	degrading	Experimental
95	HMDB0000089	NT5C1B	producing	Experimental
96	HMDB0000288	NT5C1B	degrading	Experimental
97	HMDB0000296	NT5C1B	producing	Experimental
99	HMDB0000195	NT5C1B	producing	Experimental
100	HMDB0001397	NT5C1B	degrading	Experimental
101	HMDB0000133	NT5C1B	producing	Experimental
120	HMDB0000045	NT5C3	degrading	Experimental
121	HMDB0000050	NT5C3	producing	Experimental
123	HMDB0000095	NT5C3	degrading	Experimental
124	HMDB0000089	NT5C3	producing	Experimental
125	HMDB0000288	NT5C3	degrading	Experimental
126	HMDB0000296	NT5C3	producing	Experimental
128	HMDB0000195	NT5C3	producing	Experimental
129	HMDB0001397	NT5C3	degrading	Experimental
130	HMDB0000133	NT5C3	producing	Experimental
147	HMDB0000045	NT5C2	degrading	Experimental
148	HMDB0000050	NT5C2	producing	Experimental
150	HMDB0000095	NT5C2	degrading	Experimental
151	HMDB0000089	NT5C2	producing	Experimental
152	HMDB0000288	NT5C2	degrading	Experimental
153	HMDB0000296	NT5C2	producing	Experimental
155	HMDB0000195	NT5C2	producing	Experimental
156	HMDB0001397	NT5C2	degrading	Experimental
157	HMDB0000133	NT5C2	producing	Experimental
174	HMDB0000045	NT5E	degrading	Experimental
175	HMDB0000050	NT5E	producing	Experimental
177	HMDB0000095	NT5E	degrading	Experimental
178	HMDB0000089	NT5E	producing	Experimental
179	HMDB0000288	NT5E	degrading	Experimental
180	HMDB0000296	NT5E	producing	Experimental
182	HMDB0000195	NT5E	producing	Experimental
183	HMDB0001397	NT5E	degrading	Experimental
184	HMDB0000133	NT5E	producing	Experimental
207	HMDB0001127	PGLS	degrading	Experimental
212	HMDB0000295	A4GALT	degrading	Experimental
215	HMDB0000538	AACS	degrading	Experimental
218	HMDB0000045	AACS	producing	Experimental
221	HMDB0000684	AADAT	degrading	Experimental
222	HMDB0000208	AADAT	degrading	Experimental
223	HMDB0000148	AADAT	producing	Experimental
229	HMDB0000182	AASS	degrading	Experimental
230	HMDB0000208	AASS	producing	Experimental
232	HMDB0000902	AASS	degrading	Experimental
233	HMDB0000148	AASS	degrading	Experimental
237	HMDB0000182	AASS	producing	Experimental
239	HMDB0000148	AASS	producing	Experimental
240	HMDB0000191	GOT1L1	degrading	Experimental
241	HMDB0000208	GOT1L1	degrading	Experimental
243	HMDB0000148	GOT1L1	producing	Experimental
244	HMDB0000191	GOT1	degrading	Experimental
245	HMDB0000208	GOT1	degrading	Experimental
247	HMDB0000148	GOT1	producing	Experimental
248	HMDB0000159	GOT1	degrading	Experimental
250	HMDB0000158	GOT1	degrading	Experimental
258	HMDB0000191	GOT2	degrading	Experimental
259	HMDB0000208	GOT2	degrading	Experimental
261	HMDB0000148	GOT2	producing	Experimental
262	HMDB0000684	GOT2	degrading	Experimental
263	HMDB0000159	GOT2	degrading	Experimental
265	HMDB0000158	GOT2	degrading	Experimental
273	HMDB0000089	APOBEC3A	degrading	Experimental
275	HMDB0000296	APOBEC3A	producing	Experimental
277	HMDB0000089	APOBEC3B	degrading	Experimental
279	HMDB0000296	APOBEC3B	producing	Experimental
281	HMDB0000089	APOBEC3C	degrading	Experimental
283	HMDB0000296	APOBEC3C	producing	Experimental
285	HMDB0000089	APOBEC3D	degrading	Experimental
287	HMDB0000296	APOBEC3D	producing	Experimental
289	HMDB0000089	APOBEC3F	degrading	Experimental
291	HMDB0000296	APOBEC3F	producing	Experimental
297	HMDB0000089	APOBEC3H	degrading	Experimental
299	HMDB0000296	APOBEC3H	producing	Experimental
302	HMDB0000131	ABHD12	degrading	Experimental
305	HMDB0000131	ABHD6	degrading	Experimental
318	HMDB0000538	ACACA	degrading	Experimental
321	HMDB0001341	ACACA	producing	Experimental
324	HMDB0001341	ACACA	degrading	Experimental
327	HMDB0000538	ACACB	degrading	Experimental
330	HMDB0001341	ACACB	producing	Experimental
333	HMDB0001341	ACACB	degrading	Experimental
374	HMDB0000902	ACADS	degrading	Experimental
389	HMDB0000538	ACSBG1	degrading	Experimental
391	HMDB0000045	ACSBG1	degrading	Experimental
393	HMDB0000220	ACSBG1	degrading	Experimental
394	HMDB0000045	ACSBG1	producing	Experimental
396	HMDB0000538	ACSBG2	degrading	Experimental
398	HMDB0000045	ACSBG2	degrading	Experimental
400	HMDB0000220	ACSBG2	degrading	Experimental
401	HMDB0000045	ACSBG2	producing	Experimental
415	HMDB0000159	ACE2	producing	Experimental
424	HMDB0000895	ACHE	degrading	Experimental
426	HMDB0000097	ACHE	producing	Experimental
428	HMDB0001341	ACLY	degrading	Experimental
432	HMDB0000538	ACLY	producing	Experimental
433	HMDB0000094	ACLY	producing	Experimental
435	HMDB0000538	ACLY	degrading	Experimental
436	HMDB0000094	ACLY	degrading	Experimental
438	HMDB0001341	ACLY	producing	Experimental
451	HMDB0000220	THEM5	producing	Experimental
452	HMDB0000094	ACO1	degrading	Experimental
454	HMDB0000072	ACO1	producing	Experimental
462	HMDB0000094	ACO2	degrading	Experimental
464	HMDB0000072	ACO2	producing	Experimental
470	HMDB0000220	ACOT1	producing	Experimental
472	HMDB0000827	ACOT1	producing	Experimental
476	HMDB0000207	ACOT1	producing	Experimental
478	HMDB0000673	ACOT1	producing	Experimental
493	HMDB0000220	ACOT2	producing	Experimental
495	HMDB0000827	ACOT2	producing	Experimental
499	HMDB0000207	ACOT2	producing	Experimental
501	HMDB0000673	ACOT2	producing	Experimental
516	HMDB0000220	ACOT4	producing	Experimental
518	HMDB0000827	ACOT4	producing	Experimental
522	HMDB0000207	ACOT4	producing	Experimental
524	HMDB0000673	ACOT4	producing	Experimental
587	HMDB0000538	ACSM2A	degrading	Experimental
589	HMDB0000045	ACSM2A	degrading	Experimental
592	HMDB0000045	ACSM2A	producing	Experimental
594	HMDB0000538	ACSM2B	degrading	Experimental
596	HMDB0000045	ACSM2B	degrading	Experimental
599	HMDB0000045	ACSM2B	producing	Experimental
601	HMDB0000538	ACSS1	degrading	Experimental
604	HMDB0000045	ACSS1	producing	Experimental
613	HMDB0000538	ACSS2	degrading	Experimental
616	HMDB0000045	ACSS2	producing	Experimental
625	HMDB0000538	ACSL1	degrading	Experimental
627	HMDB0000045	ACSL1	degrading	Experimental
629	HMDB0000220	ACSL1	degrading	Experimental
630	HMDB0000045	ACSL1	producing	Experimental
632	HMDB0000538	ACSL3	degrading	Experimental
634	HMDB0000045	ACSL3	degrading	Experimental
636	HMDB0000220	ACSL3	degrading	Experimental
637	HMDB0000045	ACSL3	producing	Experimental
639	HMDB0000538	ACSL4	degrading	Experimental
641	HMDB0000045	ACSL4	degrading	Experimental
643	HMDB0000220	ACSL4	degrading	Experimental
644	HMDB0000045	ACSL4	producing	Experimental
646	HMDB0000538	ACSL5	degrading	Experimental
648	HMDB0000045	ACSL5	degrading	Experimental
650	HMDB0000220	ACSL5	degrading	Experimental
651	HMDB0000045	ACSL5	producing	Experimental
653	HMDB0000538	ACSL6	degrading	Experimental
655	HMDB0000045	ACSL6	degrading	Experimental
657	HMDB0000220	ACSL6	degrading	Experimental
658	HMDB0000045	ACSL6	producing	Experimental
660	HMDB0000538	ACSM1	degrading	Experimental
662	HMDB0000045	ACSM1	degrading	Experimental
666	HMDB0000045	ACSM1	producing	Experimental
668	HMDB0000538	ACSM3	degrading	Experimental
670	HMDB0000045	ACSM3	degrading	Experimental
673	HMDB0000045	ACSM3	producing	Experimental
675	HMDB0000538	ACSM4	degrading	Experimental
677	HMDB0000045	ACSM4	degrading	Experimental
680	HMDB0000045	ACSM4	producing	Experimental
682	HMDB0000538	ACSM5	degrading	Experimental
684	HMDB0000045	ACSM5	degrading	Experimental
687	HMDB0000045	ACSM5	producing	Experimental
689	HMDB0000538	ACSM6	degrading	Experimental
691	HMDB0000045	ACSM6	degrading	Experimental
693	HMDB0000538	ACSS3	degrading	Experimental
696	HMDB0000045	ACSS3	producing	Experimental
705	HMDB0000214	ACY1	producing	Experimental
707	HMDB0000191	ASPA	degrading	Experimental
708	HMDB0000812	ASPA	degrading	Experimental
710	HMDB0000191	ASPA	producing	Experimental
712	HMDB0000812	ACY3	degrading	Experimental
715	HMDB0000191	ACY3	producing	Experimental
723	HMDB0000807	ACYP1	producing	Experimental
730	HMDB0000807	ACYP2	producing	Experimental
733	HMDB0000050	ADA	degrading	Experimental
735	HMDB0000195	ADA	producing	Experimental
739	HMDB0000538	ADCY1	degrading	Experimental
744	HMDB0000538	ADCY2	degrading	Experimental
749	HMDB0000538	ADCY3	degrading	Experimental
754	HMDB0000538	ADCY4	degrading	Experimental
759	HMDB0000538	ADCY5	degrading	Experimental
764	HMDB0000538	ADCY6	degrading	Experimental
769	HMDB0000538	ADCY7	degrading	Experimental
774	HMDB0000538	ADCY8	degrading	Experimental
779	HMDB0000538	ADCY9	degrading	Experimental
784	HMDB0000538	ADCY10	degrading	Experimental
789	HMDB0000517	ADC	degrading	Experimental
792	HMDB0000902	ADH1A	degrading	Experimental
803	HMDB0000902	ADH1A	producing	Experimental
806	HMDB0000902	ADH1B	degrading	Experimental
817	HMDB0000902	ADH1B	producing	Experimental
820	HMDB0000902	ADH1C	degrading	Experimental
831	HMDB0000902	ADH1C	producing	Experimental
834	HMDB0000902	ADH4	degrading	Experimental
845	HMDB0000902	ADH4	producing	Experimental
848	HMDB0000902	ADH6	degrading	Experimental
859	HMDB0000902	ADH6	producing	Experimental
862	HMDB0000902	ADH7	degrading	Experimental
873	HMDB0000902	ADH7	producing	Experimental
876	HMDB0000902	ADH5	degrading	Experimental
892	HMDB0000902	ADH5	producing	Experimental
895	HMDB0000538	ADK	degrading	Experimental
896	HMDB0000050	ADK	degrading	Experimental
897	HMDB0001341	ADK	producing	Experimental
898	HMDB0000045	ADK	producing	Experimental
915	HMDB0001341	ADPGK	degrading	Experimental
916	HMDB0000122	ADPGK	degrading	Experimental
917	HMDB0000045	ADPGK	producing	Experimental
918	HMDB0001401	ADPGK	producing	Experimental
926	HMDB0000517	ADPRH	producing	Experimental
929	HMDB0000095	ADPRM	producing	Experimental
932	HMDB0000045	ADPRM	producing	Experimental
947	HMDB0000122	GLA	producing	Experimental
950	HMDB0000131	GLA	producing	Experimental
953	HMDB0000247	GLA	producing	Experimental
963	HMDB0001201	AGPHD1	producing	Experimental
965	HMDB0000161	AGXT2	degrading	Experimental
967	HMDB0000243	AGXT2	producing	Experimental
968	HMDB0000123	AGXT2	producing	Experimental
970	HMDB0000243	AGXT2	degrading	Experimental
972	HMDB0000161	AGXT2	producing	Experimental
973	HMDB0000123	AGXT2	degrading	Experimental
974	HMDB0000208	AGXT2	degrading	Experimental
976	HMDB0000148	AGXT2	producing	Experimental
977	HMDB0000089	AICDA	degrading	Experimental
979	HMDB0000296	AICDA	producing	Experimental
986	HMDB0000131	AKR1A1	degrading	Experimental
989	HMDB0000131	AKR1B10	degrading	Experimental
990	HMDB0000902	AKR1B10	degrading	Experimental
1000	HMDB0000902	AKR1B10	producing	Experimental
1007	HMDB0000247	AKR1B10	degrading	Experimental
1037	HMDB0000902	AKR1C3	degrading	Experimental
1048	HMDB0000902	AKR1C4	degrading	Experimental
1095	HMDB0000902	ALDH1A1	degrading	Experimental
1103	HMDB0000902	ALDH1A2	degrading	Experimental
1117	HMDB0000902	ALDH1A3	degrading	Experimental
1134	HMDB0000902	ALDH1B1	degrading	Experimental
1138	HMDB0000208	ALDH1B1	producing	Experimental
1149	HMDB0000112	ALDH1B1	producing	Experimental
1185	HMDB0000902	ALDH3A1	degrading	Experimental
1202	HMDB0000902	ALDH3A2	degrading	Experimental
1206	HMDB0000208	ALDH3A2	producing	Experimental
1217	HMDB0000112	ALDH3A2	producing	Experimental
1239	HMDB0000902	ALDH3B1	degrading	Experimental
1263	HMDB0000902	ALDH3B2	degrading	Experimental
1282	HMDB0000148	ALDH4A1	degrading	Experimental
1284	HMDB0000902	ALDH4A1	degrading	Experimental
1285	HMDB0000148	ALDH4A1	producing	Experimental
1296	HMDB0000902	ALDH4A1	producing	Experimental
1302	HMDB0000902	ALDH7A1	degrading	Experimental
1315	HMDB0000112	ALDH7A1	producing	Experimental
1319	HMDB0000538	ALDH7A1	degrading	Experimental
1334	HMDB0000045	ALDH7A1	degrading	Experimental
1339	HMDB0000902	ALDH9A1	degrading	Experimental
1345	HMDB0000112	ALDH9A1	producing	Experimental
1365	HMDB0000161	GPT	degrading	Experimental
1366	HMDB0000208	GPT	degrading	Experimental
1367	HMDB0000243	GPT	producing	Experimental
1368	HMDB0000148	GPT	producing	Experimental
1369	HMDB0000161	GPT2	degrading	Experimental
1370	HMDB0000208	GPT2	degrading	Experimental
1371	HMDB0000243	GPT2	producing	Experimental
1372	HMDB0000148	GPT2	producing	Experimental
1373	HMDB0000902	ALDH2	degrading	Experimental
1377	HMDB0000208	ALDH2	producing	Experimental
1388	HMDB0000112	ALDH2	producing	Experimental
1421	HMDB0000131	AKR1B1	degrading	Experimental
1423	HMDB0000902	AKR1B1	degrading	Experimental
1433	HMDB0000902	AKR1B1	producing	Experimental
1440	HMDB0000247	AKR1B1	degrading	Experimental
1446	HMDB0001201	ALG11	degrading	Experimental
1450	HMDB0000295	ALG13	degrading	Experimental
1453	HMDB0001201	ALG1	producing	Experimental
1455	HMDB0001201	ALG2	degrading	Experimental
1460	HMDB0000295	ALG5	producing	Experimental
1468	HMDB0000208	ALKBH1	degrading	Experimental
1471	HMDB0000254	ALKBH1	producing	Experimental
1472	HMDB0000208	ALKBH2	degrading	Experimental
