index,Factor1,Factor2,Factor3
HMDB0000673<->TNFRSF21,4.500083,0.6259787,0.0
HMDB0000806<->HNF4A,4.0127344,0.0,0.6160928
HMDB0001999<->TNFRSF21,3.9444287,0.0,0.3248716
HMDB0001388<->TNFRSF21,3.672916,0.3125175,0.26901865
HMDB0001043<->TNFRSF21,3.4352486,0.76317656,0.0
HMDB0000073<->SLC1A1,3.0964577,0.061400075,0.08637074
HMDB0000220<->TNFRSF21,2.8016434,0.0,0.08286561
HMDB0001314<->TRPV4,2.5608954,1.0916462,0.71621674
HMDB0000058<->TRPV4,2.528491,1.1054995,0.6845157
HMDB0001043<->TRPV4,2.4187264,0.9612424,0.1314379
HMDB0000870<->CCKAR,2.3827195,0.0,0.12993884
HMDB0000870<->ACKR3,2.2740798,0.68253356,0.0
HMDB0000673<->RXRA,2.236412,1.0112869,0.47987044
HMDB0000259<->CCKAR,2.0650873,0.035675604,0.16652429
HMDB0001999<->RXRA,1.9760394,0.06649316,0.8600276
HMDB0000050<->ACKR3,1.9177281,0.855238,0.040169943
HMDB0000234<->AR,1.9046503,0.19190095,0.0
HMDB0004667<->RXRA,1.8335549,0.9854117,1.5522772
HMDB0000673<->SLC27A1,1.7875359,0.968491,0.57128364
HMDB0000259<->ACKR3,1.784188,1.1181052,0.012777282
HMDB0000073<->ACKR3,1.7085837,0.72392684,0.0
HMDB0000595<->SLC4A4,1.6458884,0.0,1.9480737
HMDB0001043<->RXRA,1.6147255,0.98249066,0.34531504
HMDB0001388<->RXRA,1.600796,0.59846777,0.80687124
HMDB0000207<->ABCG2,1.5959449,0.0,0.76484334
HMDB0001999<->SLC27A1,1.5139393,0.124073274,0.8817155
HMDB0001852<->AR,1.4995402,0.26677483,0.0
HMDB0000220<->CCKAR,1.4054158,0.0,0.0
HMDB0001220<->CCKAR,1.3502867,0.0,0.42810446
HMDB0000220<->RXRA,1.2734853,0.18842691,0.5132256
HMDB0001043<->SLC27A1,1.2202127,0.93355453,0.4247652
HMDB0001388<->SLC27A1,1.1925179,0.6110765,0.7349903
HMDB0001852<->NR2F2,1.1435099,2.072882,0.0
HMDB0001852<->RXRA,1.1019893,1.3179568,0.21234985
HMDB0001220<->ACKR3,1.0741701,0.9760398,0.43163052
HMDB0000151<->ABCG2,1.0733051,0.12715618,1.7360361
HMDB0001999<->PPARD,1.0625753,0.11682987,0.26320112
HMDB0000234<->NR3C1,1.0494086,1.2663027,0.19221662
HMDB0000220<->SLC27A1,0.98945534,0.16060598,0.4386002
HMDB0000169<->EGFR,0.97502285,0.53399485,0.307729
HMDB0000641<->AR,0.9704675,0.0,0.68401575
HMDB0000305<->VDR,0.9680478,0.07540433,1.1792976
HMDB0000067<->SMO,0.91502124,1.1378955,0.34514794
HMDB0001852<->EGFR,0.87653416,1.2395868,0.0
HMDB0000220<->GCGR,0.86289614,0.112550326,0.29184362
HMDB0000870<->PTGER3,0.84748214,0.90505165,0.0
HMDB0001852<->NR1H2,0.8423736,1.6719539,0.0
HMDB0001852<->RXRB,0.82117105,1.4476125,0.0
HMDB0000538<->ITGA1,0.7949907,0.4905575,1.8026955
HMDB0000067<->NR1H2,0.79060525,1.5969025,0.6739119
HMDB0000112<->GABBR1,0.7388419,0.78750974,0.16510601
HMDB0000870<->PTGFR,0.7232133,0.071895204,1.3015405
HMDB0000870<->ADORA2B,0.71585006,0.66465104,0.008500325
HMDB0000870<->LPAR2,0.7156981,0.070046075,0.4054217
HMDB0000259<->LPAR2,0.7116916,0.08432059,0.37715295
HMDB0001314<->SLC25A22,0.6762698,0.47628888,0.20342852
