index,Factor1,Factor2,Factor3
HMDB0001852<->NR2F2,2.806106,0.96510744,0.0
HMDB0000058<->AQP1,2.8058085,2.5510144,0.5788003
HMDB0001852<->AQP3,2.268839,0.30297253,0.21595638
HMDB0001852<->NR1H2,2.2555819,0.7151415,0.0
HMDB0000067<->NR1H2,2.1959615,0.5835232,0.6962797
HMDB0000131<->MET,2.1896887,0.3194918,0.5665397
HMDB0000131<->TGFBR2,2.181532,0.05610572,0.45363125
HMDB0000259<->AVPR2,2.1066153,0.23341198,0.12477104
HMDB0001043<->KCNJ1,2.0454621,1.0851247,0.453954
HMDB0000259<->PTGER1,2.0321655,0.0,0.0
HMDB0001852<->GPRC5A,2.021213,0.21220776,0.0
HMDB0000058<->ERBB2,2.0083365,1.0253981,0.65791416
HMDB0000538<->SLC2A1,1.9642841,0.32110608,1.1140943
HMDB0001852<->RXRB,1.9556161,0.6891319,0.0
HMDB0000067<->FLT1,1.8966473,0.48076054,0.87156713
HMDB0001220<->PTGER1,1.836535,0.0,0.0
HMDB0000058<->SLC9A3,1.8299545,1.3372253,0.07518062
HMDB0001220<->AVPR2,1.8264922,0.0,0.4214512
HMDB0001852<->RXRA,1.7600367,0.7961715,0.31872478
HMDB0000050<->AVPR2,1.7518123,0.26820397,0.17151543
HMDB0000234<->NR3C1,1.7102983,0.869446,0.18238561
HMDB0001852<->RARG,1.7021486,0.1542665,0.0126705505
HMDB0000131<->FLT1,1.6999385,0.0,0.64427847
HMDB0000259<->PTGER3,1.6966081,0.6045853,0.0
HMDB0001852<->EGFR,1.6859105,0.7244123,0.0
HMDB0000259<->EDNRB,1.6718946,0.4427416,0.3254942
HMDB0000538<->MET,1.6349036,0.49291942,1.3971403
HMDB0001314<->GUCY1A1,1.6168258,0.46480694,0.6301665
HMDB0000870<->PTGER1,1.5923411,0.12511232,0.0
HMDB0000517<->SLC7A1,1.5810852,0.06502299,0.35809806
HMDB0000870<->AVPR2,1.5763841,0.42808613,0.15611
HMDB0000073<->AVPR2,1.561411,0.40111572,0.08616427
HMDB0000259<->ADORA1,1.5496092,0.0,0.0
HMDB0000067<->SMO,1.548681,0.6831677,0.39403686
HMDB0000058<->TRPV4,1.5182464,1.996255,0.7001004
HMDB0001220<->PTGER3,1.510815,0.23769492,0.09490332
HMDB0001314<->TRPV4,1.4969503,2.012334,0.74066734
HMDB0000259<->ACKR3,1.4860002,1.4663769,0.016185027
HMDB0000050<->PTGER3,1.473501,0.5415776,0.0
HMDB0000131<->NR3C1,1.4422127,0.085265025,0.3490958
HMDB0001220<->EDNRB,1.4358112,0.018189,0.66180307
HMDB0001220<->ADORA1,1.4127865,0.0,0.0
HMDB0001852<->RARA,1.4112599,0.3831183,0.13849513
HMDB0000538<->ITGB5,1.3900509,0.0,2.3196657
HMDB0004667<->RXRA,1.3530574,1.2286398,1.7001977
HMDB0000673<->RXRA,1.3404889,1.586921,0.6888455
HMDB0000050<->ADORA1,1.3374293,0.0,0.0
HMDB0000673<->SLC27A1,1.3210841,1.3856585,0.5932243
HMDB0001220<->ACKR3,1.3182746,0.83894503,0.44549355
HMDB0001043<->RXRA,1.3129257,1.1061263,0.534587
HMDB0000073<->ADORA1,1.2974085,0.0,0.0
HMDB0000073<->SLC9A3,1.2921569,1.3057218,0.0
HMDB0001043<->TRPV4,1.2916754,1.8847518,0.21079482
HMDB0000870<->ADORA1,1.2884934,0.0,0.0
HMDB0001043<->SLC27A1,1.2809969,0.93751216,0.4415025
HMDB0000131<->IFNAR1,1.2776022,0.08360949,0.1800932
HMDB0000151<->ESRRA,1.2501159,0.020476863,1.4597123
HMDB0001852<->NR1H3,1.2450598,1.3773868,0.0
HMDB0001043<->KDR,1.2325956,0.7492603,0.47160712
HMDB0000259<->PTGER4,1.2319592,0.27145272,0.2628079
HMDB0000131<->EGFR,1.2313468,0.31281388,0.3394359
HMDB0000870<->EDNRB,1.2257516,0.58215535,0.3550189
HMDB0000870<->PTGER3,1.1984289,0.7444335,0.0
HMDB0000259<->ADORA2A,1.1972902,0.06669517,0.089090765
