index,Factor1,Factor2,Factor3
HMDB0000058<->AQP1,2.047067,0.971956,1.4901541
HMDB0001852<->NR2F2,1.994063,0.08584077,0.74662024
HMDB0000067<->NR2F2,1.9912547,0.91549426,0.48097152
HMDB0000234<->NR2F2,1.9808491,0.22121376,0.9500754
HMDB0001220<->TNFRSF1A,1.898956,1.4423591,0.11283745
HMDB0001852<->NR2F6,1.8304515,0.27319863,0.85614234
HMDB0000259<->KCNJ1,1.8273519,0.761053,0.85062695
HMDB0000123<->PTPRF,1.807655,1.2399276,0.98861825
HMDB0000067<->NR2F6,1.7690045,1.1754177,0.5797034
HMDB0000234<->NR2F6,1.7632829,0.45940912,1.0512304
HMDB0000131<->ITGAV,1.6703781,1.3391321,0.03859943
HMDB0001852<->THRA,1.6453494,0.0,0.58438796
HMDB0000123<->PTPRJ,1.6432024,0.9217556,0.47968093
HMDB0000067<->NR1H2,1.6336524,0.78042233,0.2933848
HMDB0000067<->THRA,1.6329306,0.6021062,0.2897844
HMDB0000538<->AQP2,1.6216424,1.6429799,0.21499324
HMDB0000131<->MET,1.6141355,0.75421727,0.029905098
HMDB0001852<->AQP3,1.6070533,0.12740214,0.38067427
HMDB0000234<->THRA,1.6015674,0.07079413,0.74436754
HMDB0000234<->NR1H2,1.5986952,0.18702096,0.6882912
HMDB0000131<->TGFBR2,1.5888753,0.534793,0.0
HMDB0000131<->ADGRL4,1.5849576,0.6290017,0.0
HMDB0001852<->NR1H2,1.5756522,0.056069646,0.5947602
HMDB0001043<->KCNJ1,1.5371988,0.51123697,0.68960077
HMDB0000058<->ERBB2,1.5263157,0.78724587,0.53758454
HMDB0000259<->AVPR2,1.522377,0.0,0.37053657
HMDB0000251<->AXL,1.5188204,0.42820525,0.37617892
HMDB0000045<->AVPR2,1.5181994,0.0566849,0.46924007
HMDB0000538<->SLC2A1,1.5091889,0.7121342,0.4063191
HMDB0000058<->AVPR2,1.508623,0.011087992,0.33086976
HMDB0001852<->ESRRA,1.4945358,0.25044018,0.79430944
HMDB0000067<->ERBB2,1.4807223,0.8702489,0.280827
HMDB0001852<->ERBB2,1.478353,0.19319545,0.5108324
HMDB0000123<->PTGER1,1.4663148,0.0,0.17507161
HMDB0000259<->PTGER1,1.4649088,0.0,0.12853137
HMDB0000123<->AVPR2,1.4557362,0.045373533,0.42027214
HMDB0000067<->ESRRA,1.4461851,1.1572754,0.4805056
HMDB0000259<->KCNJ16,1.4441789,1.6703558,1.2307063
HMDB0000067<->FLT1,1.4412255,0.9333479,0.17625183
HMDB0001852<->GPRC5A,1.4290524,0.05415196,0.17086595
HMDB0000058<->PTGER1,1.424655,0.0,0.107518315
HMDB0000151<->NR2F2,1.422325,1.0719987,0.0
HMDB0001220<->AVPR2,1.4165329,0.2257015,0.063990854
HMDB0000053<->NR2F2,1.4142566,0.048091367,0.66688406
HMDB0000234<->ESRRA,1.4118252,0.45746425,0.9789866
HMDB0000234<->AVPR2,1.408272,0.0,0.32039222
HMDB0000131<->ADGRF5,1.3951368,0.493608,0.0
HMDB0000045<->PTGER1,1.3937821,0.0,0.21778348
HMDB0001220<->PTGER1,1.389899,0.0,0.0
HMDB0001852<->RXRB,1.3848578,0.08852677,0.51822114
HMDB0000234<->PTGER1,1.3752389,0.0,0.12227147
HMDB0000234<->RXRB,1.3383925,0.21633652,0.67284894
HMDB0000131<->F2R,1.3348669,0.55680746,0.0
HMDB0000538<->AQP1,1.3274754,1.3793532,1.0743734
HMDB0000073<->MET,1.32666,0.49142677,1.0351758
HMDB0000990<->AVPR2,1.322237,0.06527062,0.3957591
HMDB0000151<->SLC39A7,1.3121897,1.5458041,0.0
HMDB0000058<->SLC9A3,1.3064352,0.36527333,0.7774451
HMDB0000067<->RXRB,1.3051227,0.74072397,0.33962315
HMDB0000050<->PTGER1,1.2905756,0.0,0.13217689
HMDB0000050<->AVPR2,1.2900572,0.012366599,0.3726364
HMDB0000151<->NR2F6,1.2846003,1.3150357,0.0
HMDB0000538<->MET,1.2843348,1.0029349,0.4545109
HMDB0000073<->AXL,1.2840368,0.4800723,0.55416876
HMDB0000538<->ITGB5,1.2813572,1.5190909,0.10141161
HMDB0001852<->RXRA,1.2772512,0.46160713,0.44290116
HMDB0000251<->AVPR2,1.2636042,0.0,0.27777684
HMDB0000131<->FLT1,1.2563914,0.61413366,0.0
HMDB0000073<->PDGFRA,1.251383,0.015890945,0.38400173
HMDB0001852<->NR3C1,1.2391413,0.12468486,0.5021844
